legacy_id,created_at,overseer_legacy_id,company_contact_lagacy,subject,purpose,comment,actionrequired,activity,refno,inquiry_number,activitystatus
695,"2017-09-15 15:34:18",52,3910,"New rquirement","First Meeting/Intro Meeting","New Inst. requirement and other items    for the  projects","We need to be in regular touch.",Meeting,1505489657#525,11596,"Pending Approval"
696,"2017-09-15 15:36:20",112,3911,"daily report","First Meeting/Intro Meeting","discussed company profile. ","need to follow up next week.",Meeting,1505489780#1124,11597,Approved
697,"2017-09-15 15:38:09",52,NULL,,"Follow up","KPS meeting to be fixed.
Send PO details of Jiskoot AMC etc.","Followup to regularise it.","Phone call",1505489889#527,11329,"Pending Approval"
698,"2017-09-15 15:42:00",112,3912,"daily report","First Meeting/Intro Meeting","discussed company profile.","he told me he will send inquiry as it comes.",Meeting,1505490120#1126,11598,Approved
699,"2017-09-15 15:44:52",112,3913,"daily report","First Meeting/Intro Meeting","discussed company profile. ","To meet on monday.","Phone call",1505490292#11210,11599,Approved
700,"2017-09-15 15:47:59",112,3914,"daily report","First Meeting/Intro Meeting","discuss company profile.","To meet Vitthal Sir for inquiry.",Meeting,1505490479#11210,11600,Approved
701,"2017-09-15 15:51:18",112,3915,"daily report","First Meeting/Intro Meeting","discussed company portfolio.","he told me meet after 20th sept.",Meeting,1505490678#1123,11601,Approved
702,"2017-09-15 15:53:24",108,3540,"Bearing Tender.","Follow up","To know the proceeding of bearing tender.","Need to meet him again.",Meeting,1505490804#1083,11602,"Pending Approval"
703,"2017-09-15 15:56:44",108,3540,"Switch Board Cabinet","Follow up","To discuss the buying price of above item.","As I had found the supplier for the same so will discuss with him its our purchase price when I visit Jalandhar if management approve my tour plan as the tender due on 3 october 2017.",Meeting,1505491004#1088,11603,"Pending Approval"
704,"2017-09-15 15:59:03",96,3267,"Material supply","Follow up","Pug cutting machine delivery",done,Meeting,1505491143#969,11604,Approved
705,"2017-09-15 16:01:46",96,3394,"Material Supply","Follow up","Safety Helmet regarding ","Done
",Meeting,1505491306#966,11605,Approved
706,"2017-09-15 16:03:53",96,1891,"Material ","Follow up","meet him for voltas make Freezer 425 ltr",done,Meeting,1505491433#963,11606,Approved
707,"2017-09-15 16:05:51",96,1874,"New Inquiry","Follow up","Shrink Wrap and Plastic sheet regarding discussion ","Sourcing this Material ",Meeting,1505491551#964,11607,Approved
708,"2017-09-15 16:06:32",52,NULL,,"Follow up","To discuss about LMM and SELMA","followup to fix the meeting",Email,1505491592#524,10273,"Pending Approval"
709,"2017-09-15 16:21:51",12,NULL,,"Follow up","1. Relay another requirement
2. Battery status
3. other requirement","Relay order process",Meeting,1505492511#127,10790,Approved
710,"2017-09-15 16:29:06",12,NULL,,"sourcing for Camera","Availability of Camera Model
Cost, Tax
","Waiting for cost confirmation",Meeting,1505492946#129,11410,Approved
711,"2017-09-15 16:42:32",52,NULL,,"Follow up","LMM and SELMA . To fix meeting.","Email sent and followup.",Email,1505493752#526,11273,"Pending Approval"
712,"2017-09-15 16:45:02",52,NULL,,"Tender preparation","EMD and other Documents.
Spoke to ONGC. Tender due date is not extended .","Docs under preparation. To upload tomorrow.","Tender preparation",1505493902#526,10872,"Pending Approval"
713,"2017-09-15 16:50:15",52,NULL,,"Follow up","Revised PO ","Regular followup","Phone call",1505494215#523,7657,"Pending Approval"
714,"2017-09-15 17:04:15",52,NULL,,"Follow up","To get the specs of UFM","Regular followup.

Search supplier of UFM.","Phone call",1505495055#524,11469,"Pending Approval"
715,"2017-09-15 17:44:16",19,NULL,,"Meeting ","At Alstom meeting with Ashok Patel regarding Anti Fog Googles invoice clearance and Acceptance.","Material Successfully dispatch against invoice no.4000123 to Fab shop at Alstom.",Meeting,1505497456#1910,10763,"Pending Approval"
716,"2017-09-15 17:52:42",25,NULL,,"Follow up","Client said as per UNI 5737 standard bolts should be half threaded even documents also provided as we provided three parts which is full threaded.","We'll have to wait for their action which they will tell us after their production and quality team.",Meeting,1505497962#259,11407,Approved
717,"2017-09-15 17:54:05",19,3221,"New Inquiry and Requirement",Meeting,"At Alstom meeting with Deepak Trivedi Fab Shop regarding Groz torcuh with battery.","As discussion with deepak sir first we send to Groz catalog with torch description .

Monday morning i am sending  the soft copy of Groz  catalog to Deepak sir. ",Meeting,1505498045#193,11608,"Pending Approval"
718,"2017-09-15 17:57:08",25,NULL,,"Follow up","Client said we are waiting for others quotation also as we'll get let you know and then we negotiate and raise PR accordingly.","We have to wait their revert aa we'll get then can proceed further on this inquiry.","Phone call",1505498228#258,10975,Approved
719,"2017-09-15 17:58:43",19,NULL,,"Meeting ","At Alstom meeting with Hardik suthar regarding Liberty shoes.","At Alstom meeting with Gutam goswami for Liberty shoes successfully dispatch against invoice no.4000144.",Meeting,1505498323#198,11193,"Pending Approval"
720,"2017-09-15 18:00:56",59,NULL,,"Follow up","I Met Mr.-Vineet Dhole Regarding of Inquiry Status and he said this quotation Will Be Live. ","Meet End User and discus with Him.",Meeting,1505498456#595,11159,Approved
721,"2017-09-15 18:03:02",19,NULL,,"Meeting ","At Alstom Meeting with Kishan lal regarding Liberty Shoes at Machine shop.","At Astom meeting with Kishore panchal  Machine Shop store,material successfully dispatch against invoice no.4000144.",Meeting,1505498582#1910,11193,"Pending Approval"
722,"2017-09-15 18:04:51",59,NULL,,"Material Delivery........","I Discus With Mr.-Deepak Matkar And he said Material Still Not Receive.  ","Logistics Team Please Deliver Materiel Committed Time Period. ","Phone call",1505498691#594,10628,Approved
723,"2017-09-15 18:07:56",19,NULL,,"Meeting ","At Alstom meeting with Sanjay sir regarding  Safety helmet. quality dept.","At discussion with  Hardik sir Safety helmet hand over to Sanjay sir.",Meeting,1505498876#198,108947,"Pending Approval"
724,"2017-09-15 18:08:33",25,NULL,,"Follow up","Client said we got wrong batteries  then asked to Pooja regarding this wrong product supply so she said supplier quote us for Duracell 9V rechargeable battery but supplied non-rechargeable battery and for Sony AA & AAA  client said we ordered for 1.5V rechargeable battery but Pooja sent quotation 10842-R1 in which clearly mentioned 1.2V rechargeable battery then client said we do want any explanation just required correct product by tomorrow .","Supplier responsible for Duracell 9V battery issue as if he's saying now that there is no rechargeable battery so why he quoted us wrong specification and for Sony AA & AAA rechargeable batteries client responsible as they didn't read our quotation before placing the order.","Phone call",1505498913#259,10842,Approved
725,"2017-09-15 18:11:09",25,NULL,,"Follow up","Got PO IND4009468 for the said inquiry ","We'll have to execute same within quotation mentioned lead time.","Phone call",1505499069#259,11353,Approved
726,"2017-09-15 18:14:13",19,NULL,,"Meeting ","At Alstom meeting with Nilesh sir regarding Pug machine Quality and verification of  materiel at Fab shop.","At Alstom meeting with Nilesh, after that  dispatch the  material against invoice no.4000127.",Meeting,1505499253#1910,9686,"Pending Approval"
727,"2017-09-15 18:17:10",25,NULL,,"Follow up","It's in approval process with the CIP team","We have to wait for PO confirmation from the client.","Phone call",1505499430#255,10945,Approved
728,"2017-09-15 18:21:08",25,NULL,,"Follow up","We required make and model number along with the image of Marking machine controller so that we can quote for the compatible model. 
?
","We have to wait for their revert regarding above query as end user of this requirement is not available.","Phone call",1505499668#259,11209,Approved
729,"2017-09-15 18:21:10",19,NULL,,"Meeting ","At Alstom meting with Jatin seth regarding M320  bolt issue.","As telephonic discussion with Jetendra sir, Sir  already reply to him by mail, that we informing you about the material description than we dispatch the material to  alstom.
",Meeting,1505499670#193,10263,"Pending Approval"
730,"2017-09-15 18:22:46",25,NULL,,"Follow up","Client waiting for our quotation so that he can raise PR","we have to provide quotation as soon as possible.","Phone call",1505499766#258,11421,Approved
731,"2017-09-15 18:27:03",25,NULL,,"Follow up","Client required material delivery status already mail us two times","No response from our Logistic team regarding material delivery status.","Phone call",1505500023#255,10506,Approved
732,"2017-09-15 18:29:43",25,NULL,,"Follow up","Client required material on urgent basis as it's consumables and material delayed by us by three weeks till now no response from Logistic team","Please take necessary action and deliver material as soon as possible as client is very disappointed by our material delivery services","Phone call",1505500183#259,10691,Approved
733,"2017-09-15 19:10:35",95,NULL,,Negotiation,"bar code printer quote submitted and details 
discussed with Mr. Jana  offer is as per requirement  agreed to raise PR for  further process","follow up with Purchase after PR approval 
and  request  for PO ",Meeting,1505502635#9510,10335,"Pending Approval"
734,"2017-09-16 04:04:49",105,3916,"Appointment for meeting ","Appointment ","Wanted to meet him to discuss product portfolio. He told to call next week before coming.","Call him next week for appointment. ","Phone call",1505534689#1053,11609,"Pending Approval"
735,"2017-09-16 06:32:41",25,NULL,,"Follow up","Client waiting for quotation","Neha please send quotation as soon as possible","Phone call",1505543561#257,11416,Approved
736,"2017-09-16 08:11:40",63,3932,"MEG ANALYZER",MAIL,"MEG ANALYZER requirement","To get quotation from AAI and discuss with cairn for the requirement",Email,1505549500#638,11625,"Pending Approval"
737,"2017-09-16 10:01:58",109,3943,"General Meeting ","First Meeting/Intro Meeting","Point discussion oil Filters and Mccb  and for the Diwali Gifting . ","Need to follow up with clients ",Meeting,1505556118#1093,11642,Approved
738,"2017-09-16 10:02:02",102,3331,"Tapping Chuck","First Meeting/Intro Meeting","Discussed about last inquiry and new requirements and customer given new inquiry for tapping chuck","Send Email to generate new inquiry and find the supplier and send the quotation",Meeting,1505556122#1023,11643,"Pending Approval"
739,"2017-09-16 10:19:43",97,NULL,,"Follow up","New catalague for german make sent","now Wait for his reply",Email,1505557183#977,10695,"Pending Approval"
740,"2017-09-16 10:20:47",97,NULL,,Negotiation,"Revised qoutesent","order is confirmed wait for PO",Email,1505557247#974,10323,"Pending Approval"
741,"2017-09-16 10:21:34",97,NULL,,Negotiation,Negotiate,"Wait for PO",Email,1505557294#978,11223,"Pending Approval"
742,"2017-09-16 10:36:41",105,NULL,,"Follow up","I told him we have LED lightings for various brands. He told to suggest long life and good illumination brand.","Have discussed with prashant,  he told he will inform me about this.","Phone call",1505558201#1057,11592,"Pending Approval"
743,"2017-09-16 10:55:57",105,3947,"Pitching our products ","First Meeting/Intro Meeting","I went to meet him at his office cold calling but they were closed.","To meet him next week. ",Meeting,1505559356#10510,11646,Rejected
744,"2017-09-16 14:10:35",20,NULL,,"Follow up","Follow up to Sajiya from Kapsun for Revised quote with Freight Charges including..Quote submitted to IR",NA,"Phone call",1505571035#204,11573,"Pending Approval"
745,"2017-09-16 15:31:33",105,NULL,,"Follow up","I took Follow up for the vendor registration. He told he havent received any response from his manager.","Follow up next week. ","Phone call",1505575893#10510,10942,"Pending Approval"
746,"2017-09-16 15:41:43",96,NULL,,"Follow up","Contect to supplier for half inch ball valve and Connector","Waiting for reply on mail from the supplier","Phone call",1505576503#968,9607,Approved
747,"2017-09-16 16:18:18",52,NULL,,"Tender preparation","Technical bid uploaded","Price bid to be uploaded","Tender preparation",1505578698#523,10872,"Pending Approval"
748,"2017-09-16 16:25:40",52,NULL,,"Tender preparation","Commercial queries","Replied through ariba","Tender preparation",1505579140#527,11401,"Pending Approval"
749,"2017-09-16 16:44:52",112,3948,"daily report","First Meeting/Intro Meeting","discussed weighing scale and company profile.","To send quotation of weighing scale.",Meeting,1505580292#11210,11647,Approved
750,"2017-09-16 16:49:18",112,3949,"daily report","First Meeting/Intro Meeting","discussed company profile.","need to follow up.",Meeting,1505580558#1129,11648,Approved
751,"2017-09-16 16:51:03",112,3950,"daily report","First Meeting/Intro Meeting","discussed company profile.","To meet on monday.","Phone call",1505580663#1126,11649,Approved
752,"2017-09-16 16:54:25",112,3951,"daily report","First Meeting/Intro Meeting","discussed company profile. ","she told me she will send inquiry as it comes.",Meeting,1505580865#1127,11650,Approved
753,"2017-09-16 17:46:37",12,NULL,,"Sourcing for Rechargable Battery 9V","To amend PO from customer.

Discussion with Shailendra Sir","Gajendra need to process","Phone call",1505583997#127,10842,Approved
754,"2017-09-16 17:59:45",52,NULL,,"Follow up","Batteries with Techmaster.","Veerbhaskar will comeback on Monday.
Follow up.","Phone call",1505584785#523,6713,"Pending Approval"
755,"2017-09-16 18:16:46",25,NULL,,,"Met with Battery Supplier - Hakim Sales Corporation regarding wrong batteries supplied and return non rechargeable batteries and collect our payment of 540 .00 INR also advised Uniross make 9V rechargeable battery to Mr. Sharad Bhapkar but he refused to accept that and said please supply as per our PO ","Client required DURACELL mail confirmation regarding recommend NIMH rechargeable battery and Sony 1.5 V AA & AAA battery not available on the website of Sony ",Meeting,1505585806#255,10842,Approved
756,"2017-09-16 18:24:15",25,NULL,,"Follow up","Client said your Quotation but same is on higher side request you to please give your final no regret offer.

 ","We have asked  to the supplier for giving us discount and revised quotation so that we'll provide our best offer to the client","Phone call",1505586255#255,11416,Approved
757,"2017-09-16 18:26:55",25,NULL,,"Follow up","Client said it's under process we let you know as we get any update on the same","We have to wait for their revert","Phone call",1505586415#259,11000,Approved
758,"2017-09-16 18:29:01",25,NULL,,"Follow up","Client waiting for quotation","Please provide quotation as soon as possible","Phone call",1505586541#256,11421,Approved
759,"2017-09-18 06:54:21",105,3953,"Appointment for meeting ","First Meeting/Intro Meeting","Wanted to take appointment to meet him. He told to come next week","To call him and meet him next week. ","Phone call",1505717661#1056,11657,Rejected
760,"2017-09-18 07:23:54",110,3954,"Meeting done ","First Meeting/Intro Meeting","Regularly buying CNC machine cutting blades. Lubrication and hydraulic oil. Will share RFQ after confirming from authorities","Need to follow up for RFQ. ",Meeting,1505719434#1109,11659,Approved
761,"2017-09-18 07:26:57",109,NULL,,"Follow up","Discuss about the pricing all Description Quotation ","Need to follow up with clients ","Phone call",1505719617#1095,11493,Approved
762,"2017-09-18 07:32:28",109,3955,"General Introduction ","First Meeting/Intro Meeting","Cutting blade of CNC Machine, lubrication oil of it, Electrical power controllers Like as Staplizer "," Need to follow up with clients ",Meeting,1505719948#1099,11661,Approved
763,"2017-09-18 08:11:39",110,0,"Ask to send RFQ","Follow up","Ask to send RFQ for papers and other items. ","Need to follow up. I Will call meet again after gettinh RFQ","Phone call",1505722299#1104,11662,Approved
764,"2017-09-18 08:38:59",105,NULL,,"Follow up","I asked him about doubt in enquiry. He told to come and meet tommorow. ","To meet him tommorow. ","Phone call",1505723939#1055,11046,"Pending Approval"
765,"2017-09-18 08:56:39",105,2939,"Pitching our products ","First Meeting/Intro Meeting","Pitched our product.  Mr kiran said He will send enquiry in 1-2 days. ","Follow up. ",Meeting,1505724999#1059,11665,"Pending Approval"
766,"2017-09-18 09:09:01",102,3338,"Oils & Greases","Follow up","New inquiry received for following items
1) Grease Molykote PG 75 - 10kg
2) OIL-HYDRAULIC OIL ENKLO 150 - 100ltr
3) GREASE MOBIL EPO. - 30kg
4) GREASE MOBILE EP3 - 20kg
","Need to find the supplier and send the quotation",Email,1505725741#1023,11666,"Pending Approval"
767,"2017-09-18 09:10:53",110,NULL,,"Follow up","Ask to get target price. He will talk in evening to discuss","Need to follow up.. I m trying to get target price.","Phone call",1505725853#11010,11134,Approved
768,"2017-09-18 09:41:50",97,NULL,,Closure,"PO recived","Send Material",Email,1505727710#976,11223,"Pending Approval"
769,"2017-09-18 09:43:37",97,3496,"Air Compressor",Negotiation,"Get Best Quote","Send Quote",Email,1505727817#977,11667,"Pending Approval"
770,"2017-09-18 09:45:04",97,NULL,,"Follow up","quote sent",Disscuss,"Tender preparation",1505727904#974,11037,"Pending Approval"
771,"2017-09-18 10:09:41",109,3957,"General Introduction ","Follow up","Discuss about the Compression Hoses and Lubrication Oil, Hydraulics Valve ","Need to follow up with clients he will share RFQ, ",Meeting,1505729381#1094,11669,Approved
772,"2017-09-18 10:17:26",105,3958,"Pitching our products ","First Meeting/Intro Meeting","Pitching our products. He told he will send enquiry as it comes. ","Follow up and meeting him again. ",Meeting,1505729846#1059,11670,"Pending Approval"
773,"2017-09-18 11:59:35",97,NULL,,"Follow up","Details needed","Follow up and send quote","Phone call",1505735975#976,11223,"Pending Approval"
774,"2017-09-18 12:01:44",97,NULL,,Negotiation,"PO Expected","Wait For PO","Phone call",1505736104#974,10323,"Pending Approval"
775,"2017-09-18 12:18:22",105,NULL,,"First Meeting/Intro Meeting","I discussed about product portfolio. He said they wanted flexible payment terms. He will inform me when required. ","Follow up. ",Meeting,1505737102#1053,11646,Rejected
776,"2017-09-18 12:24:27",102,NULL,,Negotiation,"Customer was requesting for discount and delivery time should be one week hence followed up with supplier and confirmed that no further changes are possible  in quotation.","Customer will look for other offers as respective to delivery time and confirm PO afterward need to follow up after few days.",Meeting,1505737467#1029,11643,"Pending Approval"
777,"2017-09-18 12:35:44",96,NULL,,"First Meeting/Intro Meeting","Meet to Kunajn shah for more discount on Tapariya tools with Jeetendra sir ",done,Meeting,1505738144#966,11218,Approved
778,"2017-09-18 12:35:56",103,NULL,,sourcing,"Splitter bottle sample was submitted to dolphin instruments, today i brought it back because the current item is not available in market.
Problem is that this bottle needs to be manufactured but MOQ is around 500 against the customers requirement which is only 20pcs","Need to prepare quote for 500 bottles and send to Johnson Matthey. Customer will let us know if he is ok with it or no...",Meeting,1505738156#1035,10919,"Pending Approval"
779,"2017-09-18 12:38:58",96,NULL,,"Follow up","Stud ,Nuts, Plain washer , screw jack material Regarding discussion with Laxmi Tools","Some Item need specification",Email,1505738338#966,11170,Approved
780,"2017-09-18 12:45:30",96,3968,Reminder,"Follow up","awaiting for valuable inquiry",NA,Email,1505738730#963,11687,Approved
781,"2017-09-18 12:48:31",96,3969,Reminder,"Follow up","awaiting for your valuable inquiry",NA,Email,1505738911#963,11688,Approved
782,"2017-09-18 13:15:53",63,3647,"H2S Analyzer and NH3 Analyzer","Follow up","Requirement of Analyzers for MRPL project.","Need technical information from AAI.",Email,1505740553#636,11691,"Pending Approval"
783,"2017-09-18 13:25:25",100,NULL,,"Follow up","Followup on Various Inquiries
Offer for Grease/Oil is in discussion
Final rate, Asked for Target rates","Additional 2% discount is offered
Followup.
New Inquiries will be shared","Phone call",1505741125#1003,10599,"Pending Approval"
784,"2017-09-18 13:30:39",100,NULL,,"Follow up","List of product is shared
BulK MRO need to quote 
MOQ to be mentioned
It will be a rate contract","Rates need to be submitted in next 3 days
Post submission customer will provide way forward","Phone call",1505741439#1005,11671,Approved
785,"2017-09-18 13:34:24",100,NULL,,"Follow up","RFP for disposable shoe cover and head covers.
Pan india requirement is shared
This is rate contract inquiry
Rates need to submitted in Ariba","Accepted terms in Ariba
Product list shared with partner for pricing
need to submit rates within 2 days","Phone call",1505741664#1006,11664,Approved
786,"2017-09-18 13:43:58",113,3972,Introduction,"First Meeting/Intro Meeting","Visit For Introduction.","Follow up for New Inquiry.",Meeting,1505742238#11310,11692,"Pending Approval"
787,"2017-09-18 13:45:36",9,NULL,,Closure,"Meeting with Mr kunjan shah at shreenath tools for Taparia products","he offering us 40 % discount on taparia tools ",Meeting,1505742336#93,10965,"Pending Approval"
788,"2017-09-18 13:46:07",52,NULL,,"Follow up","KPS visit","Followup again for the crude details.","Phone call",1505742367#524,11329,"Pending Approval"
789,"2017-09-18 13:47:24",113,3973,Introduction,"First Meeting/Intro Meeting","Visit For Introduction","Follow up for new inquiry.",Meeting,1505742444#11310,11693,"Pending Approval"
790,"2017-09-18 13:53:05",113,3974,Introduction,"First Meeting/Intro Meeting","Visit For Discussion Hydraulic Trolly.","Follow up for new inquiry.",Meeting,1505742785#1135,11694,"Pending Approval"
791,"2017-09-18 13:56:05",113,3975,Introduction,"First Meeting/Intro Meeting","Visit For Introduction","Follow up for new Inquiry.",Meeting,1505742965#1137,11695,"Pending Approval"
792,"2017-09-18 13:59:07",113,3976,Introduction,"First Meeting/Intro Meeting","Visit For Introduction.","Follow up For New Inquiry.",Meeting,1505743147#1135,11696,"Pending Approval"
793,"2017-09-18 14:20:21",52,3977,"New requirement","First Meeting/Intro Meeting","New requirements of Inst. and company.
They will send enquiry.",followup,Meeting,1505744421#5210,11697,"Pending Approval"
794,"2017-09-18 14:26:23",52,3978,"New requirement","Follow up","New enquiry of Inst. products etc. for the new projects.
They will send enquiry.
","Regular Followup",Meeting,1505744783#5210,11698,"Pending Approval"
795,"2017-09-18 14:31:56",52,NULL,,"Follow up","uploading of legal deviation docs. Link required.","followup by phone and email.","Phone call",1505745116#526,11269,"Pending Approval"
796,"2017-09-18 15:39:02",20,NULL,,"First Meeting/Intro Meeting","Met to Hiralal and sons for 20W LED light inquiry..Quote submitted as per our customer requirements","Need to Submit quote to IR ",Meeting,1505749142#207,11655,"Pending Approval"
797,"2017-09-18 15:41:35",20,NULL,,"Follow up","Follow up to Supriya for do sourcing of Temperature gun Ray tech and clamp meter and allen socket ",NA,"Phone call",1505749295#208,11242,"Pending Approval"
798,"2017-09-18 16:12:32",112,3979,"daily report ","First Meeting/Intro Meeting","discussed company profile. ","he will send inquiry by email after 2-3 days.",Meeting,1505751152#1125,11699,Approved
799,"2017-09-18 16:15:17",112,3980,"daily report","First Meeting/Intro Meeting","discussed company profile.","she told she will send inquiry as it comes.",Meeting,1505751317#1126,11700,Approved
800,"2017-09-18 16:17:52",112,3981,"daily report","First Meeting/Intro Meeting","company profile discussed.","To meet tomorrow.","Phone call",1505751472#1124,11701,Approved
801,"2017-09-18 16:23:35",112,2888,"daily report","First Meeting/Intro Meeting","discussed company profile.","sir told me call after 25th sept.","Phone call",1505751815#1129,11702,Approved
802,"2017-09-18 16:25:22",112,3982,"daily report","First Meeting/Intro Meeting","discussed company profile.","need to follow up.",Meeting,1505751922#1124,11703,Approved
803,"2017-09-18 16:29:05",112,3983,"daily report","First Meeting/Intro Meeting","discussed company profile.","Need to follow up.",Meeting,1505752145#1124,11704,Approved
804,"2017-09-18 16:32:33",112,3984,"daily report","First Meeting/Intro Meeting","company profile discussed.","he told me he send inquiry as it comes.",Meeting,1505752353#1125,11705,Approved
805,"2017-09-18 17:07:34",12,NULL,,"Sourcing for Cameras","Shown Specification to them and Asked for Model available matching to Required Specification

Nikon, Cannon and Sony Brand","Share price wth neha and to Share quotation to customer",Meeting,1505754454#129,11579,Approved
806,"2017-09-18 17:25:25",59,NULL,,"Material Delivery Status.....","I talk to Mr Nawzar Rahman Regarding of Material Status and he said Material Delivery Within 2-3 Days.","I Talk to Logistics Team But is Not Response my Mail. ","Phone call",1505755525#597,9247,Approved
807,"2017-09-18 17:25:45",59,NULL,,"Material Delivery Status.....","I talk to Mr Nawzar Rahman Regarding of Material Status and he said Material Delivery Within 2-3 Days.","I Talk to Logistics Team But is Not Response my Mail. ","Phone call",1505755545#596,9247,Approved
808,"2017-09-18 17:30:37",59,NULL,,"Material Delivery Status...........","I talk to Mr.-Nawzar Rahman regarding of Material Delivery Status and he Said this Material Already Delay and Required Material Within 2-3 Days,.
 ","i talk to Logistic team But not Response my Call and Mail. ","Phone call",1505755837#595,9247,Approved
809,"2017-09-18 17:32:52",19,NULL,,"Meeting ","At Alstom meeting with Arun bakshi sir regarding,Hazardous material storage Cabinet materiel order.","Required discount on quoted price.",Meeting,1505755972#197,11415,"Pending Approval"
810,"2017-09-18 17:33:10",12,NULL,,"Sourcing for Camera","Customer is required advance version of camera have facility of GPS and Internet

","More information from customer is required in Term of Application and Location and Caging",Meeting,1505755990#129,11410,Approved
811,"2017-09-18 17:36:52",19,NULL,,Negotiation,"Telephonic discussion with Jetendra sir regarding Hazardous materiel storage discount on quoted price.","Offer the 3% discount on quoted price.","Phone call",1505756212#198,11415,"Pending Approval"
812,"2017-09-18 17:39:46",19,NULL,,"Meeting ","At Alstom again  meeting with Arun Bakshi  Sir regarding Order","Got The PO of 56k.",Meeting,1505756386#1910,11415,"Pending Approval"
813,"2017-09-18 17:46:05",19,NULL,,"Meeting ","At Alstom meeting with Bigesh sir regarding Thinner order of 20 ltr.","1) As discussed with Yash arrange the Tax invoice for inquiry no.10195.

2) Tomorrow morning 20 ltr thinner dispatch to Alstom Fab shop.",Meeting,1505756765#195,10195,"Pending Approval"
814,"2017-09-18 17:50:14",19,1891,"New Inquiry and Requirement",Meeting,"At Alstom Meeting with Sapan sir Regarding New requirement and inquiry.","Sapan sir send the new inquiry on Thursday he is  working on that for description details for us.",Meeting,1505757014#197,11706,"Pending Approval"
815,"2017-09-18 17:58:44",19,1874,"For Quoted Inquiry Status","Follow up","At Alstom meeting with Hardik sir regarding Quoted Inquiry status of 11197,11001
,10477,10466,10074,10070.
","1) As Discussed with Hardik sir above inquiry live and waiting for User confirmation regarding lead time.
 
2) this weekend we got the final clarity for above inquiry and order",Meeting,1505757524#195,11707,"Pending Approval"
816,"2017-09-19 04:59:52",25,NULL,,"Follow up","Client waiting for quotation so that they can raise PR ","Sarika please send quotation as soon as possible","Phone call",1505797192#256,11421,Approved
817,"2017-09-19 05:02:50",105,NULL,,"Follow up","I took Follow up for the quotation sent for scrolled compressor. He told he will inform me,  decision not taken
yet. ","Wait and take Follow up next week. ","Phone call",1505797370#1054,10827,"Pending Approval"
818,"2017-09-19 05:05:38",25,3233,"Enquiry for Diaphragm Pump","Follow up","Required quotation for

½” Diaphragm Pump :  Model - 666056-2A4 ;  Make - Ingersoll Rand (ARO)

 ","We have to provide quotation","Phone call",1505797538#254,11708,Approved
819,"2017-09-19 06:15:02",105,NULL,,"Follow up","Took Follow up from Mr. Sridhar, He told prices were ok to him, he will discuss with team and inform us tommorow. ","Wait and follow up tommorow. ",Meeting,1505801702#1058,11656,Approved
820,"2017-09-19 06:26:44",106,NULL,,"Follow up","Legal Deviation to be uploaded against tech query","Legal Deviation uploaded, Now we have to be in touch for Price Bid openng","Tender preparation",1505802404#10610,11269,"Pending Approval"
821,"2017-09-19 07:38:09",106,3992,"Tender for Natural Gas Meter",Tender,"tender downloaded","to find vendor for Gas Meter","Tender preparation",1505806689#10610,11728,"Pending Approval"
822,"2017-09-19 08:11:42",20,NULL,,"Follow up","Met to Yogesh Patel for same inquiry...PR approved","will got PO on this week",Meeting,1505808702#206,10994,"Pending Approval"
823,"2017-09-19 08:28:11",105,NULL,,"Follow up","Took Follow up for the samples sent and for quotation. He told he will talk with Mr. Shridhar and mail us.","Follow up,  meet him tommorow at Henkel office. ","Phone call",1505809691#1059,10158,"Pending Approval"
824,"2017-09-19 10:22:37",105,NULL,,Closure,"He wanted jackets to pe delivered this week end. He has also given new enquiry. ","Inform Inside Sales/supplier  to deliver jacket till week end.","Phone call",1505816557#1057,11417,"Pending Approval"
825,"2017-09-19 12:05:42",109,3997,"General Introduction ","First Meeting/Intro Meeting","Discuss about the material handling Folkits And Trolly, containing the good containers ","Need to follow up with clients ",Meeting,1505822742#1095,11737,Approved
826,"2017-09-19 12:11:16",109,3999,"General Introduction ","First Meeting/Intro Meeting","Discuss about the product which saves the electricity in plant briefly discussed for the capacitor and control devices ","Need to follow up with clients ",Meeting,1505823076#1095,11739,Approved
827,"2017-09-19 12:11:43",52,NULL,,"Tender preparation","Docs. uploaded. Discussed with ONGC also.","Price bid to be uploaded","Tender preparation",1505823103#526,10872,"Pending Approval"
828,"2017-09-19 12:16:34",109,4000,"Discussion Meeting ","Follow up","Targeting the client store which required with Hydraulic Hoses and Hydraulic oil and Power checks machine (Auto meter), cable try and battery for the vehicle maintenance ","Need to follow up Regularly ",Meeting,1505823394#1099,11740,Approved
829,"2017-09-19 12:23:59",109,NULL,,"Follow up","Quation Request from HO Bulk MRO, to over the clients","Need to follow up Regularly ","Phone call",1505823839#1093,11320,Approved
830,"2017-09-19 12:30:37",105,NULL,,"Follow up","Discussed about black rubber gloves. He told to work on cost,  coz cost is too high.","Send quote again with revised prices and follow up. ",Meeting,1505824237#10510,11046,"Pending Approval"
831,"2017-09-19 12:34:17",105,NULL,,Closure,"He told we were late in sending quotation so lost the order. He said He will send enquiry as requirement comes.","Follow up and meeting him again. ",Meeting,1505824457#1056,11017,"Pending Approval"
832,"2017-09-19 12:50:17",102,NULL,,Negotiation,"Discussed about the quoted prices and as per the customer the prices are high","need to send the revised quotation",Meeting,1505825417#1023,11409,"Pending Approval"
833,"2017-09-19 12:52:21",52,NULL,,"Tender preparation","Review specs","search suppliers","Tender preparation",1505825541#524,11728,"Pending Approval"
