Sr,SKU,Old Discription,New Discription,Brand,Mfr,IS Duplicate
1609,BM1H2U0,"BOROSIL Cylinders B Class Schellbach, 100 ml - 3022016","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 100 ml - 3022016",BOROSIL,3022016,
1610,BM1H2T0,"BOROSIL Cylinders Grad with Pour Out, B Class, 100 ml - 3022016","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 100 ml - 3022016",BOROSIL,3022016,TRUE
1611,BM1H2V2,"BOROSIL Cylinders Grad, with Pour Out Astm, B Class, 100 ml - 3027016","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 100 ml - 3027016",BOROSIL,3027016,
1612,BM9C1X9,BEAKER Glass Cylinder Class B 1000 ML - 3022029,"BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 1000 ml - 3022029",BOROSIL,3022029,
1613,BM1H2V3,"BOROSIL Cylinders Grad, with Pour Out Astm, B Class, 1000 ml - 3027029","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 1000 ml - 3027029",BOROSIL,3027029,
1614,BM1H2T2,"BOROSIL Cylinders Grad with Pour Out, B Class, 150 ml - 3022018","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 150 ml - 3022018",BOROSIL,3022018,
1615,BM1H2T8,"BOROSIL Cylinders Measuring, B Class, 2 Ltr - 3022030","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 2 Ltr - 3022030",BOROSIL,3022030,
1616,BM1H2V4,"BOROSIL Cylinders Grad, with Pour Out Astm, B Class, 2000 ml - 3027030","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 2000 ml - 3027030",BOROSIL,3027030,
1617,BM1H2T4,"BOROSIL Cylinders Grad with Pour Out, B Class, 25 ml - 3022009","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 25 ml - 3022009",BOROSIL,3022009,
1618,BM1H2V5,"BOROSIL Cylinders Grad, with Pour Out Astm, B Class, 25 ml - 3027009","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 25 ml - 3027009",BOROSIL,3027009,
1619,BM1H2T3,"BOROSIL Cylinders Grad with Pour Out, B Class, 250 ml - 3022021","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 250 ml - 3022021",BOROSIL,3022021,
1620,BM1H2V6,"BOROSIL Cylinders Grad, with Pour Out Astm, B Class, 250 ml - 3027021","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 250 ml - 3027021",BOROSIL,3027021,
1621,BM1H2T9,"BOROSIL Cylinders Measuring, B Class, 5 ml - 3022005","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 5 ml - 3022005",BOROSIL,3022005,
1622,BM1H2V7,"BOROSIL Cylinders Grad, with Pour Out Astm, B Class, 5 ml - 3027005","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 5 ml - 3027005",BOROSIL,3027005,
1623,BM1H2U1,"BOROSIL Cylinders B Class Schellbach, 50 ml - 3022012","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 50 ml - 3022012",BOROSIL,3022012,
1624,BM1H2T6,"BOROSIL Cylinders Grad with Pour Out, B Class, 50 ml - 3022012","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 50 ml - 3022012",BOROSIL,3022012,TRUE
1625,BM1H2V8,"BOROSIL Cylinders Grad, with Pour Out Astm, B Class, 50 ml - 3027012","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 50 ml - 3027012",BOROSIL,3027012,
1626,BM1H2T5,"BOROSIL Cylinders Grad with Pour Out, B Class, 500 ml - 3022024","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 500 ml - 3022024",BOROSIL,3022024,
1627,BM1H2V9,"BOROSIL Cylinders Grad, with Pour Out Astm, B Class, 500 ml - 3027024","BOROSIL Pour Out Cylinder with Hexagonal Base, Class B, Capacity 500 ml - 3027024",BOROSIL,3027024,
1628,BM1H1S3,"BOROSIL Tubes Centrifuge, Short Conical Bottom, Pour Out, Heavy Duty, Graduated, 40 ml - 8340011","BOROSIL Pour out Heavy Duty Short Conical Bottom Centrifuge Tube, Capacity 40 ml - 8340011",BOROSIL,8340011,
1629,BM1H1R5,"BOROSIL Pouring Ring, Blue Colour - 1504R01","BOROSIL Pouring Ring, Colour Blue - 1504R01",BOROSIL,1504R01,
1630,BM1H5G0,"BOROSIL Funnel Powder Short Stem, 125 mm - 6220080","BOROSIL Powder Short Stem Funnel, Dia 125 mm - 6220080",BOROSIL,6220080,
1631,BM1H5G1,"BOROSIL Funnel Powder Short Stem, 150 mm - 6220081","BOROSIL Powder Short Stem Funnel, Dia 150 mm - 6220081",BOROSIL,6220081,
1632,BM1H5G2,"BOROSIL Funnel Powder Short Stem, 200 mm - 6220087","BOROSIL Powder Short Stem Funnel, Dia 200 mm - 6220087",BOROSIL,6220087,
1633,BM1H5G3,"BOROSIL Funnel Powder Short Stem, 250 mm - 6220089","BOROSIL Powder Short Stem Funnel, Dia 250 mm - 6220089",BOROSIL,6220089,
1634,BM1H5G4,"BOROSIL Funnel Powder Stem with Cone, 125 mm - 6230080","BOROSIL Powder Stem with Cone Funnel, Dia 125 mm - 6230080",BOROSIL,6230080,
1635,BM1H5G5,"BOROSIL Funnel Powder Stem with Cone, 150 mm - 6230081","BOROSIL Powder Stem with Cone Funnel, Dia 150 mm - 6230081",BOROSIL,6230081,
1636,BM1H5G6,"BOROSIL Funnel Powder Stem with Cone, 200 mm - 6230087","BOROSIL Powder Stem with Cone Funnel, Dia 200 mm - 6230087",BOROSIL,6230087,
1637,BM1H5G7,"BOROSIL Funnel Powder Stem with Cone, 250 mm - 6230089","BOROSIL Powder Stem with Cone Funnel, Dia 250 mm - 6230089",BOROSIL,6230089,
1638,BM1H6E0,"BOROSIL Premium Vortex Mixture , 4200 rpm - 100VMSP0042000","BOROSIL Premium Vortex Mixture, Max Speed 4200 rpm - 100VMSP0042000",BOROSIL,100VMSP0042000,
1639,BM1H5I9,"BOROSIL Funnel Pressure Equilising Cylendrical Glass, Capacity 100 ml - 6405016","BOROSIL Pressure Equalising Cylindrical with PTFE Stopcock Funnel, Capacity 100 ml - 6405016",BOROSIL,6405016,
1640,BM1H5J0,"BOROSIL Funnel Pressure Equilising Cylendrical Glass, Capacity 250 ml - 6405021","BOROSIL Pressure Equalising Cylindrical with PTFE Stopcock Funnel, Capacity 250 ml - 6405021",BOROSIL,6405021,
1641,BM1H5J1,"BOROSIL Funnel Pressure Equilising Cylendrical Glass, Capacity 50 ml - 6405012","BOROSIL Pressure Equalising Cylindrical with PTFE Stopcock Funnel, Capacity 50 ml - 6405012",BOROSIL,6405012,
1642,BM1H5J2,"BOROSIL Funnel Pressure Equilising Cylendrical Glass, Capacity 500 ml - 6405024","BOROSIL Pressure Equalising Cylindrical with PTFE Stopcock Funnel, Capacity 500 ml - 6405024",BOROSIL,6405024,
1643,BM1H4Y8,"BOROSIL Quartz Boiler, 10 Ltr - 0363S02","BOROSIL Quartz Boiler, Output Capacity 10 Ltr/Hr - 0363S02",BOROSIL,0363S02,
1644,BM1H6G0,"BOROSIL Quartz Circular Capsule, 15 mm - 8600Q01","BOROSIL Quartz Circular Capule for Coal Analysis, Height 14 mm - 8600Q01",BOROSIL,8600Q01,
1645,BM1H6F9,"BOROSIL Quartz Circular Capsule, 15 mm - 8600Q02","BOROSIL Quartz Circular Capule for Coal Analysis, Height 15 mm - 8600Q02",BOROSIL,8600Q02,
1646,BM1H4B8,"BOROSIL Flask Conical without Rim, 100 ml - 4984016","BOROSIL Quartz Conical Flask, Capacity 100 ml - 4984016",BOROSIL,4984016,
1647,BM1H4B9,"BOROSIL Flask Conical without Rim, 150 ml - 4984018","BOROSIL Quartz Conical Flask, Capacity 150 ml - 4984018",BOROSIL,4984018,
1648,BM1H4C0,"BOROSIL Flask Conical without Rim, 250 ml - 4984021","BOROSIL Quartz Conical Flask, Capacity 250 ml - 4984021",BOROSIL,4984021,
1649,BM1H6D7,"BOROSIL Quartz Digestion Tube, 250 ml - 100KIDSQT250","BOROSIL Quartz Digestion Tube, Capacity 250 ml - 100KIDSQT250",BOROSIL,100KIDSQT250,
1650,BM1H4Z9,"BOROSIL Quartz Heater B-34 For Distillation, 3361/62 - 336012","BOROSIL Quartz Heater B-34 for Distillation, Output Capacity 1.5 Ltr/Hr - 336012",BOROSIL,336012,
1651,BM1H4Z8,"BOROSIL Quartz Heater B-50 Complete Unit, 4 Ltr - 336022","BOROSIL Quartz Heater B-50 Complete Unit, Output Capacity 4 Ltr/Hr - 336022",BOROSIL,336022,
1652,BM1H4U0,"BOROSIL Flask Volumetric Quartz with Stopper, 10 ml - 5644006","BOROSIL Quartz Volumetric Flask, Capacity 10 ml - 5644006",BOROSIL,5644006,
1653,BM1H4U2,"BOROSIL Flask Volumetric, 100 ml - 5644016","BOROSIL Quartz Volumetric Flask, Capacity 100 ml - 5644016",BOROSIL,5644016,
1654,BM1H4U1,"BOROSIL Flask Volumetric, 1000 ml - 5644029","BOROSIL Quartz Volumetric Flask, Capacity 1000 ml - 5644029",BOROSIL,5644029,
1655,BM1H4T9,"BOROSIL Flask Volumetric, 25 ml - 5644009","BOROSIL Quartz Volumetric Flask, Capacity 25 ml - 5644009",BOROSIL,5644009,
1656,BM1H4U5,"BOROSIL Flask Volumetric Quartz, 250 ml - 5644021","BOROSIL Quartz Volumetric Flask, Capacity 250 ml - 5644021",BOROSIL,5644021,
1657,BM1H4U3,"BOROSIL Flask Volumetric, 5 ml - 5644005","BOROSIL Quartz Volumetric Flask, Capacity 5 ml - 5644005",BOROSIL,5644005,
1658,BM1H4U4,"BOROSIL Flask Volumetric, 50 ml - 5644012","BOROSIL Quartz Volumetric Flask, Capacity 50 ml - 5644012",BOROSIL,5644012,
1659,BM1H4T8,"BOROSIL Volumetric Flask Quartz, 500 ml - 5644024","BOROSIL Quartz Volumetric Flask, Capacity 500 ml - 5644024",BOROSIL,5644024,
1660,BM1H2Z6,"BOROSIL R M Value Apparatus, 300 ml - 3454022","BOROSIL R M Value Apparatus, Capacity 300 ml - 3454022",BOROSIL,3454022,
1661,BM1H2Z7,"BOROSIL R M Value Apparatus Interchangeable Joint, 300 ml - 3454A22","BOROSIL R M Value Apparatus, Capacity 300 ml - 3454A22",BOROSIL,3454A22,
1662,BM1H2W4,"BOROSIL Cylinders Rain Measure, B Class, 20 X 200 mm - 3070096","BOROSIL Rain Measure Cylinder with Round Base, Size 20 mm - 3070096",BOROSIL,3070096,
1663,BM1H2W3,"BOROSIL Cylinders Rain Measure, B Class, 20 X 100 mm - 3070098","BOROSIL Rain Measure Cylinder with Round Base, Size 20 mm - 3070098",BOROSIL,3070098,
1664,BM1H2F6,"BOROSIL Museum Jars Rectangular with Cover, 200 X 125 X 125 mm - 6910M41","BOROSIL Rectangular Museum Jar with Cover, Size 200 X 125 X 125 mm - 6910M41",BOROSIL,6910M41,
1665,BM1H2F7,"BOROSIL Museum Jars Rectangular with Cover, 200 X 150 X 100 mm - 6910M42","BOROSIL Rectangular Museum Jar with Cover, Size 200 X 150 X 100 mm - 6910M42",BOROSIL,6910M42,
1666,BM1H2F8,"BOROSIL Museum Jars Rectangular with Cover, 220 X 195 X 80 mm - 6910M43","BOROSIL Rectangular Museum Jar with Cover, Size 220 X 195 X 80 mm - 6910M43",BOROSIL,6910M43,
1667,BM1H2F9,"BOROSIL Museum Jars Rectangular with Cover, 250 X 165 X 140 mm - 6910M44","BOROSIL Rectangular Museum Jar with Cover, Size 250 X 165 X 140 mm - 6910M44",BOROSIL,6910M44,
1668,BM1H2G0,"BOROSIL Museum Jars Rectangular with Cover, 250 X 250 X 120 mm - 6910M45","BOROSIL Rectangular Museum Jar with Cover, Size 250 X 250 X 120 mm - 6910M45",BOROSIL,6910M45,
1669,BM1H2G1,"BOROSIL Museum Jars Rectangular with Cover, 360 X 150 X 100 mm - 6910M46","BOROSIL Rectangular Museum Jar with Cover, Size 360 X 150 X 100 mm - 6910M46",BOROSIL,6910M46,
1670,BM1H4W8,"BOROSIL Tube Adapter, Red Interchangeble Joint, 24/29 - 8820A11","BOROSIL Reduction Adapter with Interchangeable Joint, Cone Joint Size 24/29 - 8820A11",BOROSIL,8820A11,
1671,BM1H4W9,"BOROSIL Tube Adapter, Red Interchangeble Joint, 24/29 - 8820A18","BOROSIL Reduction Adapter with Interchangeable Joint, Cone Joint Size 24/29 - 8820A18",BOROSIL,8820A18,
1672,BM1H4X0,"BOROSIL Tube Adapter, Red Interchangeble Joint, 29/32 - 8820A15","BOROSIL Reduction Adapter with Interchangeable Joint, Cone Joint Size 29/32 - 8820A15",BOROSIL,8820A15,
1673,BM1H0B7,"BOROSIL Regular Bosshead, Black Powder Coated - 8888RBL","BOROSIL Regular Bosshead, Zinc PDC - 8888RBL",BOROSIL,8888RBL,
1674,BM1H4S5,"BOROSIL Reaction Kettles Set, 1 Ltr - 6947029","BOROSIL Resin Reaction Kettle, Capacity 1 Ltr - 6947029",BOROSIL,6947029,
1675,BM1H4S6,"BOROSIL Reaction Kettles Set, 2 Ltr - 6947030","BOROSIL Resin Reaction Kettle, Capacity 2 Ltr - 6947030",BOROSIL,6947030,
1676,BM1H4S7,"BOROSIL Reaction Kettles Set, 4 Ltr - 6947032","BOROSIL Resin Reaction Kettle, Capacity 4 Ltr - 6947032",BOROSIL,6947032,
1677,BM1H4S8,"BOROSIL Reaction Kettles Set, 500 ml - 6947024","BOROSIL Resin Reaction Kettle, Capacity 500 ml - 6947024",BOROSIL,6947024,
1678,BM1H0D0,"BOROSIL Retort Ring with Bosshead, 3"" - 8888003","BOROSIL Retort Ring with Bosshead, Size 3"" - 8888003",BOROSIL,8888003,
1679,BM1H0T6,"BOROSIL One Side Spoon One Side Flat Spatula, 4 - LARR8888004","BOROSIL Retort Ring with Bosshead, Size 4 - LARR8888004",BOROSIL,LARR8888004,
1680,BM1H0B6,"BOROSIL Round Bosshead, Black Powder Coated - 8888OBL","BOROSIL Round Bosshead, Zinc PDC - 8888OBL",BOROSIL,8888OBL,
1681,BM1H3D1,BOROSIL Flask Boiling Round Bottom 1 Ltr - 4260029,"BOROSIL Round Bottom Boiling Flask, Capacity 1 Ltr - 4260029",BOROSIL,4260029,
1682,BM1H3C3,BOROSIL Flask Round Bottom 100 ml - 4260016,"BOROSIL Round Bottom Boiling Flask, Capacity 100 ml - 4260016",BOROSIL,4260016,
1683,BM1H3D2,BOROSIL Flask Boiling Round Bottom 10000 Ltr - 4260038,"BOROSIL Round Bottom Boiling Flask, Capacity 10000 Ltr - 4260038",BOROSIL,4260038,
1684,BM1H3C0,BOROSIL Flask Round Bottom 150 ml - 4260018,"BOROSIL Round Bottom Boiling Flask, Capacity 150 ml - 4260018",BOROSIL,4260018,
1685,BM1H3C9,BOROSIL Flask Boiling Round Bottom 2 Ltr - 4260030,"BOROSIL Round Bottom Boiling Flask, Capacity 2 Ltr - 4260030",BOROSIL,4260030,
1686,BM1H3C1,BOROSIL Flask Boiling Round Bottom 20 Ltr - 4260040,"BOROSIL Round Bottom Boiling Flask, Capacity 20 Ltr - 4260040",BOROSIL,4260040,
1687,BM1H3C4,BOROSIL Flask Round Bottom 25 ml - 4260009,"BOROSIL Round Bottom Boiling Flask, Capacity 25 ml - 4260009",BOROSIL,4260009,
1688,BM1H3C5,BOROSIL Flask Round Bottom 250 ml - 4260021,"BOROSIL Round Bottom Boiling Flask, Capacity 250 ml - 4260021",BOROSIL,4260021,
1689,BM1H3C6,BOROSIL Flask Round Bottom 3 Ltr - 4260031,"BOROSIL Round Bottom Boiling Flask, Capacity 3 Ltr - 4260031",BOROSIL,4260031,
1690,BM1H3C7,BOROSIL Flask Round Bottom 5 Ltr - 4260033,"BOROSIL Round Bottom Boiling Flask, Capacity 5 Ltr - 4260033",BOROSIL,4260033,
1691,BM1H3C2,BOROSIL Flask Round Bottom 50 ml - 4260012,"BOROSIL Round Bottom Boiling Flask, Capacity 50 ml - 4260012",BOROSIL,4260012,
1692,BM1H3D0,BOROSIL Flask Boiling Round Bottom 500 ml - 4260024,"BOROSIL Round Bottom Boiling Flask, Capacity 500 ml - 4260024",BOROSIL,4260024,
1693,BM1H3C8,BOROSIL Flask Round Bottom 6000 ml - 4260034,"BOROSIL Round Bottom Boiling Flask, Capacity 6000 ml - 4260034",BOROSIL,4260034,
1694,BM1G9X8,"BOROSIL Culture Tubes Round Bottom, 10 ml - 9900006","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and Liner, Capacity 10 ml - 9900006",BOROSIL,9900006,
1695,BM1G9X6,"BOROSIL Culture Tubes Round Bottom, 150 ml - 9900018","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and Liner, Capacity 150 ml - 9900018",BOROSIL,9900018,
1696,BM1G9X9,"BOROSIL Culture Tubes Round Bottom, 30 ml - 9900010","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and Liner, Capacity 30 ml - 9900010",BOROSIL,9900010,
1697,BM1G9Y0,"BOROSIL Culture Tubes Round Bottom, 5 ml - 9900005","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and Liner, Capacity 5 ml - 9900005",BOROSIL,9900005,
1698,BM1G9X7,"BOROSIL Culture Tubes Round Bottom, Screw Cap, 60 ml - 9900013","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and Liner, Capacity 60 ml - 9900013",BOROSIL,9900013,
1699,BM1G9Y2,"BOROSIL Culture Tubes Media Round Bottom Ambered, 10 ml - 9901006","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and PTFE Liner, Colour Amber, Capacity 10 ml - 9901006",BOROSIL,9901006,
1700,BM1G9Y3,"BOROSIL Culture Tubes Media Round Bottom Ambered, 150 ml - 9901018","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and PTFE Liner, Colour Amber, Capacity 150 ml - 9901018",BOROSIL,9901018,
1701,BM1G9Y4,"BOROSIL Culture Tubes Media Round Bottom Ambered, 30 ml - 9901010","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and PTFE Liner, Colour Amber, Capacity 30 ml - 9901010",BOROSIL,9901010,
1702,BM1G9Y5,"BOROSIL Culture Tubes Media Round Bottom Ambered, 5 ml - 9901005","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and PTFE Liner, Colour Amber, Capacity 5 ml - 9901005",BOROSIL,9901005,
1703,BM1G9Y6,"BOROSIL Culture Tubes Media Round Bottom Ambered, 60 ml - 9901013","BOROSIL Round Bottom Media Culture Tube with PP Screw Cap and PTFE Liner, Colour Amber, Capacity 60 ml - 9901013",BOROSIL,9901013,
1704,BM1H5W7,"BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO20A12400S000","BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO20A12400S000",BOROSIL,VO20A12400S000,
1705,BM1H5W8,"BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO20C12400S000","BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO20C12400S000",BOROSIL,VO20C12400S000,
1706,BM1H5X3,"BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO30A12400S000","BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO30A12400S000",BOROSIL,VO30A12400S000,
1707,BM1H5X4,"BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO30C12400S000","BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO30C12400S000",BOROSIL,VO30C12400S000,
1708,BM1H5X5,"BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO40A12400S000","BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO40A12400S000",BOROSIL,VO40A12400S000,
1709,BM1H5X6,"BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO40C12400S000","BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO40C12400S000",BOROSIL,VO40C12400S000,
1710,BM1H5X7,"BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO60A12400S000","BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO60A12400S000",BOROSIL,VO60A12400S000,
1711,BM1H5X8,"BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO60C12400S000","BOROSIL Round Bottom, Printed Headspace Crimp Vial, 20 mm, PK100 - VO60C12400S000",BOROSIL,VO60C12400S000,
1712,BM1H6D2,"BOROSIL Dishes/Basins Round with Spout, 115 X 47 mm - 3185046","BOROSIL Round with Spout Basin, Outer Dia 115 mm, Height 47 mm - 3185046",BOROSIL,3185046,
1713,BM1H6D3,"BOROSIL Dishes/Basins Round with Spout, 75 X 27 mm - 3185042","BOROSIL Round with Spout Basin, Outer Dia 75 mm, Height 27 mm - 3185042",BOROSIL,3185042,
1714,BM1H6D4,"BOROSIL Dishes/Basins Round with Spout, 95 X 36 mm - 3185045","BOROSIL Round with Spout Basin, Outer Dia 95 mm, Height 36 mm - 3185045",BOROSIL,3185045,
1715,BM1H1Y6,"BOROSIL Bottles Roux Culture Off Center Neck, 1 Ltr - 1290029","BOROSIL Roux Culture Off-Set Neck Bottle, Capacity 1 Ltr - 1290029",BOROSIL,1290029,
1716,BM1H1U8,"BOROSIL Culture Petri Dishes, S-Line, 100 X 20 mm - 3165A77","BOROSIL S Line Culture Petri Dishes, Outer Dia 100 X Height 20 mm - 3165A77",BOROSIL,3165A77,
1717,BM1H0U0,"BOROSIL Scoop, 165 mm - LASC8888165","BOROSIL Scoop, Size 165 mm - LASC8888165",BOROSIL,LASC8888165,
1718,BM1H5O3,"BOROSIL Screw Amber Vial Wp, 9-2 ml, PK100 - VC02A109PBS114","BOROSIL Screw Amber Vial Wp, 9-2 ml, PK100 - VC02A109PBS114",BOROSIL,VC02A109PBS114,
1719,BM1H5O5,"BOROSIL Screw Amber Vial Wp, 9-2 ml, PK100 - VC02A109PKS114","BOROSIL Screw Amber Vial Wp, 9-2 ml, PK100 - VC02A109PKS114",BOROSIL,VC02A109PKS114,
1720,BM1H1R6,"BOROSIL Screw Cap without Pouring Ring, Red Colour - 1505C01","BOROSIL Screw Cap with Pouring Ring for Laboratory Bottle, Colour Red - 1505C01",BOROSIL,1505C01,
1721,BM1H1R0,"BOROSIL Screw Cap with Pouring Ring, Blue Colour - 1503C01","BOROSIL Screw Cap with Pouring Ring for Screw Cap Bottle, Colour Blue - 1503C01",BOROSIL,1503C01,
1722,BM1H1Q7,"BOROSIL Screw Cap with Pouring Ring, Blue Colour - 1503C06","BOROSIL Screw Cap with Pouring Ring for Screw Cap Bottle, Colour Blue - 1503C06",BOROSIL,1503C06,
1723,BM1H1Q8,"BOROSIL Screw Cap with Pouring Ring, Blue Colour - 1503C07","BOROSIL Screw Cap with Pouring Ring for Screw Cap Bottle, Colour Blue - 1503C07",BOROSIL,1503C07,
1724,BM1H1Q9,"BOROSIL Screw Cap with Pouring Ring, Blue Colour - 1503C08","BOROSIL Screw Cap with Pouring Ring for Screw Cap Bottle, Colour Blue - 1503C08",BOROSIL,1503C08,
1725,BM1H1R1,"BOROSIL Screw Cap with Pouring Ring, Green Colour - 1503C04","BOROSIL Screw Cap with Pouring Ring for Screw Cap Bottle, Colour Green - 1503C04",BOROSIL,1503C04,
1726,BM1H1R2,"BOROSIL Screw Cap with Pouring Ring, Grey Colour - 1503C05","BOROSIL Screw Cap with Pouring Ring for Screw Cap Bottle, Colour Grey - 1503C05",BOROSIL,1503C05,
1727,BM1H1R3,"BOROSIL Screw Cap with Pouring Ring, Orange Colour - 1503C02","BOROSIL Screw Cap with Pouring Ring for Screw Cap Bottle, Colour Orange - 1503C02",BOROSIL,1503C02,
1728,BM1H1R4,"BOROSIL Screw Cap with Pouring Ring, Yellow Colour - 1503C03","BOROSIL Screw Cap with Pouring Ring for Screw Cap Bottle, Colour Yellow - 1503C03",BOROSIL,1503C03,
1729,BM1H4Y9,"BOROSIL Secondary Boiler, 5.0 Ltr/Hr - 0363S05","BOROSIL Secondary Boiler, Output Capacity 5.0 Ltr/Hr - 0363S05",BOROSIL,0363S05,
1730,BM1H0U2,"BOROSIL Semi Micro Spatula, 304 Grade, Size 6"" - LASC8888SM6","BOROSIL Semi Micro Spatula, Size 6"" - LASC8888SM6",BOROSIL,LASC8888SM6,
1731,BM1H5I0,"BOROSIL Funnel Separating Pear Boroflo Stopcock, Capacity 1 Ltr - 6402029","BOROSIL Separating Pear Shape Fitted with Boroflo Stopcock Funnel, Capacity 1 Ltr - 6402029",BOROSIL,6402029,
1732,BM1H5I3,"BOROSIL Funnel Separating Pear Shape Boroflo Stopcock, Capacity 125 ml - 6402017","BOROSIL Separating Pear Shape Fitted with Boroflo Stopcock Funnel, Capacity 125 ml - 6402017",BOROSIL,6402017,
1733,BM1H5I4,"BOROSIL Funnel Separating Pear Shape Boroflo Stopcock, Capacity 250 ml - 6402021","BOROSIL Separating Pear Shape Fitted with Boroflo Stopcock Funnel, Capacity 250 ml - 6402021",BOROSIL,6402021,
1734,BM1H5I1,"BOROSIL Funnel Separating Pear Boroflo Stopcock, Capacity 500 ml - 6402024","BOROSIL Separating Pear Shape Fitted with Boroflo Stopcock Funnel, Capacity 500 ml - 6402024",BOROSIL,6402024,
1735,BM1H5I2,"BOROSIL Funnel Separating Pear Boroflo Stopcock, Capacity 60 ml - 6402013","BOROSIL Separating Pear Shape Fitted with Boroflo Stopcock Funnel, Capacity 60 ml - 6402013",BOROSIL,6402013,
1736,BM1H5I5,"BOROSIL Funnel Separating with PTFE Key Stopcock, Capacity 1 Ltr - 6403029","BOROSIL Separating Pear Shape Interchangeable Stopper with PTFE Key Stopcock Funnel, Capacity 1 Ltr - 6403029",BOROSIL,6403029,
1737,BM1H5I6,"BOROSIL Funnel Separating with PTFE Key Stopcock, Capacity 250 ml - 6403021","BOROSIL Separating Pear Shape Interchangeable Stopper with PTFE Key Stopcock Funnel, Capacity 250 ml - 6403021",BOROSIL,6403021,
1738,BM1H5I8,"BOROSIL Funnel Separating with PTFE Key Stopcock, Capacity 500 ml - 6403017","BOROSIL Separating Pear Shape Interchangeable Stopper with PTFE Key Stopcock Funnel, Capacity 500 ml - 6403017",BOROSIL,6403017,
1739,BM1H5I7,"BOROSIL Funnel Separating with PTFE Key Stopcock, Capacity 500 ml - 6403024","BOROSIL Separating Pear Shape Interchangeable Stopper with PTFE Key Stopcock Funnel, Capacity 500 ml - 6403024",BOROSIL,6403024,
1740,BM1H5H4,"BOROSIL Funnel Separating Pear Glass Stopcock, Capacity 1 Ltr - 6400029","BOROSIL Separating Pear Shape with Stopcock and Interchangeable Stopper Funnel, Capacity 1 Ltr - 6400029",BOROSIL,6400029,
1741,BM1H5H8,"BOROSIL Funnel Separating Pear Shape Stopcock, Capacity 125 ml - 6400017","BOROSIL Separating Pear Shape with Stopcock and Interchangeable Stopper Funnel, Capacity 125 ml - 6400017",BOROSIL,6400017,
1742,BM1H5H5,"BOROSIL Funnel Separating Pear Glass Stopcock, Capacity 2 Ltr - 6400030","BOROSIL Separating Pear Shape with Stopcock and Interchangeable Stopper Funnel, Capacity 2 Ltr - 6400030",BOROSIL,6400030,
1743,BM1H5H9,"BOROSIL Funnel Separating Pear Shape Stopcock, Capacity 250 ml - 6400021","BOROSIL Separating Pear Shape with Stopcock and Interchangeable Stopper Funnel, Capacity 250 ml - 6400021",BOROSIL,6400021,
