Document Number,Canceled,Payment Date,BP Code,BP Name,Reference Number,Remarks,Document Currency,AR Invoice No,Invoice Date,Invoice Due Date,Amount To be Receive,Paid Amt
70201085,N,02/07/18,97,Deep Industries Ltd.,,being amount received from DEEP INDUSTRIES Through UTR NO NEFT SBIN118183004463,INR,20610067,25/05/18,25/05/18,9888.4,1508
70201089,N,02/07/18,97,Deep Industries Ltd.,,being amount received from DEEP INDUSTRIES Through UTR NO SBIN118183004536,INR,20610068,25/05/18,25/05/18,9888.4,1508
70201092,N,12/07/18,97,Deep Industries Ltd.,,NEFT SBIN118193577548 DEEP INDUSTRIES LIMITED,INR,20610068,25/05/18,25/05/18,9888.4,8379
70201094,N,20/07/18,97,Deep Industries Ltd.,,Being amount received from DEEP INDUSTRIES,INR,20610060,22/05/18,22/05/18,9888.4,8380
70201096,N,26/07/18,97,Deep Industries Ltd.,,NEFT SBIN118207526696 DEEP INDUSTRIES LIMITED,INR,20610067,25/05/18,25/05/18,9888.4,8380
70201097,N,19/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18919722898 APPLIED MATERIALS INDIA PVT◘ Received twice payment against Invoice # 20210030 1st payment rece on date 8th Jun'18    On acc is against Inv 20210030 (excess payment received),INR,20210030,10/04/18,10/04/18,5708,5708
70201097,N,19/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18919722898 APPLIED MATERIALS INDIA PVT◘ Received twice payment against Invoice # 20210030 1st payment rece on date 8th Jun'18    On acc is against Inv 20210030 (excess payment received),INR,20210066,18/04/18,18/04/18,69634.5,69044.5
70201098,N,13/07/18,580,GE T and D India Ltd.,,Being amount received from GE T & d Through UTR NO CITIN18888705228,INR,20610085,29/05/18,29/05/18,34783.45,34783.45
70201099,N,17/08/18,580,GE T and D India Ltd.,,being amount received from GE T & d Through UTR NO CITIN18904410043,INR,20610229,07/07/18,07/07/18,23500.8,23500.8
70201100,N,24/08/18,580,GE T and D India Ltd.,,NEFT CITIN18907259568 GE T D INDIA LIMITED FSSC,INR,20610089,31/05/18,31/05/18,45474.26,45474.26
70201100,N,24/08/18,580,GE T and D India Ltd.,,NEFT CITIN18907259568 GE T D INDIA LIMITED FSSC,INR,20610239,11/07/18,11/07/18,18712.21,18712.21
70201105,N,13/07/18,580,GE T and D India Ltd.,,NEFT CITIN18888942691 GE T D INDIA LIMITED FSSC,INR,20610125,12/06/18,12/06/18,12596.5,12596.5
70201106,N,27/07/18,580,GE T and D India Ltd.,,NEFT CITIN18893916001 GE T D INDIA LIMITED FSSC,INR,20610181,27/06/18,27/06/18,7003.3,7003.3
70201109,N,18/07/18,1586,Troikaa Pharmaceuticals Ltd.,,BY CLG INST 682995:BOB AT AHMEDABAD,INR,20610048,15/05/18,15/05/18,30073.48,30073
70201112,N,20/07/18,1485,GHCL Ltd.,,Being amount received from GHCL,INR,20610133,15/06/18,15/06/18,13199.48,13199
70201113,N,27/07/18,1485,GHCL Ltd.,,NEFT SBIN218208076772 GHCL LTD,INR,20610155,21/06/18,21/06/18,20408.1,20408
70201116,N,06/08/18,1485,GHCL Ltd.,,NEFT SBIN918218663424 GHCL LTD,INR,20610224,06/07/18,06/07/18,7756.14,7756
70201116,N,06/08/18,1485,GHCL Ltd.,,NEFT SBIN918218663424 GHCL LTD,INR,20610223,06/07/18,06/07/18,3654.5,3654.5
70201116,N,06/08/18,1485,GHCL Ltd.,,NEFT SBIN918218663424 GHCL LTD,INR,20610222,06/07/18,06/07/18,597.08,597.08
70201116,N,06/08/18,1485,GHCL Ltd.,,NEFT SBIN918218663424 GHCL LTD,INR,20610221,06/07/18,06/07/18,7137.82,7136.42
70201121,N,13/08/18,1485,GHCL Ltd.,,NEFT SBIN518225627766 GHCL LTD,INR,20610226,06/07/18,06/07/18,600.62,600.04
70201121,N,13/08/18,1485,GHCL Ltd.,,NEFT SBIN518225627766 GHCL LTD,INR,20610237,11/07/18,11/07/18,5630.96,5630.96
70201122,N,16/08/18,1485,GHCL Ltd.,,being amount received from GHCL Towards UTR NO SBIN718228533623,INR,20610256,16/07/18,16/07/18,26935.86,26935
70201123,N,24/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18906827192 APPLIED MATERIALS INDIA PVT,INR,20210429,25/06/18,25/06/18,4271.6,4199.6
70201123,N,24/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18906827192 APPLIED MATERIALS INDIA PVT,INR,20210430,25/06/18,25/06/18,12800,12800
70201123,N,24/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18906827192 APPLIED MATERIALS INDIA PVT,INR,20210441,26/06/18,26/06/18,163302.84,163302.84
70201123,N,24/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18906827192 APPLIED MATERIALS INDIA PVT,INR,20210642,30/07/18,30/07/18,38193.48,38193.48
70201124,N,20/08/18,1485,GHCL Ltd.,,NEFT SBIN918232790729 GHCL LTD,INR,20610227,06/07/18,06/07/18,4169.54,4169
70201125,N,24/08/18,1096,Bharat Mumbai Container Terminals Pvt. Ltd.,,NEFT 000021199741 BMCTPL O M ACCOUNT,INR,20210330,07/06/18,07/06/18,8821.68,8821.68
70201126,N,27/08/18,1485,GHCL Ltd.,,NEFT SBIN418239648510 GHCL LTD,INR,20610225,06/07/18,06/07/18,480.26,480
70201127,N,24/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0172425 M S CUMMINS TECHNOLO,INR,20210368,14/06/18,14/06/18,2037.9,2037.9
70201128,N,24/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0172402 M S CUMMINS TECHNOLO,INR,20210369,14/06/18,14/06/18,10478.4,10478.4
70201130,N,27/08/18,87,Cummins Technologies India Pvt. Ltd.,,Blank,INR,20210445,27/06/18,27/06/18,27400,27400
70201131,N,27/08/18,1201,Duroshox Pvt. Ltd.,,Blank,INR,20210426,25/06/18,25/06/18,3245,3245
70201131,N,27/08/18,1201,Duroshox Pvt. Ltd.,,Blank,INR,20210509,07/07/18,07/07/18,16573.02,16573.02
70201133,N,27/08/18,53,BEL Optronic Devices Ltd.,,NEFT N239180616749712 cash deposited by PRAVIN BHIMRAO SHINDE,INR,20210733,14/08/18,14/08/18,4652.19,4652
70201137,N,28/08/18,1530,Stanley Engineered Fastening India Pvt. Ltd.,,NEFT HSBCN18239727885 STANLEY ENGINEERED FASTENIN,INR,20210217,18/05/18,18/05/18,22925,21792
70201138,N,28/08/18,198,J S Equipments,,Blank,INR,20210004,04/04/18,04/04/18,2261468.6,29588.72
70201138,N,28/08/18,198,J S Equipments,,Blank,INR,20210102,23/04/18,23/04/18,2402583.36,970411.28
70201139,N,23/08/18,1737,Nivea India Pvt. Ltd.,,Being Amount received from NIVED INDIA PVT LTD through UTR NO 180823A0RGN00028,INR,20610220,06/07/18,06/07/18,10325,10325
70201140,N,28/08/18,127,GAIL India Ltd.,,☻NS GARUDA NEFT SBIN518240699392 3000018430000184☺,INR,20210709,09/08/18,09/08/18,108542.3,99343
70201141,N,29/08/18,1737,Nivea India Pvt. Ltd.,,NEFT 180830A73GN00020 NIVEA INDIA PRIVATE,INR,20610247,13/07/18,13/07/18,28826.96,28826.96
70201142,N,29/08/18,198,J S Equipments,,RTGS UBINR52018082900171581 J S EQUIPMENTS♦,INR,20210102,23/04/18,23/04/18,2402583.36,486432
70201143,N,29/08/18,966,Beckman Coulter India Pvt. Ltd.,,NEFT CITIN18909145768 BECKMAN COULTER INDIA PVT L,INR,20210623,27/07/18,27/07/18,20845.88,20845.88
70201144,N,03/10/18,1737,Nivea India Pvt. Ltd.,,NEFT 181003AHRGN00024 NIVEA INDIA PRIVATELIMITED,INR,20610351,16/08/18,16/08/18,7473.3,7473.3
70201145,N,29/08/18,198,J S Equipments,,RTGS UBINR52018082900205466 J S EQUIPMENTS,INR,20210102,23/04/18,23/04/18,2402583.36,500000
70201148,N,29/08/18,129,GE Diesel Locomotive Pvt. Ltd.,,RTGS HSBCR22018082905334273 GE DIESEL LOCOMOTI,INR,20210178,29/05/18,29/05/18,17600,17600
70201148,N,29/08/18,129,GE Diesel Locomotive Pvt. Ltd.,,RTGS HSBCR22018082905334273 GE DIESEL LOCOMOTI,INR,20210364,13/06/18,13/06/18,49117.5,49117.5
70201148,N,29/08/18,129,GE Diesel Locomotive Pvt. Ltd.,,RTGS HSBCR22018082905334273 GE DIESEL LOCOMOTI,INR,20210422,22/06/18,22/06/18,324500,324500
70201148,N,29/08/18,129,GE Diesel Locomotive Pvt. Ltd.,,RTGS HSBCR22018082905334273 GE DIESEL LOCOMOTI,INR,20210455,28/06/18,28/06/18,76910.93,76910.93
70201154,N,30/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0172663 M S CUMMINS TECHNOLO☻,INR,20210456,28/06/18,28/06/18,11463.4,11463.4
70201158,N,30/08/18,1742,Cummins Technologies India Pvt. Ltd. - Recon India,,NEFT SIN05451Q0173064 M S CUMMINS TECHNOLO☻,INR,20210440,26/06/18,26/06/18,32800,32800
70201164,N,30/08/18,198,J S Equipments,,RTGS UBINR52018083000248862 J S EQUIPMENTS,INR,20210102,23/04/18,23/04/18,2402583.36,445740.08
70201164,N,30/08/18,198,J S Equipments,,RTGS UBINR52018083000248862 J S EQUIPMENTS,INR,20210103,23/04/18,23/04/18,1486431.81,554259.92
70201166,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619819485 PIRAMAL ENTERPRISES LIMITED☻,INR,20210435,26/06/18,26/06/18,101438.7,101438.7
70201166,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619819485 PIRAMAL ENTERPRISES LIMITED☻,INR,20210436,26/06/18,26/06/18,15519.64,15519.64
70201166,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619819485 PIRAMAL ENTERPRISES LIMITED☻,INR,20210438,26/06/18,26/06/18,10620,10620
70201166,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619819485 PIRAMAL ENTERPRISES LIMITED☻,INR,20210439,26/06/18,26/06/18,38443.69,38443.69
70201166,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619819485 PIRAMAL ENTERPRISES LIMITED☻,INR,20210469,30/06/18,30/06/18,557845,557845
70201167,N,30/08/18,844,GIA India Laboratory Pvt. Ltd.,,NEFT HSBCN18242034404 GIA INDIA LABORATORY PRIVAT☻,INR,20210795,24/08/18,24/08/18,39954.8,39954.8
70201168,N,30/08/18,1708,ZF India Pvt. Ltd.,,Being amount received from ZF india through UTR NO 180830617GN00049,INR,20210522,11/07/18,11/07/18,17000.26,17000.26
70201168,N,30/08/18,1708,ZF India Pvt. Ltd.,,Being amount received from ZF india through UTR NO 180830617GN00049,INR,20210641,30/07/18,30/07/18,98560,98560
70201169,N,31/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0173178 M S CUMMINS TECHNOLO◘,INR,20210466,30/06/18,30/06/18,3355.17,3355.17
70201171,N,31/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0173199 M S CUMMINS TECHNOLO☻,INR,20210480,04/07/18,04/07/18,12154,12154
70201174,N,27/08/18,1541,ABB India Ltd.,,Being amount received from ABB INDIA through UTR NO NEFT CMS896495881 ABB INDIA LTD,INR,20610189,28/06/18,28/06/18,1403.5,1403.5
70201174,N,27/08/18,1541,ABB India Ltd.,,Being amount received from ABB INDIA through UTR NO NEFT CMS896495881 ABB INDIA LTD,INR,20610190,28/06/18,28/06/18,63814.42,63813.9
70201178,N,05/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180905898GN00001 COVESTRO INDIA PRIVATE,INR,20210698,08/08/18,08/08/18,72008.5,72008.5
70201178,N,05/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180905898GN00001 COVESTRO INDIA PRIVATE,INR,20210699,08/08/18,08/08/18,32144,32144
70201179,N,10/09/18,3,Cummins India Ltd.,,NEFT CITIN18915412222 CUMMINS IND LD POWER GEN BU,INR,20210491,05/07/18,05/07/18,13043.44,13043.44
70201180,N,27/07/18,SC-8943,"THE REGISTRAR, IIT BOMBAY",,DD NO 116106 Being DD cancelled,INR,,,,0,37760
70201182,N,11/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0174077 M S CUMMINS TECHNOLO,INR,20210542,13/07/18,13/07/18,14878,14878
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610146,19/06/18,19/06/18,148177.43,148177.43
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610167,25/06/18,25/06/18,12257.26,12257.26
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610173,25/06/18,25/06/18,3796.66,3796.66
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610177,26/06/18,26/06/18,2811.05,2811.05
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610190,28/06/18,28/06/18,63814.42,0.52
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610194,30/06/18,30/06/18,26703.4,26703.4
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610195,30/06/18,30/06/18,10076.38,10076.38
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610196,30/06/18,30/06/18,1176,1176
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610197,30/06/18,30/06/18,3245,3245
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610198,30/06/18,30/06/18,3540,3540
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610202,04/07/18,04/07/18,16744.2,16744.2
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610218,06/07/18,06/07/18,51913.28,51913.28
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610250,13/07/18,13/07/18,53153.1,53153.1
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610254,14/07/18,14/07/18,519.2,519.2
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610258,17/07/18,17/07/18,13172.88,13172.88
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610284,24/07/18,24/07/18,7046.96,7046.96
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610287,25/07/18,25/07/18,182988.5,182988.5
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610293,26/07/18,26/07/18,424.8,424.8
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610308,30/07/18,30/07/18,2675.3,2675.3
70201183,N,04/10/18,1541,ABB India Ltd.,,,INR,20610322,06/08/18,06/08/18,30583.24,30583.24
70201185,N,02/08/18,773,Piramal Enterprises Ltd.,,NEFT N214180600140182 PIRAMAL ENTERPRISES LIMITED,INR,21210001,17/05/18,17/05/18,3750.4,3750.21
70201185,N,02/08/18,773,Piramal Enterprises Ltd.,,NEFT N214180600140182 PIRAMAL ENTERPRISES LIMITED,INR,21210003,19/05/18,19/05/18,79804.61,79804.61
70201185,N,02/08/18,773,Piramal Enterprises Ltd.,,NEFT N214180600140182 PIRAMAL ENTERPRISES LIMITED,INR,21210006,29/05/18,29/05/18,24935.18,24935.18
70201185,N,02/08/18,773,Piramal Enterprises Ltd.,,NEFT N214180600140182 PIRAMAL ENTERPRISES LIMITED,INR,21210007,02/06/18,02/06/18,5993.58,5993.58
70201186,N,09/08/18,773,Piramal Enterprises Ltd.,,NEFT N221180606162715 PIRAMAL ENTERPRISES LIMITED,INR,21210001,17/05/18,17/05/18,3750.4,0.17
70201186,N,09/08/18,773,Piramal Enterprises Ltd.,,NEFT N221180606162715 PIRAMAL ENTERPRISES LIMITED,INR,21210009,07/06/18,07/06/18,8795.33,8795.33
70201186,N,09/08/18,773,Piramal Enterprises Ltd.,,NEFT N221180606162715 PIRAMAL ENTERPRISES LIMITED,INR,21210010,07/06/18,07/06/18,244513.7,244513.7
70201186,N,09/08/18,773,Piramal Enterprises Ltd.,,NEFT N221180606162715 PIRAMAL ENTERPRISES LIMITED,INR,21210011,07/06/18,07/06/18,1740.8,1740.8
70201187,N,16/08/18,773,Piramal Enterprises Ltd.,,16-08-2018,INR,21210001,17/05/18,17/05/18,3750.4,0.02
70201187,N,16/08/18,773,Piramal Enterprises Ltd.,,16-08-2018,INR,21210002,18/05/18,18/05/18,4060.5,4060.5
70201187,N,16/08/18,773,Piramal Enterprises Ltd.,,16-08-2018,INR,21210012,11/06/18,11/06/18,7824.82,7824.82
70201187,N,16/08/18,773,Piramal Enterprises Ltd.,,16-08-2018,INR,21210013,15/06/18,15/06/18,9403.49,9403.49
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20710059,19/04/18,19/04/18,372024.5,372024.5
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20710058,19/04/18,19/04/18,7835.2,7835.2
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20710057,19/04/18,19/04/18,2383.6,2383.6
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20710060,20/04/18,20/04/18,11256.92,11256.92
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20710062,20/04/18,20/04/18,6301.2,6301.2
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20710061,20/04/18,20/04/18,134581.36,134581.36
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20710071,24/04/18,24/04/18,26762.4,26762.4
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20710070,24/04/18,24/04/18,9381,9381
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20610012,26/04/18,26/04/18,17318.44,17318.44
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20610008,26/04/18,26/04/18,4224,4224
70201188,N,10/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18888761631,INR,20610013,26/04/18,26/04/18,21381.6,21381.6
70201192,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619809248 PIRAMAL ENTERPRISES LIMITED,INR,21210014,27/06/18,27/06/18,359888.2,359888.2
70201192,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619809248 PIRAMAL ENTERPRISES LIMITED,INR,21210015,28/06/18,28/06/18,6663.7,6663.7
70201192,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619809248 PIRAMAL ENTERPRISES LIMITED,INR,21210016,29/06/18,29/06/18,38808,38808
70201192,N,30/08/18,773,Piramal Enterprises Ltd.,,NEFT N242180619809248 PIRAMAL ENTERPRISES LIMITED,INR,21210017,30/06/18,30/06/18,19404,19404
70201193,N,20/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18891127035☻,INR,20710022,06/04/18,06/04/18,20480,19175
70201193,N,20/07/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18891127035☻,INR,20610024,03/05/18,03/05/18,4166.16,4166.16
70201194,N,06/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626751024 PIRAMAL ENTERPRISES LIMITED◘,INR,21210018,05/07/18,05/07/18,28320,28320
70201194,N,06/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626751024 PIRAMAL ENTERPRISES LIMITED◘,INR,21210019,05/07/18,05/07/18,3345.3,3345.3
70201194,N,06/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626751024 PIRAMAL ENTERPRISES LIMITED◘,INR,21210020,05/07/18,05/07/18,11294.74,11294.74
70201194,N,06/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626751024 PIRAMAL ENTERPRISES LIMITED◘,INR,21210021,05/07/18,05/07/18,29421.64,29421.64
70201194,N,06/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626751024 PIRAMAL ENTERPRISES LIMITED◘,INR,21210022,06/07/18,06/07/18,15007.6,15007.6
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610021,02/05/18,02/05/18,8024,8024
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610020,02/05/18,02/05/18,12761.7,12761.7
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610033,05/05/18,05/05/18,11189.18,11189.18
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610032,05/05/18,05/05/18,18928.02,18928.02
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610037,10/05/18,10/05/18,50976,50976
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610036,10/05/18,10/05/18,55807.04,55807.04
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610041,11/05/18,11/05/18,5607.84,5607.84
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610042,11/05/18,11/05/18,6077,6077
70201195,N,27/07/18,180,Ingersoll Rand (India) Ltd.,,Being  Amount  received from IR Through UTR NO CITIN18893502645,INR,20610043,11/05/18,11/05/18,3150.6,3150.6
70201196,N,30/07/18,102,DHL Supply Chain India Pvt. Ltd.,,NEFT 180730643GN00004 DHL SUPPLY CHAIN INDIA,INR,20910014,15/06/18,15/06/18,212400,208800
70201197,N,01/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18897209679,INR,20610045,15/05/18,15/05/18,354,354
70201197,N,01/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18897209679,INR,20610046,15/05/18,15/05/18,7835.2,7835.2
70201197,N,01/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18897209679,INR,20610050,16/05/18,16/05/18,53524.8,53524.8
70201198,N,03/07/18,1691,Compass India Support Services Pvt. Ltd.,,Being Amount received from Campass india support service NEFT HSBCN18184352171,INR,20910001,23/05/18,23/05/18,861.4,861.4
70201199,N,10/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18901706266•,INR,20610057,19/05/18,19/05/18,171098.82,171098.82
70201199,N,10/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18901706266•,INR,20610063,25/05/18,25/05/18,5270.94,5270.94
70201199,N,10/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18901706266•,INR,20610064,25/05/18,25/05/18,1958.8,1958.8
70201199,N,10/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18901706266•,INR,20610080,25/05/18,25/05/18,57154.86,57154.86
70201199,N,10/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18901706266•,INR,20610081,25/05/18,25/05/18,2383.6,2383.6
70201199,N,10/08/18,180,Ingersoll Rand (India) Ltd.,,Being amount received from IR Through UTR NO CITIN18901706266•,INR,20610077,25/05/18,25/05/18,83860.24,83860.24
70201201,N,10/07/18,1132,HSIL Ltd.,,Being amount received from HSIL Through UTR NO SIN02297Q0145554,INR,20910006,05/06/18,05/06/18,14750,14750
70201203,N,21/08/18,180,Ingersoll Rand (India) Ltd.,,being amount received from IR Through UTR NO CITIN18905715243☻,INR,20610090,31/05/18,31/05/18,6301.2,6301.2
70201204,N,01/08/18,530,Bharti Airtel Ltd.,,Being Amount received from BHARTI AIRTEL NEFT N214180599733124,INR,20910004,30/05/18,30/05/18,4899.36,4899.36
70201204,N,01/08/18,530,Bharti Airtel Ltd.,,Being Amount received from BHARTI AIRTEL NEFT N214180599733124,INR,20910010,13/06/18,13/06/18,2449.68,2449.68
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610078,25/05/18,25/05/18,43878.3,43878.3
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610083,28/05/18,28/05/18,46836.65,46836.65
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610082,28/05/18,28/05/18,98131.16,98131.16
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610086,31/05/18,31/05/18,50400,50400
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610087,31/05/18,31/05/18,8400,8400
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610095,02/06/18,02/06/18,12308,12308
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610099,04/06/18,04/06/18,33205.2,33205.2
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610098,04/06/18,04/06/18,6490,6490
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610096,04/06/18,04/06/18,4471.6,4471.6
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610101,05/06/18,05/06/18,33276,33276
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610106,05/06/18,05/06/18,151122.72,151122.72
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610112,06/06/18,06/06/18,1949.86,1949.86
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610111,06/06/18,06/06/18,15598.8,15598.8
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610109,06/06/18,06/06/18,2596,2596
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610118,07/06/18,07/06/18,12390,12390
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610122,08/06/18,08/06/18,2100,2100
70201208,N,30/08/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18909223596 INGERSOLL RAND INDIA LIMITE,INR,20610135,15/06/18,15/06/18,57112,57112
