Purchase Order Number,Date,Vendor,Remarks,Due Date,Project,Document Total,Payment Terms Code,Document Currency,Document Rate,Document Status,Canceled,Tax Amount (SC),Inside Sales Owner
40211396,10-Oct-2018,Vismay's Design,Based On Sales Orders 10211084.,11-Oct-2018,27959,"1,625.00",100% After Delivery,Indian Rupee,1,Closed,Yes,0,Supriya Govalkar
40211403,10-Oct-2018,Sagar Office Automation,,15-Oct-2018,,"6,384.00",30 Days Credit,Indian Rupee,1,Closed,Yes,684,
40211420,11-Oct-2018,Kaizen Industries,Based On Sales Orders 10211067.,31-Oct-2018,27630,"47,112.68",15 Days PDC,Indian Rupee,1,Closed,Yes,"7,186.68",Sarika Tanawade
40211428,12-Oct-2018,Shree Venkateshwara Controls,Based On Sales Orders 10211101.,02-Nov-2018,27041,"3,95,072.26",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"60,265.26",Sajida Sayyed
40211436,13-Oct-2018,Safety Solutions,Based On Sales Orders 10211106.,15-Oct-2018,27992,"1,10,240.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"16,816.27",Sarika Tanawade
40211456,16-Oct-2018,AV Vision Equipments India Pvt. Ltd.,,20-Oct-2018,,"5,416.20",100% Advance,Indian Rupee,1,Closed,Yes,826.2,
40211462,17-Oct-2018,Local,,17-Oct-2018,,160,cash on delivery,Indian Rupee,1,Closed,Yes,24.4,
40211466,17-Oct-2018,Shree Venkateshwara Controls,Based On Sales Orders 10211127.,30-Oct-2018,28140,"3,95,072.26",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"60,265.26",Sajida Sayyed
40211485,22-Oct-2018,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10211143.,05-Nov-2018,28216,"14,750.00",100% Advance,Indian Rupee,1,Closed,Yes,"2,250.00",Mitesh Mandaliya
40211504,24-Oct-2018,Agents International,Based On Sales Orders 10211152.,26-Oct-2018,27415,"10,649.95",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,624.57",Husna Khan
40211509,24-Oct-2018,Vijay Engineers,Based On Sales Orders 10211159.,03-Nov-2018,27688,"4,071.00",100% Advance,Indian Rupee,1,Closed,Yes,621,Kartik Pai
40211511,25-Oct-2018,Vijay Engineers,,25-Oct-2018,27688,"4,071.00",100% Advance,Indian Rupee,1,Closed,Yes,621,Kartik Pai
40211517,25-Oct-2018,Datta Enterprises,,25-Oct-2018,26602,"42,480.00",100% Advance,Indian Rupee,1,Closed,Yes,"6,480.00",Pravin Shinde
40211519,26-Oct-2018,Crest Test Systems Pvt. Ltd.,Based On Sales Orders 10211171.,19-Dec-2018,26068,"11,61,237.99",25% Against P.O. & 75% Against Proforma Invoice Prior to Dispatch,Indian Rupee,1,Closed,Yes,"1,77,138.00",Sajida Sayyed
40211524,26-Oct-2018,Meridian Auto Parts,,26-Oct-2018,,"27,805.62",100% Advance,US Dollar,73.3,Closed,Yes,0,
40211539,29-Oct-2018,Intek Instruments,Based On Sales Orders 10211185.,05-Nov-2018,28163,"6,623.34",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,010.34",Sajida Sayyed
40211540,29-Oct-2018,SVJ Corporation,Based On Sales Orders 10211185.,05-Nov-2018,28163,"49,560.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"7,560.00",Sajida Sayyed
40211544,29-Oct-2018,Kamal Enertprises,Based On Sales Orders 10211189.,31-Oct-2018,26726,"7,075.38",100% Advance,Indian Rupee,1,Closed,Yes,"1,079.29",Husna Khan
40211545,29-Oct-2018,Scion Technology,Based On Sales Orders 10211189.,31-Oct-2018,26726,"2,474.99",100% Advance,Indian Rupee,1,Closed,Yes,377.54,Husna Khan
40211563,01-Nov-2018,Stanley Black and Decker India Pvt. Ltd.,Based On Sales Orders 10211198.,03-Nov-2018,28455,482.86,100% Advance,Indian Rupee,1,Closed,Yes,73.66,Husna Khan
40211580,02-Nov-2018,Ratnadeep Chemicals,Based On Sales Orders 10211217.,05-Nov-2018,28677,"90,860.00",50% Against PI and 50% after 45 Days,Indian Rupee,1,Closed,Yes,"13,860.00",Husna Khan
40211581,03-Nov-2018,Reflectosafe,Based On Sales Orders 10211224.,19-Nov-2018,28629,"35,112.00",Within 30 Days,Indian Rupee,1,Closed,Yes,"1,672.00",Mitesh Mandaliya
40211584,03-Nov-2018,Valisons and Co.,Based On Sales Orders 10211234.,05-Nov-2018,27710,"3,533.18",100% Advance,Indian Rupee,1,Closed,Yes,539,Mayur Salunke
40211585,03-Nov-2018,Sagar Office Automation,Based On Sales Orders 10211234.,05-Nov-2018,27710,"19,369.70",30 Days Credit,Indian Rupee,1,Closed,Yes,"2,954.70",Mayur Salunke
40211589,03-Nov-2018,Ravi Scientific Industries,,17-Nov-2018,,955.8,100% Advance,Indian Rupee,1,Closed,Yes,145.8,
40211597,12-Nov-2018,Ratnadeep Chemicals,,12-Nov-2018,28677,"90,860.00",7 Days PDC,Indian Rupee,1,Closed,Yes,"13,860.00",Husna Khan
40211614,13-Nov-2018,Eagle Electricals,Based On Sales Orders 10211244.,27-Nov-2018,28291,"70,800.00",100% After Delivery,Indian Rupee,1,Closed,Yes,"10,800.00",Supriya Govalkar
40211623,13-Nov-2018,Vijay Engineers,Based On Sales Orders 10211246.,16-Nov-2018,26361,"12,482.06",30 Days PDC,Indian Rupee,1,Closed,Yes,"1,439.56",Neha Mundhe
40211627,13-Nov-2018,Param Associates,Based On Sales Orders 10211259.,20-Nov-2018,27546,"26,783.30",20 Days after delivery,Indian Rupee,1,Closed,Yes,"4,085.58",Sajida Sayyed
40211636,14-Nov-2018,M.JTraders (Dowells),Based On Sales Orders 10211234.,16-Nov-2018,27710,"3,472.16",100% Advance,Indian Rupee,1,Closed,Yes,529.66,Mayur Salunke
40211637,14-Nov-2018,Safety Solutions,Based On Sales Orders 10211272.,12-Nov-2018,28591,"73,710.00",30 days after delivery,Indian Rupee,1,Closed,Yes,"3,510.00",Husna Khan
40211662,15-Nov-2018,Madras Tools,Based On Sales Orders 10211200.,27-Oct-2018,28579,"2,14,200.00",Net-30,Indian Rupee,1,Closed,Yes,"22,950.00",Mitesh Mandaliya
40211677,19-Nov-2018,Victor Import,Based On Sales Orders 10211301.,09-Nov-2018,28154,"53,760.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"5,760.00",Aditya Andankar
40211685,20-Nov-2018,Technorise,,20-Nov-2018,27546,"8,468.38",15 days after delivery,Indian Rupee,1,Closed,Yes,"1,291.78",Sajida Sayyed
40211692,21-Nov-2018,Max Machinery Inc.,Based On Sales Orders 10211317.,18-Dec-2018,28644,90,100% advance,Indian Rupee,1,Closed,Yes,0,Sajida Sayyed
40211708,23-Nov-2018,Shabbir Hardware Stores,Based On Sales Orders 10211337.,06-Dec-2018,29157,"85,845.00",Immediate,Indian Rupee,1,Closed,Yes,"13,095.00",Mitesh Mandaliya
40211710,23-Nov-2018,Shabbir Hardware Stores,Based On Sales Orders 10211338.,23-Nov-2018,29161,"77,880.00",Immediate,Indian Rupee,1,Closed,Yes,"11,880.00",Mitesh Mandaliya
40211726,26-Nov-2018,Gleam Enterprises,Based On Sales Orders 10211356.,08-Dec-2018,29042,"52,215.00",50% advance and 50% at the time of delivery,Indian Rupee,1,Closed,Yes,"7,965.00",Ghousuddin Shaikh
40211733,26-Nov-2018,Deluxe Electrical Corporation,Based On Sales Orders 10211350.,07-Dec-2018,25338,"18,478.80",30 Days Credit,Indian Rupee,1,Closed,Yes,"2,818.80",Neha Mundhe
40211750,27-Nov-2018,Balaji Enterprises,Based On Sales Orders 10211363.,31-Jan-2019,29229,"60,569.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"6,489.60",Mitesh Mandaliya
40211753,27-Nov-2018,SR Enterprises,Based On Sales Orders 10211365.,14-Dec-2018,28292,"70,800.00",100% Advance,Indian Rupee,1,Closed,Yes,"10,800.00",Pravin Shinde
40211763,27-Nov-2018,Shyam Trading Company,Based On Sales Orders 10211383.,16-Dec-2018,29226,"1,87,620.00",100% advance before delivery,Indian Rupee,1,Closed,Yes,"28,620.00",Ghousuddin Shaikh
40211764,27-Nov-2018,BMP Lighting,Based On Sales Orders 10211364.,06-Dec-2018,28200,"4,26,160.00",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"45,660.00",Husna Khan
40211780,28-Nov-2018,Rishabh Instruments Pvt. Ltd.,Based On Sales Orders 10211371.,30-Nov-2018,28031,"1,132.80",100% Against Delivery,Indian Rupee,1,Closed,Yes,172.8,Rahul Sonawane
40211799,30-Nov-2018,Sure Safety,Based On Sales Orders 10211411.,05-Nov-2018,28950,"3,080.00",7 Days PDC,Indian Rupee,1,Closed,Yes,330,Mitesh Mandaliya
40211803,30-Nov-2018,Minaxi Bitumen,Based On Sales Orders 10211415.,30-Nov-2018,29429,"2,25,00,013.44",30 Days Credit,Indian Rupee,1,Closed,Yes,"34,32,205.44",Vijay Manjrekar
40211804,27-Nov-2018,Industeel France,Based On Sales Orders 10211392.,15-Apr-2019,29342,"2,78,01,630.00",Net-30,Euro,81,Closed,Yes,0,Vijay Manjrekar
40211809,30-Nov-2018,Mahendra Thermo Electricals,Based On Sales Orders 10211334.,04-Jan-2019,28611,"11,103.80",100% Advance,Indian Rupee,1,Closed,Yes,"1,693.80",Supriya Govalkar
40211816,01-Dec-2018,HSE Solutions Pvt Ltd,Based On Sales Orders 10211426.,22-Dec-2018,29451,"54,280.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"8,280.00",Dipali Ghanvat
40211838,04-Dec-2018,Mafsee Cameras and Departmental Stores,Based On Sales Orders 10211447.,31-Jan-2019,29523,"95,698.00",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"14,598.00",Mitesh Mandaliya
40211849,05-Dec-2018,Amazon.in,Based On Sales Orders 10211344.,29-Nov-2018,29041,"1,848.99",100% Advance,Indian Rupee,1,Closed,Yes,282.05,Ghousuddin Shaikh
40211863,20-Apr-2018,Shree Laxmi Enterprises,,20-Apr-2018,,"7,096.78",50% Against PI and 50% after 45 Days,Indian Rupee,1,Closed,Yes,"1,082.56",
40211864,07-Dec-2018,Industrial Marketing Associates,Based On Sales Orders 10211466.,14-Dec-2018,29456,"31,860.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"4,860.00",Mitesh Mandaliya
40211884,10-Dec-2018,Ophtho Equip Incorporation,Based On Sales Orders 10211469.,07-Jan-2019,28665,"1,85,000.03",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"19,821.43",Mitesh Mandaliya
40211900,12-Dec-2018,Shriram Engineering,Based On Sales Orders 10211496.,09-Jan-2019,28046,"3,15,945.00",50% Advance 50 % Before Delivery,Indian Rupee,1,Closed,Yes,"48,195.00",Mitesh Mandaliya
40211922,14-Dec-2018,Intervalve India Pvt. Ltd.,Based On Sales Orders 10211514.,11-Jan-2019,29735,"5,37,018.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"81,918.00",Husna Khan
40211931,17-Dec-2018,Air Products Prism Membranes,Based On Sales Orders 10211530.,28-Feb-2019,29877,"2,22,208.00",100% Advance,US Dollar,71.68,Closed,Yes,0,Mitesh Mandaliya
40211957,19-Dec-2018,MI Tools India,,26-Dec-2018,,"35,048.03",Net-30,Indian Rupee,1,Closed,Yes,"5,346.31",
40211962,20-Dec-2018,Conde Nast India Pvt. Ltd.,Based On Sales Orders 10211558.,22-Dec-2018,30018,"3,000.00",100% Advance,Indian Rupee,1,Closed,Yes,0,Ghousuddin Shaikh
40211981,21-Dec-2018,Royal Impex,Based On Sales Orders 10211586.,24-Dec-2018,30030,"17,055.72",100% Advance,Indian Rupee,1,Closed,Yes,"2,601.72",Ghousuddin Shaikh
40211991,24-Dec-2018,Industeel France,Based On Sales Orders 10211595.,23-Apr-2019,30157,"2,41,52,688.00",90 days after delivery,Euro,79.87,Closed,Yes,0,Vijay Manjrekar
40211995,26-Dec-2018,Srp Laser,Based On Sales Orders 10211592.,28-Dec-2018,30146,"43,660.00",100% After Delivery,Indian Rupee,1,Closed,Yes,"6,660.00",Supriya Govalkar
40212001,26-Dec-2018,Indian Institute of Technology Bombay,Based On Sales Orders 10211587.,28-Dec-2018,28590,"29,500.00",100% Advance,Indian Rupee,1,Closed,Yes,"4,500.00",Supriya Govalkar
40212002,26-Dec-2018,Indian Institute of Technology Bombay,Based On Sales Orders 10211582.,28-Dec-2018,28570,"59,000.00",100% Advance,Indian Rupee,1,Closed,Yes,"9,000.00",Supriya Govalkar
40212008,27-Dec-2018,H. M. Industrial Suppliers,Based On Sales Orders 10211616.,29-Dec-2018,30111,"74,970.00",100% Advance,Indian Rupee,1,Closed,Yes,"3,570.00",Kartik Pai
40212011,27-Dec-2018,M/s Paperkart,Based On Sales Orders 10211623.,31-Dec-2018,29826,"26,248.94",15 Days PDC,Indian Rupee,1,Closed,Yes,"3,233.64",Mrunal Malkar
40212030,28-Dec-2018,HellermannTyton Pvt. Ltd.,Based On Sales Orders 10211641.,04-Jan-2019,29558,"31,152.00",100% Advance,Indian Rupee,1,Closed,Yes,"4,752.00",Deepa Gade
40212033,28-Dec-2018,Bombay Fire Safety,,31-Dec-2018,,810.9,Net-30,Indian Rupee,1,Closed,Yes,60.9,
40212034,29-Dec-2018,TA Instruments,Based On Sales Orders 10211643.,22-Jan-2019,21043,"87,187.50",100% Advance,US Dollar,69.75,Closed,Yes,0,Sajida Sayyed
40212048,31-Dec-2018,Hanna Equipments (India) Pvt. Ltd.,Based On Sales Orders 10211663.,14-Feb-2019,29005,"27,186.30",100% Advance Along With PO,Indian Rupee,1,Closed,Yes,"4,101.30",Saquib Shaikh
40212050,02-Jan-2019,Hanna Equipments (India) Pvt. Ltd.,Based On Sales Orders 10211654.,13-Feb-2019,29718,"27,186.30",100% Advance Along With PO,Indian Rupee,1,Closed,Yes,"4,101.30",Saquib Shaikh
40212058,02-Jan-2019,Intek Instruments,Based On Sales Orders 10211676.,14-Mar-2019,29816,"1,96,380.32","40% Advanced,Balance Against Proforma Invoice",Indian Rupee,1,Closed,Yes,"29,956.32",Sajida Sayyed
40212085,04-Jan-2019,Saravana Stores,Based On Sales Orders 10211706.,07-Jan-2019,29760,"7,366.00",100% Advance,Indian Rupee,1,Closed,Yes,"1,123.63",Ayush Agrawal
40212089,04-Jan-2019,Amazon.in,Based On Sales Orders 10211710.,16-Jan-2019,29972,"1,999.01",100% Advance,Indian Rupee,1,Closed,Yes,304.94,Saquib Shaikh
40212092,05-Jan-2019,Batt Power Company,Based On Sales Orders 10211715.,14-Jan-2019,30055,"48,896.00",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"10,696.00",Rahul Sonawane
40212117,08-Jan-2019,Variety Plywood,,10-Jan-2019,,"17,464.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,664.00",
40212157,11-Jan-2019,Cloudtail India Pvt. Ltd.,,17-Jan-2019,29972,"1,999.01",100% Advance,Indian Rupee,1,Closed,Yes,304.94,Saquib Shaikh
40212164,14-Jan-2019,H. M. Industrial Suppliers,Based On Sales Orders 10211772.,25-Jan-2019,30695,"2,12,625.00",30 days after delivery,Indian Rupee,1,Closed,Yes,"10,125.00",Kartik Pai
40212165,14-Jan-2019,H. M. Industrial Suppliers,Based On Sales Orders 10211773.,28-Jan-2019,30697,"6,20,550.00",30 days after delivery,Indian Rupee,1,Closed,Yes,"29,550.00",Kartik Pai
40212168,14-Jan-2019,Jignesh Agency Pvt. Ltd.,Based On Sales Orders 10211777.,24-Jan-2019,30650,"6,372.00",100% advance before delivery,Indian Rupee,1,Closed,Yes,972,Rahul Sonawane
40212181,15-Jan-2019,Staubli Tec Systems India Pvt. Ltd.,Based On Sales Orders 10211781.,14-Feb-2019,30540,"7,333.70",100% Advance,Indian Rupee,1,Closed,Yes,"1,118.70",Supriya Govalkar
40212234,19-Jan-2019,Vivek and Co.,,19-Jan-2019,,"1,28,555.88",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"19,610.23",
40212236,19-Jan-2019,Vivek and Co.,,21-Jan-2019,,"1,28,555.88",Net-30,Indian Rupee,1,Closed,Yes,"19,610.23",
40300078,21-Mar-2018,Nikhil Adhesives Ltd.,,21-Mar-2018,,"5,959.00",Net-30,Indian Rupee,1,Closed,Yes,909,
40300099,28-Mar-2018,Precision Source,,28-Mar-2018,,"34,000.00",Net-30,Indian Rupee,1,Closed,Yes,0,
40510001,04-Jun-2018,Festo Controls Pvt. Ltd.,Based On Sales Orders 10210315.,25-Jun-2018,20197,"16,428.25",100% Advance,Indian Rupee,1,Closed,Yes,"2,506.00",Pravin Shinde
40610044,24-Apr-2018,Cameron Middle East FZE,,24-Apr-2018,,"17,500.00",Net-30,Indian Rupee,1,Closed,Yes,0,
40610059,05-Apr-2018,S R Info Solution Pvt. Ltd.,,05-Apr-2018,,"29,346.60",Net-30,Indian Rupee,1,Closed,Yes,"4,476.60",
40610061,14-May-2018,Valisons and Co.,Based On Sales Orders 10610077.,28-May-2018,19959,"10,905.21",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,663.51",Prit Patel
40610062,14-May-2018,Ziehl Industrie-Elektronik Gmbh + Co Kg,,14-May-2018,,"60,608.42",Net-30,US Dollar,67.4176,Closed,Yes,0,Dhrumil Patel
40610063,17-May-2018,Aum Techno Service,Based On Sales Orders 10710003.,24-May-2018,19883,"22,292.10",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"3,400.50",Avni Shah
40610065,19-May-2018,Rajendra Engineering Pvt. Ltd.,Based On Sales Orders 10710006.,16-Jun-2018,19182,"54,559.68",100% Advance,Indian Rupee,1,Closed,Yes,"5,845.68",Prit Patel
40610095,05-Jun-2018,Keval Inc.,,07-Jun-2018,,"16,048.00",100% Advance,Indian Rupee,1,Closed,Yes,"2,448.00",Avni Shah
40610109,12-Jun-2018,Bombay Fire Safety,Based On Sales Orders 99999089.,19-Jun-2018,,"31,500.00",30 days after delivery,Indian Rupee,1,Closed,Yes,"1,500.00",Piyush Yadav
40610111,12-Jun-2018,SEW Eurodrive India Pvt. Ltd.,Based On Sales Orders 10610122.,26-Jun-2018,20166,"1,93,590.80",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"29,530.80",Dhrumil Patel
40610115,13-Jun-2018,Sure Safety,Based On Sales Orders 99999089.,15-Jun-2018,,"36,624.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"3,924.00",Piyush Yadav
40610123,15-Jun-2018,Aaryam Engimech Pvt. Ltd.,Based On Sales Orders 10610119.,29-Jun-2018,21018,"3,693.42",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,563.4,Prit Patel
40610125,15-Jun-2018,Aaryam Engimech Pvt. Ltd.,Based On Sales Orders 10610121.,29-Jun-2018,21017,540.44,100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,82.44,Prit Patel
40610128,15-Jun-2018,Aaryam Engimech Pvt. Ltd.,Based On Sales Orders 10610126.,29-Jun-2018,21020,"4,209.06",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,642.06,Prit Patel
40610131,18-Jun-2018,Stanley Black and Decker India Pvt. Ltd.,Based On Sales Orders 10610140.,30-Jun-2018,21121,"1,56,443.36",45 days after delivery,Indian Rupee,1,Closed,Yes,"23,864.25",Piyush Yadav
40610133,18-Jun-2018,Bothra Electric and Refrigeration Co.,Based On Sales Orders 10610139.,25-Jun-2018,20942,"80,240.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"12,240.00",Harsh Patel
40610145,20-Jun-2018,United Insulation Industries,,18-Jul-2018,,"42,48,000.00",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"6,48,000.00",Piyush Yadav
40610150,21-Jun-2018,Kailas Industries,Based On Sales Orders 10610157.,05-Jul-2018,21301,"2,596.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,396,Dhrumil Patel
40610161,25-Jun-2018,Karma Inc.,Based On Sales Orders 10610166.,16-Jul-2018,21001,"17,700.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,700.00",Prit Patel
40610172,28-Jun-2018,Stanley Black and Decker India Pvt. Ltd.,Based On Sales Orders 10610178.,05-Jul-2018,20167,"6,428.75",45 days after delivery,Indian Rupee,1,Closed,Yes,980.66,Prit Patel
40610181,02-Jul-2018,Bearing and Tool Centre,Based On Sales Orders 10610140.,05-Jul-2018,21121,"15,998.44",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,440.44",Piyush Yadav
40610189,04-Jul-2018,ABN Equipments and Systems Pvt. Ltd.,Based On Sales Orders 10610191.,07-Jul-2018,25089,"2,522.25",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,384.75,Avni Shah
40610192,05-Jul-2018,Bearing and Tool Centre,Based On Sales Orders 10610196.,09-Jul-2018,25088,"15,998.44",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,440.44",Neel Patel
40610200,09-Jul-2018,Vardhman Distributors,Based On Sales Orders 10610199.,23-Jul-2018,25253,"17,700.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,700.00",Prit Patel
40610206,11-Jul-2018,Lohiya Electricals,,18-Jul-2018,,"29,500.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"4,500.00",Avni Shah
40610217,16-Jul-2018,High Tech Support,Based On Sales Orders 10610216.,19-Jul-2018,19849,"14,868.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,268.00",Avni Shah
40610239,19-Jul-2018,Urmi Electricals Halol,Based On Sales Orders 10610236.,25-Jul-2018,25336,283.2,100% Advance,Indian Rupee,1,Closed,Yes,43.2,Ranjit Kumar
40610249,23-Jul-2018,Anupam Enterprise,Based On Sales Orders 10610241.,30-Jul-2018,25634,"16,609.52",30% ADVANCE AGAINST PI & 70% BEFORE DISPATCH,Indian Rupee,1,Closed,Yes,"3,633.32",Jigar Patel
40610257,25-Jul-2018,Rushabh Fastech LLP,Based On Sales Orders 10610243.,08-Aug-2018,25540,"1,239.24",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,189.04,Prit Patel
40610258,25-Jul-2018,Rushabh Fastech LLP,Based On Sales Orders 10610238.,08-Aug-2018,25537,"11,540.40",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,760.40",Prit Patel
40610259,25-Jul-2018,Rushabh Fastech LLP,Based On Sales Orders 10610245.,08-Aug-2018,25633,"13,303.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,029.36",Prit Patel
40610264,26-Jul-2018,Acuro Organics Ltd,Based On Sales Orders 10610254.,09-Aug-2018,25172,"10,030.00",100% Advance Along With PO,Indian Rupee,1,Closed,Yes,"1,530.00",Suhas Nair
40610280,31-Jul-2018,Extreme Adventure Sports,Based On Sales Orders 10610258.,02-Aug-2018,19856,"35,099.92",100% Advance,Indian Rupee,1,Closed,Yes,"5,354.22",Avni Shah
40610288,07-Aug-2018,Innovative Engineering Products Pvt. Ltd.,Based On Sales Orders 10610278.,14-Aug-2018,26093,"6,442.80",30 days after delivery,Indian Rupee,1,Closed,Yes,982.8,Avni Shah
40610295,09-Aug-2018,M/s. Bufab India Fasteners Pvt. Ltd.,Based On Sales Orders 10610283.,21-Aug-2018,25639,"8,767.05",100% Advance,Indian Rupee,1,Closed,Yes,"1,337.35",Ranjit Kumar
40610308,17-Aug-2018,Bosch Ltd.,Based On Sales Orders 10610298.,20-Aug-2018,21460,"12,998.88",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,982.88",Jigar Patel
40610310,17-Aug-2018,Safety Solutions,,17-Aug-2018,,"83,632.50",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"12,757.50",
40610331,27-Aug-2018,Rushabh Fastech LLP,Based On Sales Orders 10610323.,22-Sep-2018,26567,580.56,100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,88.56,Harsh Patel
40610332,27-Aug-2018,Rushabh Fastech LLP,Based On Sales Orders 10610322.,10-Sep-2018,26565,431.88,100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,65.88,Harsh Patel
40610333,27-Aug-2018,Rushabh Fastech LLP,Based On Sales Orders 10610321.,10-Sep-2018,26564,920.4,100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,140.4,Harsh Patel
40610363,05-Sep-2018,Stanley Black and Decker India Pvt. Ltd.,Based On Sales Orders 10610348.,10-Sep-2018,26318,"92,552.59",45 days after delivery,Indian Rupee,1,Closed,Yes,"14,118.19",Ranjit Kumar
40610386,12-Sep-2018,Rushabh Fastech LLP,Based On Sales Orders 10610347.,23-Sep-2018,26796,"2,522.26",100% Advance Along With PI,Indian Rupee,1,Closed,Yes,384.76,Harsh Patel
40610390,12-Sep-2018,Manak Engineering,Based On Sales Orders 10610376.,21-Nov-2018,26561,"1,17,760.00",50% Advance 50 % Before Delivery,Indian Rupee,1,Closed,Yes,"25,760.00",Jigar Patel
40610395,17-Sep-2018,SHREENATH TOOLS CENTRE,Based On Sales Orders 10610380.,24-Sep-2018,27045,"1,567.26",15 days after delivery,Indian Rupee,1,Closed,Yes,226.26,Ranjit Kumar
40610406,19-Sep-2018,Sapcon Instruments,Based On Sales Orders 10610381.,26-Sep-2018,26843,"10,089.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,539.00",Prit Patel
40610409,20-Sep-2018,Rushabh Fastech LLP,Based On Sales Orders 10610319.,04-Oct-2018,26571,"3,693.42",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,563.4,Harsh Patel
40610414,21-Sep-2018,Rushabh Fastech LLP,Based On Sales Orders 10610395.,05-Oct-2018,27106,"1,190.04",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,181.54,Prit Patel
40610415,21-Sep-2018,Rushabh Fastech LLP,Based On Sales Orders 10610397.,05-Oct-2018,26333,"3,804.32",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,580.32,Prit Patel
40610416,21-Sep-2018,Rushabh Fastech LLP,Based On Sales Orders 10610396.,05-Oct-2018,27379,"8,516.66",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,299.16",Prit Patel
40610417,21-Sep-2018,Rushabh Fastech LLP,Based On Sales Orders 10610398.,05-Oct-2018,27111,"3,210.08",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,489.68,Prit Patel
40610418,24-Sep-2018,SHREENATH TOOLS CENTRE,Based On Sales Orders 10610384.,30-Sep-2018,27046,"13,568.14",15 days after delivery,Indian Rupee,1,Closed,Yes,"2,056.90",Ranjit Kumar
40610446,04-Oct-2018,Nachiket Enterprise,Based On Sales Orders 10610410.,21-Sep-2018,27229,"6,501.80",100% Advance,Indian Rupee,1,Closed,Yes,991.8,Ranjit Kumar
40610459,08-Oct-2018,Baroda Machine Tools,Based On Sales Orders 10610423.,15-Oct-2018,27045,"4,203.50",100% Advance,Indian Rupee,1,Closed,Yes,641.2,Yash Gajjar
40610478,11-Oct-2018,Care Safety,Based On Sales Orders 10610447.,13-Oct-2018,28007,"3,805.50",7 days after delivery,Indian Rupee,1,Closed,Yes,580.5,Avni Shah
40610492,13-Oct-2018,Shreeji Trading Co.,Based On Sales Orders 10610456.,19-Oct-2018,27737,"37,170.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"5,670.00",Suhas Nair
40610505,19-Oct-2018,Bombay Machinery Stores,Based On Sales Orders 10610463.,25-Oct-2018,27547,"1,43,518.68",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"21,892.68",Jigar Patel
40610509,23-Oct-2018,Kapsun Resources Corporation,Based On Sales Orders 10610470.,31-Oct-2018,28302,"6,018.00",100% Advance,Indian Rupee,1,Closed,Yes,918,Suhas Nair
