ItemNo,ItemDescription,Service_or_Material,TCS
BM9V3J2,"Aggregator Service- Taxi Travel Zone, EE0-004668-111-EE0-005076-114, Project-NTPC Sipat, PM-Prashant",Service,No
BM9Z1G5,Aggregator Service- Taxi_ Vilas N Tuare WBSES0-009161-112 Project- Adani Tiroda: U#1 & U#3 PM- Prash,Service,No
BM9S3M1,"Aggregator Service- Technical Drying Services, WBSES0-010330-1143, Project- Vendata Jharsugeda, PM-",Service,No
BM9H7L0S,"Aggregator Service- Techno Engineering, WBSEA0-004558-112, Project- Bakreshwar, PM- Gautam Dey",Service,No
BM9I2R2,Aggregator Service- Technocart Computers WBS: EA0-003799-0Z400009 Project: HPGCL-ESP Restoration Yam,Service,No
BM9B2N0,Aggregator Service- Testing Research Eng and Tech Services,Service,No
BM9W3N0,"Aggregator Service- Tez Engineering, WBSEA0-004558-112, Project- Bakreshwar, PM- Gautam Dey",Service,No
BM9F5D0,Aggregator Service- The Citi Hotel WBS: ES0-011327-112 Project: DURGAPUR PM: Ramukumar,Service,No
BM9V7Z4,Aggregator Service- The Metropole Hotel Bill WBSEA0-004902-1114 Project- Torrent Power PM- Ajay Rane,Service,No
BM9V5M3,Aggregator Service- The Metropole Hotel Bill WBSEB0-015421-114 Project- Torrent Power PM- Ajay Rane,Service,No
BM9K3F0,"Aggregator Service- The Metropole Hotel Bill, WBSAwaiting , Project- Awaiting, PM- Rajeev Tiwari",Service,No
BM9S1I3,"Aggregator Service- The Metropole Hotel Bill, WBSEA0-004407-1114, Project- Torrent Power, PM- Ajay R",Service,No
BM9A8M7,"Aggregator Service- The Metropole Hotel Bill, WBSEB0-015421-114, Project- Torrent Power, PM- Ajay Ra",Service,No
BM9U0G3,"Aggregator Service- The Metropole Hotel Bill, WBSEB0-015421-114, Project- Torrent Power, PM- Pending",Service,No
BM9Z0Y5,"Aggregator Service- The Metropole Hotel Bill, WBSEB0-015421-114, Project- Torrent Power, PM- Rajeev",Service,No
BM9Y1Z9,Aggregator Service- The Mohini Royale WBSES0-010330-1143 Project- Vendata Jharsugeda PM- Pradeep,Service,No
BM9H5S0,Aggregator Service- The West Bengal Power DevelopmentWBSEA0-004558-112 Project- Bakreshwar PM- Gauta,Service,No
BM9X0X5B,Aggregator Service- Travel Zone WBS: EB0-016173-1121 Project: NTPC Sipat PM: Pawan Kumar,Service,No
BM9L4K0,Aggregator Service- Turbo Erectors WBSES0-010562-114 Project- HP Turbine OH-NTPC Rihand PM- Debadity,Service,No
BM9V1W2,Aggregator Service- Ukai Travels WBS: ES0-004720-0Z200002 Project: Ukai PM: Debaditya,Service,No
BM9X3T5,Aggregator Service- Usonix Expense WBS: EB0-016712-112 Project: Star Paper Mills PM: Gautam Dey,Service,No
BM9T9J1,Aggregator Service- Vandana Readymade Garment WBS: EA0-004579-112 Project: Bilt Balarpur ESP #4 Refu,Service,No
BM9K2P0,"Aggregator Service- Vandana Readymade Garments, EE0-004748-114-EA0-004579-114, Project-Bilt Bilapur,",Service,No
BM9S7K8,"Aggregator Service- Vehicle Bill_Mahesh Kumar Singh, WBSEB0-008995-0Z400025, Project- IOCL Barauni ,",Service,No
BM9V5E0,Aggregator Service- Vehicle Hire and Food Charges - KrishnaDas Banarjee WBSEA0-004558-112 Project- B,Service,No
BM9Q8Y2,Aggregator Service- Vehicle Payment - Gudia Travels WBSES0-010330-1143 Project- Vendata Jharsugeda P,Service,No
BM9A5I7,Aggregator Service- Vehicle_ Maa Khambeshwari Travels WBS: EB0-016286-1121 Project: NTPC Vindhyachal,Service,No
BM9O0U2,Aggregator Service- Verma Logistics WBS:� Project: Khaperkheda PM: Prashant,Service,No
BM9F1D6,"Aggregator Service- Virendra Vaishnav_Taxi, WBSEE0-004046-0Z400007 , Project- CSPGCL Korba Stator Re",Service,No
BM9Q9L7,"Aggregator Service- Virendra Vaishnav_Taxi, WBSEE0-004046-0Z400007, Project- CSPGCL Korba Stator Rew",Service,No
BM9H7L3,"Aggregator Service- Vishwakrma Engineering, WBSEB0-15417-1122, Project- RIL Vadodara , PM-",Service,No
BM9A2J2,Aggregator Service- Vishwanathan Josyula WBSEE0-005205-114 Project- RRVUNL Kalisindh PM- Neeraj Pal,Service,No
BM9R3X2,Aggregator Service- Vishwanathan Joysula WBS: EE0-005120-114 Project: PTPP Paricha PM: Debaditya San,Service,No
BM9I2K9,Aggregator Service- Vitthal Krupa Tours & Travels PMEEO-005282-114 Invoice Status- Rattan Power Desc,Service,No
BM9S2T7,Aggregator Service- Vitthal Krupa Tours and Travels PMEE0-005282-114 Invoice Status- Rattan Power Lt,Service,No
BM9A0I6,"Aggregator Service- Vivek and Brothers_AC, WBS-EA0-003709-0Z400007, Project-NTPC Unchahar, PM-Neeraj",Service,No
BM9O6O3,"Aggregator Service- Win Forte Structure, WBSEB0-15417-1122, Project- RIL Vadodara , PM-",Service,No
BM9F3I6,Aggregator Service- Winder Payment for month of August WBSEE0-005137-114 Project- Generator Overhaul,Service,No
BM9X9R6,Aggregator Service- Winder Payment for month of July WBSEE0-005137-114 Project- Generator Overhauls,Service,No
BM9I2F3,Aggregator Service- Winder Payment for the month of August PMEE0-005093-111 Invoice Status- Adani Mu,Service,No
BM9E4O0,Aggregator Service- Winder payment for the month of August PMESO-010411-114 Invoice Status- Turbo Ge,Service,No
BM9O3H1,Aggregator Service- Winder payment for the month of Dec WBS: EE0-005137-114 Project: Generator Overh,Service,No
BM9W8K3,Aggregator Service- Winder payment for the month of Dec WBS: ESO-010790-1142 Project: Talwandi Sabo,Service,No
BM9L6C4Q,Aggregator Service- Winder payment for the month of Dec WBSESO-010790-1142 Project- Talwandi Sabo Ma,Service,No
BM9X4M6,Aggregator Service- Winder Payment for the month of December WBS: EE0-005120-114 Project: PTPP Paric,Service,No
BM9L0B4,Aggregator Service- Winder Payment for the month of Feb WBS: EA0-004839-112 Project: Torrent Power P,Service,No
BM9T0P4,Aggregator Service- Winder Payment for the month of Feb WBS: EE0-005116-111 Project: Adani Udipi PM:,Service,No
BM9O1X2V,Aggregator Service- Winder payment for the month of Feb WBS: EE0-005137-114 Project: Generator Overh,Service,No
BM9U0V7F,Aggregator Service- Winder Payment for the month of Feb WBS: EE0-005320-111 Project: Lanco Anapara P,Service,No
BM9S8R8,Aggregator Service- Winder Payment for the month of Jan WBS: EA0-004579-112 Project: Bilt Balarpur E,Service,No
BM9Z1B6,Aggregator Service- Winder Payment for the month of Jan WBS: EE0-005116-111 Project: Adani Udipi PM:,Service,No
BM9E9F9F,Aggregator Service- Winder Payment for the month of Jan WBS: EE0-005120-114 Project: PTPP Paricha PM,Service,No
BM9O4T2,Aggregator Service- Winder Payment for the month of Jan WBS: EE0-005282-114 Project: Rattan Power Lt,Service,No
BM9T2O8,Aggregator Service- Winder Payment for the month of Jan WBS: ESO-010790-1142 Project: Talwandi Sabo,Service,No
BM9L6P0,Aggregator Service- Winder Payment for the month of July WBS: EE0-005120-114 Project: PTPP Paricha P,Service,No
BM9S0C2,Aggregator Service- Winder Payment for the month of March WBS: EE0-005349-114 Project: Talcher Bolt,Service,No
BM9Q4V7,Aggregator Service- Winder payment for the month of Nov PMEE0-005120-114 Invoice Status- PTPP Parich,Service,No
BM9V6Q8,Aggregator Service- Winder payment for the month of Oct PMEE0-005120-114 Invoice Status- PTPP Parich,Service,No
BM9P7D6N,Aggregator Service- Winder Payment for the month of Oct WBS: Project: Khaperkheda PM: Prashant,Service,No
BM9L6R9F,Aggregator Service- Winder Payment for the month of October WBSEE0-005205-114 Project- RRVUNL Kalisi,Service,No
BM9Q6J1Y,Aggregator Service- Winder payment for the month of Sept PM Invoice Status- PTPP Paricha Description,Service,No
BM9Q0Q2G,Aggregator Service- Winder payments for the month of December - NTPC Jhajjar WBS: ES0-010562-114 Pro,Service,No
BM9E6I1,Aggregator Service- Winder payments for the month of December WBS: ES0-010562-114 Project: HP Turbin,Service,No
BM9X9J0,Aggregator Service- Winder Payments for the month of Nov PMEE0-005085-114 Invoice Status- NTPC Kahal,Service,No
BM9Z1U9,Aggregator Service- Winder payments for the month of Nov WBSES0-010562-114 Project- HP Turbine OH-NT,Service,No
BM9U0G8,Aggregator Service- Winders payment for the month of August PMEE0-005085-114 Invoice Status- NTPC Ka,Service,No
BM9O4A7,Aggregator Service- Winders Payment for the month of August PMEE0-005116-111 Invoice Status- Adani U,Service,No
BM9S6S6,Aggregator Service- Winders Payment for the month of August WBSEE0-005205-114 Project- RRVUNL Kalisi,Service,No
BM9U8Z3,Aggregator Service- Winders Payment for the month of August WBSES0-010330-1143 Project- Vendata Jhar,Service,No
BM9Y9N2,Aggregator Service- Winders Payment for the month of December WBS: ES0-010330-1143 Project: Vendata,Service,No
BM9U5T2,Aggregator Service- Winders payment for the month of July PMEE0-005085-114 Invoice Status- NTPC Kaha,Service,No
BM9A8J5,Aggregator Service- Winders Payment for the month of July PMEE0-005116-111 Invoice Status- Adani Udi,Service,No
BM9H3E0,"Aggregator Service- Winders Payment for the month of May and June , EE0-005076-114, NTPC Sipat, - P",Service,No
BM9K3G9,Aggregator Service- Winders payment for the month of Nov PMEE0-005282-114 Invoice Status- Rattan Pow,Service,No
BM9J2O6,Aggregator Service- Winders payment for the month of Oct PMEE0-005282-114 Invoice Status- Rattan Pow,Service,No
BM9N0E4,Aggregator Service- Winders payment for the month of Oct WBSEE0-005253-1142 Project- NTPC Vindhyacha,Service,No
BM9M0L3,Aggregator Service- Winders payment for the month of Sept PMESO-010411-114 Invoice Status- Turbo Gen,Service,No
BM9M4F3,Aggregator service- winders payment for the month of September WBSEE0-005205-114 Project- RRVUNL Kal,Service,No
BM9R9T8,Aggregator Service- Winders Payment for the month of September WBSEE0-005205-114 Project- RRVUNL Kal,Service,No
BM9F1N2K,Aggregator Service- Your choice and traders WBS: EA0-003799-0Z400009 Project: HPGCL-ESP Restoration,Service,No
BM9Z2Z0,Agni Fire Alarm Panel Rectify Charge,Service,No
BM9L0V2,AIL First Floor Mixing Vessel 213 Inside Cleaning,Service,No
BM9P7M3,Air compressor on rent,Service,No
BM9T4R5,Air Conditioner Dismentaling Charges,Service,No
BM9U3T5,Air Cool Chiller Compressor Service Charge,Service,No
BM9V8M1,AIR Dryer Service Charge,Service,No
BM9X1J0,Air Fare,Service,No
BM9Z7L2,Air Fare Delhi-Pune-Delhi - One Person ( Against Inq#26850),Service,No
BM9R7F7,"Air Nozzle 1"" Mild Steel Welding Joints",Service,No
BM9W5R3Z,All Plant Ground Floor ETP Tank Cleaning,Service,No
BM9M3N9,ALLWEILER Pump - Service,Service,No
BM9H6N3,"Aluminium By ICP Sample No.8A to 8D and 9A, 9D And 13C",Service,No
BM9I9E8,"Aluminium Mask, Dia 2"" (0.1mm Thick) Dia 0.25-0.5-0.75-1 mm",Service,No
BM9Q6A7,Aluminium Partition Assembly Work at New Place,Service,No
BM9U3Y0,Aluminium Partition Dismantling Work From Existing Place,Service,No
BM9B6C6S,Aluminium Partition Removing and Refixing,Service,No
BM9H7Y0,Aluminium Sliding Window Fixing,Service,No
BM9R1O9,AMARAJA Annual Maintenance Charge of 110V/50A FCBCBattery Chargers,Service,No
BM9F2I1,Amazon Advertising & Store Front Service,Service,No
BM9R8J3,Ambassador Retainer Fees Quarter 2 (Nov-2019 to Jan-2020),Service,No
BM9Q7F6,Ambassador Retainer Fees Quarter 3 (Feb-2020 to Apr-2020),Service,No
BM9A0B3,Ambassador Retainer Fees Quarter 4 (May 2020 to July 2020),Service,No
BM9V2N5,Ambassador Retainer Fees Quarter 5 (Aug 2020 to Oct 2020),Service,No
BM9T1Q7,Ambassador Retainer Fees Quarter 6 (Nov 2020 to Jan 2021),Service,No
BM9F1C7,AMC Chargers for Goods Lift from 01.01.19 to 01.12.2019,Service,No
BM9C5V6,"AMC Charges for Air Compressor, Capacity 200 cfm",Service,No
BM9O5U2,"AMC Charges for Air Compressor, Capacity 35 cfm",Service,No
BM9P9J1,AMC Charges for Brookfield Viscometer,Service,No
BM9W4T2,AMC Charges-BM9W4T2,Service,No
BM9Z1O8,"AMC Comprehensive for Trane Odyssey Unit Ground Floor NVH Lab - TWE076DD00AB, Serial No.15181R3FB, T",Service,No
BM9Y6M8O,AMC for Time Attendance Machine (1 Year),Service,No
BM9U9W1,AMC Visit For Emergency Support S1001563,Service,No
BM9T1J3U,AMC Visits - Per Quarter S1000894,Service,No
BM9H5N2,Analysis Of Microbiological Aerobic Plate Count & Bacterial Count in Semi Solid,Service,No
BM9Y2F5,Analysis of the product update specifications,Service,No
BM9D0D8,Ananya X Man BTS Video,Service,No
BM9I8G1A,"ANCHOR Fasteners, Size 8 X 1800 mm",Service,No
BM9Z4M4,Anemometer Calibration charges,Service,No
BM9P6I4Y,Angan Suit,Service,No
BM9A0W1,Annnual Maintenance Contract for Strapping Machine (01.04.2020 to 31.03.2021),Service,No
BM9R0Y1,Annual Accreditation Payment- Mechanical,Service,No
BM9V4C4,Annual Calibration & Service Maintenance Contract for PORTASPEC XBT 2501,Service,No
BM9N0F4,Annual Health Check up as per Factory's Act for 160 Employees,Service,No
BM9X8O8,Annual Maintenance Contract & Calibration of Installed EWLR-101 - 13/04/2020 to 12/04/2021,Service,No
BM9K8B1,"Annual Maintenance Contract Charges for Nikon Epiphot 200, SMZ 1500 Microscopes,Clemex Image Analyse",Service,No
BM9Z1C6,Annual Maintenance Contract For Air Compressor Model No EL05075 FAB 162103,Service,No
BM9Y1F0,Annual Maintenance Contract For Air Compressor Model No EL05075 FAB 162116,Service,No
BM9J6X2,Annual Maintenance Contract For Air Compressor Model No EL05075 FAB 90406,Service,No
BM9Q2F9,Annual Maintenance Contract for Air Conditioning for R134a AIR COOLED DX SCREW CHILLER375KW,Service,No
BM9W5L7,Annual Maintenance Contract for Blue Star Air Conditioning and Other Equipments,Service,No
BM9W0Z0,Annual Maintenance Contract for Fire Hydrant System,Service,No
BM9Y9J3,Annual Maintenance Contract for Hydrant Outlets & amp; Accessories (Fire Hydrant Valve/Hose Cabinets,Service,No
BM9S5Y2,"Annual Maintenance Contract for MALVEM PSA Zetasizer Nano ZS90, Sr no. MAL 1083131",Service,No
BM9J3K9J,"Annual Maintenance Contract For QFOG, Sr.No.16-1401-46-CCT600",Service,No
BM9T0B4,"Annual Maintenance Contract for Q-Fog, SR.No.17-0101-46-CRH600 HSC",Service,No
BM9V0O9,"Annual Maintenance Contract For Schindler Lift For the Period 24th Oct, 2019 to 23rd Oct, 2020",Service,No
BM9R5D4,"Annual Maintenance Contract For Stacker, ST-15I",Service,No
BM9F7J2P,Annual Maintenance Contract For Year 2020 -2021 Against EDAX: Model: Element With Two Preventive Vis,Service,No
BM9P5L9,Annual Maintenance Contract for your Instrument Model No-Serial No.GC 2010( C 11324710641SA),Service,No
BM9F0N5,"Annual Maintenance Contract for your Instrument Shimadzu Gas Chromatograph - GC-2010, Sr.No.C 113247",Service,No
BM00038,Annual Maintenance Contract for your Model S450xp Salt SprayTest Chamber,Service,No
BM9H0G4,Annual Maintenance Contract of Electrical Stacker for One Year,Service,No
BM9D0H8,Annual Maintenance Contract of GMMCO 500 KvA DG Set May 20 to Apr 21,Service,No
BM9Q7V8,Annual Maintenance Contract of XRF Meter - XL3t 900s,Service,No
BM9W9C9,Annual Maintenance Fee for CIS Certification,Service,No
BM9A3J9W,Annual Medical Check-Up,Service,No
BM9H4P7,Annual Membership Fees for F.Y 2020-21 (Category Associate Member),Service,No
BM9S2E7,"Annual Miantenance Contract For QUV/SE, Sr.No.16-1961-85-SE",Service,No
BM9P6I8,Annual Service Contract - Fire Extinguishers,Service,No
BM9O8H3,Annual Subscription Fees For Financial Year 2018-19,Service,No
BM9T8L1,Anti Termite Treatment,Service,No
BM9W4E3,Antibacterial Activity on Plastic Surface,Service,No
BM9B0Y0,Antigraffiti Test,Service,No
BM9P6Z9,APC 20 KVA Online UPS repairing charges,Service,No
BM9P3A2,"Application for HHT-Application for Scanning the Asset code,Uploading -BM9P3A2",Service,No
BM9T3A8,Application of Silicon in the Joint Gaps,Service,No
BM9R7W6,Apurva Webinar Invite,Service,No
BM9R8A0,ARCON Privileged Access Management Software Components,Service,No
BM9O6I0,Area Zone Monitor with Radiation Sensor - Calibration from AERB Approved Calibration Lab,Service,No
BM9H0V2,"Armature Varnish, Bactrol with Heating",Service,No
BM9O0L4,Arrangement for Butting of Y Gauge to be Made & Installed in Fixture Using Magnets (for removable pu,Service,No
BM9Q5E9,Art Work Fee of 1 Half Page Ad,Service,No
BM9E0Z0,Article Inspection Charge,Service,No
BM9B4D1K,Assemble of SM3 & PC Cable Harness,Service,No
BM9S6Q3,Assembly,Service,No
BM9L1L8U,Assessment & Consulting (Repeat Equipment Specific Energy Assessment and Preparation of ESLP and LOT,Service,No
BM9G7N5J,Assessment & Consulting (Unique Equipment Specific Energy Assessment and Preparation of ESLP and LOT,Service,No
BM9T1R4,Assistance for Checking of Signals on Analyzer 31A-Qt-001 on June 22nd 2019,Service,No
BM9F0X0,Assistance for Cleaning of Optical Cell on Analyzer 31B-Qt-002 on June 21st 2019,Service,No
BM9R4K4,Assistance for Cleaning of Optical Cell On Analyzer 31B-Qt-002 on June 25th 2019,Service,No
BM9U6E0,Assistance for Display Replacement On Analyzer 31B-Qt-002 on June 27th 2019,Service,No
BM9W5L9,Association for Schwarzkopf Professional in Jaipur,Service,No
BM9V6C7Y,ASTM B 117 : 2019 Standard Practice for Operating Salt Spray Apparatus,Service,No
BM9W3Q6,ASTM D 1876 (PDF) : 2008 TEST METHOD FOR PEEL RESISTANCE OF ADHESIVES (T-PEELTEST),Service,No
BM9E0T2,ASTM D 4060:2019 Standard Test Method for Abrasion Resistance of Organic Coatings by the Taber Abras,Service,No
BM9P8K3,ASTM D 412 (PDF) : 2016 - STANDARD TEST METHODS FOR VULCANIZED RUBBER AND THERMOPLASTIC ELASTOMERS,Service,No
BM9X6J0,ASTM D 4541:2017 Standard Test Method for Pull-Off Strength of Coatings Used Portable Adhesion Teste,Service,No
BM9Q5X2,ASTM D 4562(PDF) Test Method For Shear Strength Of Adhesives Using Pin-and-Collar Specimen,Service,No
BM9P9W7,ASTM D 695 (PDF) : 2015 STANDARD TEST METHOD FOR COMPRESSIVE PROPERTIES OFRIGID PLASTICS,Service,No
BM9U9Y2,ASTM D1002:2010 (Tensile Lap shear strength)- not in NABL,Service,No
BM9W5Q4,ASTM D1876 (T-Peel)-not in NABL,Service,No
BM9V9K6,ASTM G 154 (PDF) : 2016 Standard Practice for Operating Fluorescent Ultraviolet Lamp Apparatus for E,Service,No
BM9I1S5,AV & PA System,Service,No
BM9A1G5,Axel Repairing Charges,Service,No
BM9C6I7,Back Filling (6350),Service,No
BM9O2R8,"Backlight Fabric Printing with Frame at R.H Studio, Width 91"", Height 61""",Service,No
BM9Z3O1,"Backlit Vinyl Print with Gloss Lamination, Width 36"", Height 36""",Service,No
BM9G1C0,Bank Charges,Service,No
BM99992,Bank Service Charges,Service,No
BM9Z0M9,"Barcode Lable Anodised Metal Poto Lable with base of SS Plate, Size 4 X 24""",Service,No
BM9Q1O2,Barcode Modification Work,Service,No
BM9W6Y2F,Barcode Plates Cutting and New Hole,Service,No
BM9Z9D1,Barcode System Programing,Service,No
BM9O8D2N,Battery Rental Basis & Return,Service,No
BM9Q5A2,BECKHOFF service engineer visitcharge,Service,No
BM9R8K5,"Being the contribution in the Bronze Category towards the GermanNational Day, German Days in Mumbai",Service,No
BM9I3W8,Bending of GI Pipe,Service,No
BM9S0I3,Bet or Langmuir Surface area analysis (Five points - Degassing 4 hours),Service,No
BM9I4Z6,BHEL Provide Expert Services For Governing System During Outage Of Kwu-210Mw At Tneb-North Chennai T,Service,No
BM9N0N4,Bina Punjani Webinar Invite,Service,No
BM9A1L0,BLAZE Calibration of Uvicure Plus II Radiometer 139110 - Rev 3,Service,No
BM9Y5M9,Blind Flange Fixing,Service,No
BM9H1Y9,Block In Four Color,Service,No
BM9S1K0,Block Work (6350),Service,No
BM9I6F9,Blogging Fees,Service,No
BM9G7X1P,Board Room Rental,Service,No
BM9K4O3,Bogie Partitione Dismantle for Powder Coated Sheet and Structure,Service,No
BM9S1Z4,Bolero (UK06TA3473) rent on date 03-08-2018,Service,No
BM9J1K5G,Bolt Grouting by GP2,Service,No
BM9E5X5,BOM Processing Fees,Service,No
BM9O4O5N,Bombardier Film Approximately for 04 Minutes,Service,No
BM9W0S4Y,Bony Video Content,Service,No
BM9O2J7,Boring of Pile (4373),Service,No
BM9F8M5,BOSCH Addressable Fire Alarm Panel Rectify Charge,Service,No
BM9B0I3,"Box Compression Strength Tester, Serial No. 488",Service,No
BM9J2J1U,Brand Ambassador Fees For Quarter 1,Service,No
BM9E5L9T,Brand Ambassador Fees for Quarter 5 (Special Shoot),Service,No
BM9C4S6,Brand Ratio Book,Service,No
BM9A2F6,BRANSON Machine Hydraulic Cylinder for Repairing,Service,No
BM9Q6C1,Branson Plate Modification,Service,No
BM9X2D8,Break Fast,Service,No
BM9N4P1,Break fix Bank Of Baroda Workstation,Service,No
BM9N4C9,Break fix Bank Of India Workstation,Service,No
BM9N4D7,Break fix Canara Bank Workstation,Service,No
BM9N4N3,Break fix HDFC Workstation,Service,No
BM9N4F5,Break fix HSBC Workstation,Service,No
BM9N4N6,Break fix Standard Chartered Workstation,Service,No
BM9N3T9,Break fix State Bank Of India Workstation,Service,No
BM9N4B6,Break fix Union Bank Of India Workstation,Service,No
BM9R2H4,Break Fix: Bank Of Baroda Workstation-BM9R2H4,Service,No
BM9R4Y5,Break Fix: Bank Of India Workstation-BM9R4Y5,Service,No
BM9Z6T2,Break Fix: Canara Bank Workstation-BM9Z6T2,Service,No
BM9R7E3,Break Fix: HDFC Workstation-BM9R7E3,Service,No
BM9U9B5,Break Fix: HSBC Workstation-BM9U9B5,Service,No
BM9R7U2,Break Fix: Standard Chartered Workstation-BM9R7U2,Service,No
BM9W8U3,Break Fix: State Bank Of India Workstation-BM9W8U3,Service,No
BM9P8H5,Break Fix: Union Bank Of India Workstation-BM9P8H5,Service,No
BM9W3L3,Breakdown Visit of GMMCO 500 KvA DG Set,Service,No
BM9L4O1,Breakdown Voltage Test in Air,Service,No
BM9S1R9,Breaking of Floor and Debris Removal Charges,Service,No
BM9L2E5,Breaking Old Concrete (4004),Service,No
BM9E0Q1,Brick Work (4004),Service,No
BM9P6W8,Brochure Design Services,Service,No
BM9S5V1,BTS for Flawless with Florian,Service,No
BM9Y7D2,BTS Video Cinematography service & Photo,Service,No
BM9D5I9T,Buffet Dinner,Service,No
BM9X4K5R,BULK MRO APPORVED Supervision for 1 No. R.H.S Extension Panel with 1 No. MCCB Incomer Feeder for Aux,Service,No
BM9K0T2,BULK MRO APPORVED Supervision for MCCB Incomer Module for 1FA for Aux Control Panel-1 (SYSD949),Service,No
BM9D7I1,BULK MRO APPORVED Supervision for MCCB Incomer Module for 1FA for Aux Control Panel-2 (SYEJ233),Service,No
BM9O9W2,BULK MRO APPORVED Supervision with 1 No. MCCB Incomer Feeder for Aux Control Panel-21 No. R.H.S Exte,Service,No
BM9F7L8,BULK MRO APPROVED Service Charges for MDC System Calibration,Service,No
BM9F5A8,BULK MRO APPROVED 2 Channel Smart Meter,Service,No
BM9Q2Y3,BULK MRO APPROVED 2 HDPE Tee Fixing,Service,No
BM9O1V5,BULK MRO APPROVED 2 Mirror & Light for Back stage - Service,Service,No
BM9T8D6,BULK MRO APPROVED 4 Plug point - Service,Service,No
BM9F9Q8,BULK MRO APPROVED Accerolometer,Service,No
BM9E2I9,"BULK MRO APPROVED Back Projector with panels 8""x6"" pojector size 10""x9"" panels with Masking/ Flex -",Service,No
BM9N3E6,BULK MRO APPROVED Barber Training for 2 days,Service,No
BM9O4X7,BULK MRO APPROVED Delivery Charges,Service,No
BM9M1P7,"BULK MRO APPROVED Erection Rate Mild Steel Elbow, Dia 100 mm-BM9M1P7",Service,No
BM9M1P5,"BULK MRO APPROVED Erection Rate Mild Steel Elbow, Dia 150 mm-BM9M1P5",Service,No
BM9M1P9,"BULK MRO APPROVED Erection Rate Mild Steel Elbow, Dia 80 mm-BM9M1P9",Service,No
BM9M1Q2,"BULK MRO APPROVED Erection Rate Mild Steel Flange, Dia 150 mm-BM9M1Q2",Service,No
BM9M1Q4,"BULK MRO APPROVED Erection Rate Mild Steel Flange, Dia 80 mm-BM9M1Q4",Service,No
BM9M1Q6,"BULK MRO APPROVED Erection Rate Mild Steel Nut Bolt, Dia M16, Length 9-BM9M1Q6",Service,No
BM9M1P1,"BULK MRO APPROVED Erection Rate Mild Steel Pipe, Dia 100 mm-BM9M1P1",Service,No
BM9M1N8,"BULK MRO APPROVED Erection Rate Mild Steel Pipe, Dia 150 mm-BM9M1N8",Service,No
BM9M1P3,"BULK MRO APPROVED Erection Rate Mild Steel Pipe, Dia 80 mm-BM9M1P3",Service,No
BM9M1R3,"BULK MRO APPROVED Erection Rate Sluice Valve, Dia 150-BM9M1R3",Service,No
BM9M1R7,BULK MRO APPROVED Erection Rate Structural Steel Primer and Fire Red P-BM9M1R7,Service,No
BM9M1R1,"BULK MRO APPROVED Erection Rate Tee, Size 100 X 100 X 150 mm-BM9M1R1",Service,No
BM9M1Q8,"BULK MRO APPROVED Erection Rate Tee, Size 150 X 150 X 100 mm",Service,No
BM9X8I3,BULK MRO APPROVED Fixing of Bird Nitting,Service,No
BM9K7O1,BULK MRO APPROVED Green room - Service,Service,No
BM9M1R5,BULK MRO APPROVED Hydrant Valve Erection Rate-BM9M1R5,Service,No
BM9B6M6,BULK MRO APPROVED Installation - BM9B6M6-BM9B6M6,Service,No
BM9M4V9,BULK MRO APPROVED Installation - BM9M4V9,Service,No
BM9M5H5,BULK MRO APPROVED Insulation Resistance Test,Service,No
BM9N0A0,BULK MRO APPROVED Intelligent Process Automation Summit-Pune 15th March 2019 Conference Standard,Service,No
BM9C5I9,BULK MRO APPROVED JCB Service (Per Hour),Service,No
BM9X6J9,"BULK MRO APPROVED Laser cutting of your Non-woven Material sheet, Size 1000 X 500 mm",Service,No
BM9T4J9,BULK MRO APPROVED LED Lights - Service,Service,No
BM9R2W5,BULK MRO APPROVED Main Back Drop wooden Back drop with Flex - Service,Service,No
BM9Y8P0,BULK MRO APPROVED Main stage Wooden Stage with Grey Carpet & 1 ft height - Service,Service,No
BM9N6Y6,"BULK MRO APPROVED Oil Filtration, Capacity 400 Ltr-BM9N6Y6",Service,No
BM9N8L5,BULK MRO APPROVED Pallet Patta Marking,Service,No
BM9R5C3,BULK MRO APPROVED Photo Op back drop - Service,Service,No
BM9H3N3,"BULK MRO APPROVED Reactor Loss Measurement, Capacity 75 Ohms, 2KV, 20 Mtr, RG213 Along with One End",Service,No
BM9W4K6,BULK MRO APPROVED Schwarzkopf Essencity Cinematography,Service,No
BM9Z0U2,BULK MRO APPROVED Schwarzkopf Essencity Photography,Service,No
BM9O9Q2,BULK MRO APPROVED Sensor Signal Conditioner,Service,No
BM9B2P9,BULK MRO APPROVED Service Kit,Service,No
BM9B2Q7,BULK MRO APPROVED Service Kit Handle,Service,No
BM9B2Q6,BULK MRO APPROVED Small Parts Kit,Service,No
BM9K0D1,BULK MRO APPROVED SMT Relay Test Board,Service,No
BM9M5F0,"BULK MRO APPROVED Sound & Light 2 Top 2 Base,2 Codless Mic,2 Coller Mic,Switcher with 1 Engineer - S",Service,No
BM9N7J5,BULK MRO APPROVED Technical Service At Atyrau Refinery,Service,No
BM9R1W3,BULK MRO APPROVED Thermocouples,Service,No
BM9Z0V0,BULK MRO APPROVED Through Hole Relay Test Board,Service,No
BM9Z2G4,BULK MRO APPROVED Tractor Service (Per Hour),Service,No
BM9K1B5,BULK MRO APPROVED Transport - BM9K1B5,Service,No
BM9Y7W9,BULK MRO APPROVED Tri-Axial Accelerometer,Service,No
