#,Date,Vendor,Remarks,Due Date,Document Total in SC,Purchase Order Status,Document Status,Document Total,Canceled,Branch,Project,Project Code,BPL Name,Tax Amount (SC)
40211566,01-Nov-2018,Bostan Engineering.,Based On Sales Orders 10211212.,16-Nov-2018,102549.37,Material Readiness: Delayed,Closed,102549.37,No,Maharashtra,28661,28661 - PO 2100011244-77003276-BULK MRO INDUSTRIA,0,15643.12
40211567,01-Nov-2018,Vashi Electricals Pvt. Ltd.,Based On Sales Orders 10211204.,02-Nov-2018,7080.89,Supplier PI Pending Finance Approval,Closed,7080.89,No,Maharashtra,27802,27802-Quotation required,0,1080.14
40211568,01-Nov-2018,Pooja Electrical Services,Based On Sales Orders 10211213.,15-Nov-2018,319980.6,Supplier PI Pending Finance Approval,Closed,319980.6,No,Maharashtra,28151,28151-Bonder Machine Spare,0,48810.6
40211569,01-Nov-2018,V.R.L. Enterprises,Based On Sales Orders 10211210.,03-Nov-2018,9145,Supplier PI / Invoice Awaited,Closed,9145,No,Maharashtra,26052,26052-Required quotation for ratchet belt 25 mm,0,1395
40211570,01-Nov-2018,Prakash Kala Mandir,Based On Sales Orders 10211215.,03-Nov-2018,3900,Supplier PI Pending Finance Approval,Closed,3900,No,Maharashtra,28631,28631 - Po for Req material,0,594.92
40211571,02-Nov-2018,Deepak Corporation,Based On Sales Orders 10211214.,03-Nov-2018,26932.52,Supplier PO Created,Closed,26932.52,No,Maharashtra,28393,28393 - Fwd: REQUIRED QUOTATION FOR SAFETY SHOES,0,1282.52
40211572,02-Nov-2018,Creative Kitchen World,Based On Sales Orders 10211216.,05-Nov-2018,14109.2,Payment to Supplier Delayed,Closed,14109.2,No,Maharashtra,27902,27902-Fwd: Quotation of Writing Desk,0,1969.2
40211573,02-Nov-2018,Lalita Furniture,Based On Sales Orders 10211216.,05-Nov-2018,64900,Payment to Supplier Delayed,Closed,64900,No,Maharashtra,27902,27902-Fwd: Quotation of Writing Desk,0,9900
40211574,02-Nov-2018,Sai Prashanthi Party Sales,Based On Sales Orders 10211220.,16-Nov-2018,487196.04,Payment to Supplier Delayed,Closed,487196.04,No,Maharashtra,28559,28559 - Fwd: Need Quote for Tupperware - Urgent !!!,0,74318.04
40211575,02-Nov-2018,CPS Technologies,Based On Sales Orders 10211225.,05-Nov-2018,78116,Material Readiness: Delayed,Closed,78116,No,Maharashtra,28668,28668 - Require Quote for Workstation,0,11916
40211576,02-Nov-2018,Suprimo Automation Pvt. Ltd.,Based On Sales Orders 10211222.,11-Jan-2019,257284.38,Supplier PI Pending Finance Approval,Closed,257284.38,No,Maharashtra,28027,28027-RE: JR item PR_ UKL Piston valve 0020117821,0,39246.78
40211577,02-Nov-2018,Excellent Hydraulics,Based On Sales Orders 10211221.,09-Nov-2018,1087.26,Supplier PI Pending Finance Approval,Closed,1087.26,No,Maharashtra,27294,27294-Request for quotation,0,165.86
40211578,02-Nov-2018,Mehta Earthmovers,Based On Sales Orders 10211221.,14-Dec-2018,5546,Supplier PI / Invoice Awaited,Closed,5546,No,Maharashtra,27294,27294-Request for quotation,0,846
40211579,02-Nov-2018,Tech Ocean,Based On Sales Orders 10211228.,05-Nov-2018,220000,Supplier PI Pending Finance Approval,Closed,220000,No,Maharashtra,28694,28694 - Fwd: Request for Television for office purpose - Chennai,0,48125
40211580,02-Nov-2018,Ratnadeep Chemicals,Based On Sales Orders 10211217.,05-Nov-2018,90860,Material Readiness: Delayed,Closed,90860,Yes,Maharashtra,28677,28677 - Caustic Lye,0,13860
40211581,03-Nov-2018,Reflectosafe,Based On Sales Orders 10211224.,19-Nov-2018,35112,Material Readiness: Delayed,Closed,35112,Yes,Maharashtra,28629,28629 - Reflective Jacket,0,1672
40211582,03-Nov-2018,Amar Bearings,Based On Sales Orders 10211233.,05-Nov-2018,68440,Supplier PI Pending Finance Approval,Closed,68440,No,Maharashtra,28702,28702 - RFQ - IC1000739,0,10440
40211583,03-Nov-2018,New India Tools Corporation,Based On Sales Orders 10211223.,12-Nov-2018,31270,Supplier PI Pending Finance Approval,Closed,31270,No,Maharashtra,28288,Fwd: RFQ for Dial Gauge of Stroke.,0,4770
40211584,03-Nov-2018,Valisons and Co.,Based On Sales Orders 10211234.,05-Nov-2018,3533.18,Supplier PI / Invoice Awaited,Closed,3533.18,Yes,Maharashtra,27710,27710-Electrical requirement - HIIPL,0,539
40211585,03-Nov-2018,Sagar Office Automation,Based On Sales Orders 10211234.,05-Nov-2018,19369.7,Supplier PI delayed,Closed,19369.7,Yes,Maharashtra,27710,27710-Electrical requirement - HIIPL,0,2954.7
40211586,03-Nov-2018,Bosch Ltd.,Based On Sales Orders 10211205.,12-Nov-2018,3384.24,Supplier PI Pending Finance Approval,Closed,3384.24,No,Maharashtra,28635,28635 - Re: Fwd: 3000057313-Hand drill machine single phase,0,516.24
40211587,03-Nov-2018,Divine Engineering,Based On Sales Orders 10211203.,12-Nov-2018,17110,Payment to Supplier Delayed,Closed,17110,No,Maharashtra,28624,28624 - Currugated hose required,0,2610
40211588,03-Nov-2018,Ravi Transmission Products,Based On Sales Orders 10211229.,05-Nov-2018,14867.04,Supplier PO Created,Closed,14867.04,No,Maharashtra,28459,28459 - Bearing Requirements,0,2267.84
40211589,03-Nov-2018,Ravi Scientific Industries,,17-Nov-2018,955.8,Supplier PI / Invoice Awaited,Closed,955.8,Yes,Maharashtra,,28381 - Fwd: Qty - 200,0,145.8
40211590,03-Nov-2018,Sicame Electrical Developments,Based On Sales Orders 10610501.,19-Jan-2019,427889.28,Supplier PI / Invoice Awaited,Closed,427889.28,No,Maharashtra,27779,27779-Fwd: Enquiry for Crimps Bhadrawati T-21156 (R),0,0
40211591,03-Nov-2018,Mahle Anand Filter Systems Pvt.Ltd.,Based On Sales Orders 10211221.,15-Dec-2018,33412.88,Supplier PI Pending Finance Approval,Closed,33412.88,No,Maharashtra,27294,27294-Request for quotation,0,5096.88
40211592,12-Nov-2018,Flexibles,Based On Sales Orders 10211232.,26-Nov-2018,36132.54,Material Readiness: Delayed,Closed,36132.54,No,Maharashtra,27515,27515-SS Hose Pipe,0,5511.74
40211593,12-Nov-2018,Domestic for you Pvt. Ltd.,Based On Sales Orders 10211227.,12-Nov-2018,17599.7,Supplier PI Pending Finance Approval,Closed,17599.7,No,Maharashtra,28056,28056-Fwd: FW: [EXT] Invoice Base,0,2684.7
40211594,12-Nov-2018,Good Looks,Based On Sales Orders 10211242.,19-Nov-2018,2940.16,Supplier PI Pending Finance Approval,Closed,2940.16,No,Maharashtra,28722,28722 - PO Surat lab PO 0000304,0,448.5
40211595,12-Nov-2018,Good Looks,Based On Sales Orders 10211241.,19-Nov-2018,4292.24,Supplier PI Pending Finance Approval,Closed,4292.24,No,Maharashtra,28017,28017-Calcium Gluconate,0,654.75
40211596,12-Nov-2018,Anshutech Air Conditioning Pvt. Ltd.,Based On Sales Orders 10211243.,19-Nov-2018,127091.9,Supplier PI Pending Finance Approval,Closed,127091.9,No,Maharashtra,28671,28671 - Quotation for Odu Shifting work at IIT-Powai,0,19386.9
40211597,12-Nov-2018,Ratnadeep Chemicals,,12-Nov-2018,90860,Supplier PO Created,Closed,90860,Yes,Maharashtra,28677,28677 - Caustic Lye,0,13860
40211598,13-Nov-2018,Bostan Engineering.,Based On Sales Orders 10211262.,03-Dec-2018,16107,Material Readiness: Delayed,Open,16107,No,Maharashtra,26391,26391-Require Quote various facility items for DTP,0,2457
40211599,13-Nov-2018,Valisons and Co.,Based On Sales Orders 10211262.,03-Dec-2018,1233.22,Material Readiness: Delayed,Closed,1233.22,No,Maharashtra,26391,26391-Require Quote various facility items for DTP,0,188.12
40211600,13-Nov-2018,Mehta Sanghvi and Co,Based On Sales Orders 10211262.,03-Dec-2018,4425,Supplier PI Pending Finance Approval,Closed,4425,No,Maharashtra,26391,26391-Require Quote various facility items for DTP,0,675
40211601,13-Nov-2018,Victor Enterprise,Based On Sales Orders 10211267.,03-Dec-2018,9440,Payment to Supplier Delayed,Closed,9440,No,Maharashtra,,27929-Fwd: Request For Quote (Oracle - PR68355),0,1440
40211602,13-Nov-2018,Bostan Engineering.,Based On Sales Orders 10211266.,27-Nov-2018,10382.4,Material Readiness: Delayed,Closed,10382.4,No,Maharashtra,28742,28742 - RE: Purchase Order,0,1112.4
40211603,13-Nov-2018,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10211264.,31-Jan-2018,106200,Payment to Supplier Delayed,Closed,106200,No,Maharashtra,28628,28628 - New Po # 4591517386 for IDH 1712398 of Rajdeep,0,16200
40211604,13-Nov-2018,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10211265.,01-Nov-2018,57348,Supplier PI delayed,Closed,57348,No,Maharashtra,28679,28679 - New Po # 4591517386 for IDH 1712398 of Rajdeep,0,8748
40211605,13-Nov-2018,Western Steel Drums Pvt. Ltd.,Based On Sales Orders 10211231.,27-Nov-2018,57227.5,Supplier PI / Invoice Awaited,Closed,57227.5,No,Maharashtra,28641,28641 - New PO # 4591517400 for 1705783 of Western Steel.,0,8729.62
40211606,13-Nov-2018,Unique Industrial Products,,13-Nov-2018,472,Supplier PO Created,Closed,472,No,Maharashtra,27917,27917-PO 4300029697,0,72
40211607,13-Nov-2018,Shabbir Hardware Stores,Based On Sales Orders 10211236.,13-Nov-2018,29573.75,Supplier PI Pending Finance Approval,Closed,29573.75,No,Maharashtra,28532,"28532 - Fwd: RFQ for Safety Helmet ,1004425509,1004425502",0,4511.25
40211608,13-Nov-2018,Shabbir Hardware Stores,Based On Sales Orders 10211237.,13-Nov-2018,26107.5,Supplier PI / Invoice Awaited,Closed,26107.5,No,Maharashtra,28717,28717 - Fwd: CIP # 2// PO # 868I28316 // BP # SUC000873 - BULK MRO INDUSTRIAL SUPPLY PVT LTD,0,3982.5
40211609,13-Nov-2018,Bitsy Infotech Pvt. Ltd.,Based On Sales Orders 10211249.,14-Nov-2018,11800,Supplier PI delayed,Closed,11800,No,Maharashtra,28636,28636 - Camera Purchase,0,1800
40211610,13-Nov-2018,Shabbir Hardware Stores,Based On Sales Orders 10211247.,13-Nov-2018,9572.75,Supplier PI / Invoice Awaited,Closed,9572.75,No,Maharashtra,28803,28803 - Fwd: PO COPY : 203W08073 ; BULK MRO INDUSTRIAL SUPPLY PVT,0,1460.25
40211611,13-Nov-2018,Kumar Industries,Based On Sales Orders 10211238.,20-Nov-2018,27730,Supplier PI Pending Finance Approval,Closed,27730,No,Maharashtra,28747,28747 - Fwd: RFQ : IC1000353 - Welding torch,0,4230
40211612,13-Nov-2018,Vinsyst Technologies,Based On Sales Orders 10211257.,30-Nov-2018,42922.5,Supplier PI / Invoice Awaited,Closed,42922.5,No,Maharashtra,28800,28800 - Fwd: Tap density tester - URGENT,0,6547.5
40211613,13-Nov-2018,Milan Safety.,Based On Sales Orders 10211136.,12-Dec-2018,5460,Payment to Supplier Delayed,Closed,5460,No,Maharashtra,27991,27991-RFQ: safety shoes,0,260
40211614,13-Nov-2018,Eagle Electricals,Based On Sales Orders 10211244.,27-Nov-2018,70800,Material Readiness: Delayed,Closed,70800,Yes,Maharashtra,28291,Request for Quote,0,10800
40211615,13-Nov-2018,Techbiiz Solutions,Based On Sales Orders 10211248.,20-Nov-2018,117569.3,Supplier PI Pending Finance Approval,Closed,117569.3,No,Maharashtra,28601,28601 - Fwd: Final offer- PR 2022198 TBS175H Biometric authentication system .,0,17934.3
40211616,13-Nov-2018,Rife Technologies,,20-Nov-2018,19470,Supplier PI Pending Finance Approval,Closed,19470,No,Maharashtra,,26725-Mobile Workstation,0,2970
40211617,14-Nov-2018,Citi Ventures Pvt. Ltd.,Based On Sales Orders 10211256.,16-Nov-2018,13039,Payment to Supplier Delayed,Closed,13039,No,Maharashtra,28496,28496 - Fwd: Quote_Oil Ultime_Event_Saket Acdemy_051018 - 32,0,1989
40211618,13-Nov-2018,K B Enterprises,Based On Sales Orders 10211194.,20-Nov-2018,8040.52,Supplier PI / Invoice Awaited,Closed,8040.52,No,Maharashtra,28362,FW: [External] Quote,0,1226.52
40211619,13-Nov-2018,Shore Auto Rubber Exports Pvt. Ltd.,Based On Sales Orders 10211240.,17-Dec-2018,79768,Supplier PI Pending Finance Approval,Closed,79768,No,Maharashtra,28765,28765 - Purchase Order: IND4410880-catalog item,0,12168
40211620,13-Nov-2018,Rangoli Plastics Pvt. Ltd.,Based On Sales Orders 10211268.,27-Nov-2018,79650,Supplier PI / Invoice Awaited,Closed,79650,No,Maharashtra,28396,28396 - New Po # 4591512288 for Rangoli Carboy,0,12150
40211621,13-Nov-2018,Hardcastle Petrofer Pvt. Ltd.,Based On Sales Orders 10211245.,20-Nov-2018,72854.38,Material Readiness: Delayed,Closed,72854.38,No,Maharashtra,28746,28746 - Quote for Hi-clean,0,11113.38
40211622,13-Nov-2018,Anu Enterprises,Based On Sales Orders 10211246.,14-Nov-2018,37819,Supplier PI Pending Finance Approval,Closed,37819,No,Maharashtra,26361,26361-Fwd: RFQ for Tools & Consumables for our Quality Dept,0,5769
40211623,13-Nov-2018,Vijay Engineers,Based On Sales Orders 10211246.,16-Nov-2018,12482.06,Material Readiness: Delayed,Closed,12482.06,Yes,Maharashtra,26361,26361-Fwd: RFQ for Tools & Consumables for our Quality Dept,0,1439.56
40211624,13-Nov-2018,Valisons and Co.,Based On Sales Orders 10211246.,14-Nov-2018,2695.12,Supplier PO Created,Closed,2695.12,No,Maharashtra,26361,26361-Fwd: RFQ for Tools & Consumables for our Quality Dept,0,411.12
40211625,13-Nov-2018,International Tools Syndicate,Based On Sales Orders 10211246.,14-Nov-2018,4612.33,Supplier PI Pending Finance Approval,Closed,4612.33,No,Maharashtra,26361,26361-Fwd: RFQ for Tools & Consumables for our Quality Dept,0,703.58
40211626,13-Nov-2018,Caltech Engineering Services,Based On Sales Orders 10211246.,16-Nov-2018,24190,Supplier PI Pending Finance Approval,Closed,24190,No,Maharashtra,26361,26361-Fwd: RFQ for Tools & Consumables for our Quality Dept,0,3690
40211627,13-Nov-2018,Param Associates,Based On Sales Orders 10211259.,20-Nov-2018,26783.3,Material Readiness: Delayed,Closed,26783.3,Yes,Maharashtra,27546,27546-Inquiry :The Landmark cars Pvt Ltd,0,4085.58
40211628,13-Nov-2018,Montana International,Based On Sales Orders 10211239.,15-Nov-2018,78304.8,Supplier PI / Invoice Awaited,Closed,78304.8,No,Maharashtra,26576,26576-Quotation for spares to be considered in Rate Contract till 31-12-2019.,0,11944.8
40211629,13-Nov-2018,Suraj Enterprises,Based On Sales Orders 10211239.,15-Nov-2018,29405.6,Payment to Supplier Delayed,Closed,29405.6,No,Maharashtra,26576,26576-Quotation for spares to be considered in Rate Contract till 31-12-2019.,0,4485.6
40211630,13-Nov-2018,Valisons and Co.,,15-Nov-2018,517.98,Supplier PI Pending Finance Approval,Closed,517.98,No,Maharashtra,28455,28455 - Fwd: Order Management - New Purchase Order: 4591512694,0,79.02
40211631,13-Nov-2018,Agents International,Based On Sales Orders 10211263.,15-Nov-2018,10650.02,Payment to Supplier Delayed,Closed,10650.02,No,Maharashtra,28718,28718 - Wall mounted fans - Chennai office,0,1624.58
40211632,13-Nov-2018,Safety Solutions,Based On Sales Orders 10211254.,14-Nov-2018,55430.5,Supplier PI / Invoice Awaited,Closed,55430.5,No,Maharashtra,27168,27168-Fwd: Required quotation for electrical safety PPE,0,8455.5
40211633,13-Nov-2018,Vashi Electricals Pvt. Ltd.,Based On Sales Orders 10211255.,14-Nov-2018,153512.1,Supplier PI Pending Finance Approval,Closed,153512.1,No,Maharashtra,26716,26716-Fwd: Required quotation for Legrand distribution board,0,23417.1
40211634,14-Nov-2018,Dhadhis Office Solutions (P) Ltd.,Based On Sales Orders 10211251.,28-Nov-2018,20430.76,Material Readiness: Delayed,Closed,20430.76,No,Maharashtra,28421,28421 - Dhadhis Bill for the Month Sept 2018,0,1845.76
40211635,14-Nov-2018,S. A. Electronics,Based On Sales Orders 10211269.,15-Nov-2018,11233.6,Supplier PI Pending Finance Approval,Closed,11233.6,No,Maharashtra,28876,28876 - Fwd: FW: CGCC - PO - BMRO - WIKA TRANSMITTER PRESSU,0,1713.6
40211636,14-Nov-2018,M.JTraders (Dowells),Based On Sales Orders 10211234.,16-Nov-2018,3472.16,Supplier PI / Invoice Awaited,Closed,3472.16,Yes,Maharashtra,27710,27710-Electrical requirement - HIIPL,0,529.66
40211637,14-Nov-2018,Safety Solutions,Based On Sales Orders 10211272.,12-Nov-2018,73710,Supplier PO Created,Closed,73710,Yes,Maharashtra,28591,28591 - for Stock,0,3510
40211638,14-Nov-2018,Sf Marine Offshore and Industrial Supply Co.,Based On Sales Orders 10211211.,16-Nov-2018,5203.8,Supplier PI delayed,Closed,5203.8,No,Maharashtra,28597,28597 - 4591500449 - helmet,0,793.8
40211639,14-Nov-2018,Madras Tools,Based On Sales Orders 10211252.,28-Nov-2018,189567,Supplier PI Pending Finance Approval,Closed,189567,No,Maharashtra,28795,28795 - Fwd: DTA Unit - CIP# 1 // PO # 868I28459 // BP # SUC000873 - BULK MRO INDUSTRIAL SUPPLY PVT,0,28917
40211640,14-Nov-2018,Prisha Enterprises,Based On Sales Orders 10211273.,16-Nov-2018,2687.49,Supplier PO Created,Closed,2687.49,No,Maharashtra,28801,28801 - PO 4500353959- BULK MRO INDUSTRIAL SUPPLY PVT. LTD,0,377.82
40211641,14-Nov-2018,Sagar Office Automation,Based On Sales Orders 10211273.,16-Nov-2018,1810.82,Payment to Supplier Delayed,Closed,1810.82,No,Maharashtra,28801,28801 - PO 4500353959- BULK MRO INDUSTRIAL SUPPLY PVT. LTD,0,206.82
40211642,25-Sep-2018,Minaxi Enterprise,Based On Sales Orders 10211274.,25-Sep-2018,1190153.9,Supplier PI / Invoice Awaited,Open,1190153.9,No,Maharashtra,28919,28919 - RFQ for Bitumen,0,181548.9
40211643,14-Nov-2018,Madras Tools,Based On Sales Orders 10211250.,28-Nov-2018,90270,Supplier PI Pending Finance Approval,Closed,90270,No,Maharashtra,28788,28788 - Fwd: DTA Unit - CIP# 1 // PO # 868I28451 // BP # SUC000873 - BULK MRO INDUSTRIAL SUPPLY PVT,0,13770
40211644,14-Nov-2018,Madras Tools,Based On Sales Orders 10211271.,28-Nov-2018,203107.5,Supplier PI Pending Finance Approval,Closed,203107.5,No,Maharashtra,28902,28902 - Safety Shoe 225 Sez,0,30982.5
40211645,14-Nov-2018,Ratnadeep Chemicals Supplier,,16-Nov-2018,90860,Payment to Supplier Delayed,Closed,90860,No,Maharashtra,28677,28677 - Caustic Lye,0,13860
40211646,25-Sep-2018,Baggi Communicaion and Measurement,Based On Sales Orders 10211275.,25-Sep-2018,7987980,Supplier PI delayed,Open,7987980,No,Maharashtra,,28447 - Man/day of technical service at Atyrau Refinery,0,0
40211647,15-Nov-2018,De-Luxe Trading Co.,,17-Nov-2018,15340,Supplier PI Pending Finance Approval,Closed,15340,No,Maharashtra,25839,25839-Fwd: Required quotation for cable protector.,0,2340
40211648,15-Nov-2018,J.K.Knitwear,Based On Sales Orders 10211279.,29-Nov-2018,36960,Material Readiness: Delayed,Closed,36960,No,Maharashtra,28815,28815 - RFQ for Navy Blue Cap,0,3960
40211649,15-Nov-2018,Madras Tools,Based On Sales Orders 10211252.,29-Nov-2018,36108,Material Readiness: Delayed,Closed,36108,No,Maharashtra,28795,28795 - Fwd: DTA Unit - CIP# 1 // PO # 868I28459 // BP # SUC000873 - BULK MRO INDUSTRIAL SUPPLY PVT,0,5508
40211650,15-Nov-2018,RS Components and Controls India Ltd.,Based On Sales Orders 10211278.,24-Nov-2018,7692.47,Supplier PI Pending Finance Approval,Closed,7692.47,No,Maharashtra,28772,28772 - Request number 3371. CRM:0021009,0,1173.43
40211651,15-Nov-2018,Progressive Chromatography,Based On Sales Orders 10211286.,17-Nov-2018,42480,Supplier PI / Invoice Awaited,Closed,42480,No,Maharashtra,28691,28691 - PO 4500353901 BULK MRO INDUSTRIAL SUPPLY PVT. LTD Route through order,0,6480
40211652,15-Nov-2018,Al Technologies,Based On Sales Orders 10211258.,12-Nov-2018,861595.3,Supplier PO Created,Closed,861595.3,No,Maharashtra,28716,28716 - Mobile Accessories Inquiry,0,125610.3
40211653,15-Nov-2018,Citi Ventures Pvt. Ltd.,Based On Sales Orders 10211281.,17-Nov-2018,35180,Supplier PI Pending Finance Approval,Closed,35180,No,Maharashtra,28488,28488 - Fwd: Quote_Oil Ultime_Event_Saket Acdemy_051018 - 31,0,3780
40211654,15-Nov-2018,Citi Ventures Pvt. Ltd.,Based On Sales Orders 10211282.,17-Nov-2018,49088,Supplier PI Pending Finance Approval,Closed,49088,No,Maharashtra,28266,Fwd: Quote_Oil Ultime_Event_Saket Acdemy_051018,0,7488
40211655,15-Nov-2018,RS Components and Controls India Ltd.,Based On Sales Orders 10610519.,14-Nov-2018,4148.63,Supplier PO Created,Closed,4148.63,No,Maharashtra,28372,28372 - PO 4101691827-0 2018-10-04 122733,0,632.83
40211656,15-Nov-2018,P.C.Process Pvt. Ltd.,Based On Sales Orders 10211288.,23-Nov-2018,12710.11,Supplier PI Pending Finance Approval,Closed,12710.11,No,Maharashtra,28805,28805 - Fwd: Request 3414,0,1938.83
40211657,15-Nov-2018,Varunraj Housekeeping Material Supplier,Based On Sales Orders 10211287.,16-Nov-2018,17605.6,Supplier PI / Invoice Awaited,Closed,17605.6,No,Maharashtra,28617,"28617 - 4502348496 , House cleaning material",0,2685.6
40211658,15-Nov-2018,Oriental Motor India Pvt. Ltd.,Based On Sales Orders 10211280.,27-Dec-2018,52498.2,Payment to Supplier Delayed,Closed,52498.2,No,Maharashtra,27573,27573-Fwd: Orientation Motor offer required on urgent basis,0,8008.2
40211659,26-Apr-2018,Omnipotent Marketing Pvt. Ltd.,Based On Sales Orders 10210097.,26-Apr-2018,18266.4,Supplier PI / Invoice Awaited,Closed,18266.4,No,Maharashtra,,19545-Dog repellent requirement,0,2786.4
40211660,15-Nov-2018,Victor Import,Based On Sales Orders 10211292.,15-Nov-2018,35840,Supplier PI / Invoice Awaited,Closed,35840,No,Maharashtra,28921,28921 - New Po # 4591525829 for Gloves,0,3840
40211661,15-Nov-2018,SMARTSCAN INDIA PRIVATE LTD,Based On Sales Orders 10211260.,29-Nov-2018,636079,Payment to Supplier Delayed,Closed,636079,No,Maharashtra,14532,14532-Fwd: Required quotation for safety light curtain sensor,0,97029
40211662,15-Nov-2018,Madras Tools,Based On Sales Orders 10211200.,27-Oct-2018,214200,Supplier PO Created,Closed,214200,Yes,Maharashtra,28579,28579 - Quote Request for Safety Shoe-Reg,0,22950
40211663,15-Nov-2018,Network Techlab (India) Pvt. Ltd.,Based On Sales Orders 10211290.,29-Nov-2018,37524,Supplier PI Pending Finance Approval,Closed,37524,No,Maharashtra,28705,28705 - Doc1517743988 - 20119575 -SMART UPS 3000 VA INPUT,0,5724
40211664,15-Nov-2018,As-Schneider Middle East FZE,Based On Sales Orders 10610521.,29-Dec-2018,121991.18,Payment to Supplier Delayed,Closed,121991.18,No,Maharashtra,27972,27972-Isolation Valve,0,0
40211665,15-Nov-2018,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10211277.,15-Nov-2018,57348,Supplier PI Pending Finance Approval,Closed,57348,No,Maharashtra,28893,28893 - New PO # 4591525562 for 1712398,0,8748
40211666,15-Nov-2018,Jolly Containers.,Based On Sales Orders 10211276.,14-Nov-2018,26550,Supplier PI Pending Finance Approval,Closed,26550,No,Maharashtra,28874,28874 - New PO # 4591524907 for 4 ltr PP container of Jolly,0,4050
40211667,16-Nov-2018,Khas Enterprises,Based On Sales Orders 10211283.,28-Nov-2018,5928,Material Readiness: Delayed,Closed,5928,No,Maharashtra,28783,28783 - Fwd: Order Management - New Purchase Order: 4591523,0,728
40211668,16-Nov-2018,Sagar Office Automation,,18-Nov-2018,12036,Payment to Supplier Delayed,Closed,12036,No,Maharashtra,,28239-Fwd: Requirments,0,1836
40211669,16-Nov-2018,Bosch Ltd.,Based On Sales Orders 10211291.,23-Nov-2018,41526.56,Supplier PI / Invoice Awaited,Closed,41526.56,No,Maharashtra,28729,28729 - Doc1521101226 - 20119593 - Bosch high pressure,0,6334.56
40211670,16-Nov-2018,Murtaza Enterprises.,Based On Sales Orders 10211289.,23-Nov-2018,35228.9,Supplier PI Pending Finance Approval,Closed,35228.9,No,Maharashtra,28744,28744 - Doc1521101228 - 20119594 -INDUSTRIAL,0,5373.9
40211671,16-Nov-2018,Lalita Furniture,Based On Sales Orders 10211293.,18-Nov-2018,64900,Supplier PI / Invoice Awaited,Closed,64900,No,Maharashtra,28931,28931 - Fwd: FW: P93189860-1:DRUCK: NB 4591520652 => Bulk M,0,9900
40211672,16-Nov-2018,Rita Enterprise,Based On Sales Orders 10211284.,18-Nov-2018,1921.04,Supplier PI Pending Finance Approval,Closed,1921.04,No,Maharashtra,28898,28898 - Fwd: Request For Quote (Oracle - PR96906),0,293.04
40211673,16-Nov-2018,Rita Enterprise,Based On Sales Orders 10211285.,30-Nov-2018,65315.36,Supplier PI Pending Finance Approval,Closed,65315.36,No,Maharashtra,28206,28206-Fwd: Request For Quote (Oracle - PR96906),0,9963.36
40211674,16-Nov-2018,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10211296.,01-Nov-2018,44604,Supplier PI / Invoice Awaited,Closed,44604,No,Maharashtra,28216,28216-Fwd: New PO # 4591506872 of 1706579 - 5 ltr. Jerry can wt 250 gm. in Natural,0,6804
40211675,17-Nov-2018,Geofluid Processors Pvt. Ltd.,Based On Sales Orders 10210876.,04-Oct-2018,30240,Payment to Supplier Delayed,Closed,30240,No,Maharashtra,26733,26733-Fwd: Quote for material,0,3240
40211676,17-Nov-2018,Reflectosafe,Based On Sales Orders 10211270.,27-Nov-2018,63840,Material Readiness: Delayed,Closed,63840,No,Maharashtra,28843,28843 - Fwd: Order Management - New Purchase Order: 4591520,0,3040
40211677,19-Nov-2018,Victor Import,Based On Sales Orders 10211301.,09-Nov-2018,53760,Supplier PI Pending Finance Approval,Closed,53760,Yes,Maharashtra,28154,28154-New Po # 4591499304 for Gloves,0,5760
40211678,19-Nov-2018,P. G. Engineers,Based On Sales Orders 10211303.,18-Jan-2019,56817,Supplier PI / Invoice Awaited,Closed,56817,No,Maharashtra,27963,27963-Fwd: Please provide the quotation,0,8667
40211679,19-Nov-2018,Eureka Forbes Ltd.,Based On Sales Orders 10211298.,16-Nov-2018,15499.99,Supplier PI / Invoice Awaited,Closed,15499.99,No,Maharashtra,26726,26726-Quotation for CSR activity items,0,2364.4
40211680,19-Nov-2018,Bosch Ltd.,Based On Sales Orders 10211304.,30-Nov-2018,15340,Supplier PI / Invoice Awaited,Closed,15340,No,Maharashtra,28962,28962 - Request for quotation # laser distance measuring de,0,2340
40211681,19-Nov-2018,E-Square Alliance Pvt. Ltd.,Based On Sales Orders 10211305.,05-Dec-2018,80636,Supplier PI Pending Finance Approval,Closed,80636,No,Maharashtra,28357,RFQ,0,12300.41
40211682,20-Nov-2018,MNS Enterprises,Based On Sales Orders 10211299.,28-Dec-2018,3997840,Payment to Supplier Delayed,Closed,3997840,No,Maharashtra,26966,26966-RE: [EXT] Quotation for DAC SpeedMixer,0,609840
40211683,20-Nov-2018,Western Steel Drums Pvt. Ltd.,Based On Sales Orders 10211313.,01-Nov-2018,35903.38,Payment to Supplier Delayed,Closed,35903.38,No,Maharashtra,29056,29056 - New Po # 4591528397 for *10L OH Laquer coated metal,0,5476.78
40211684,20-Nov-2018,Valisons and Co.,,20-Nov-2018,18917.85,Supplier PO Created,Closed,18917.85,No,Maharashtra,27546,27546-Inquiry :The Landmark cars Pvt Ltd,0,2885.78
