#,Date,Customer,Remarks,Due Date,Branch,Document Total (FC),Document Total (SC),Document Status,Canceled,Document Total,Project,Inside Sales Owner,Cancelation Date,Original Ref. No.,Tax Amount (SC)
10610531,17-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3529.,05-Nov-2018,Gujarat,0,355020.16,Closed,No,355020.16,28763,Avni Shah,05-Dec-2018,,77660.66
10610530,16-Nov-2018,Troikaa Pharmaceuticals Ltd.,Based On Sales Quotations 3667.,20-Nov-2018,Gujarat,0,1652,Closed,No,1652,28961,Piyush Yadav,20-Dec-2018,,252
10610529,16-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3671.,22-Nov-2018,Gujarat,0,10572.8,Closed,No,10572.8,29010,Avni Shah,22-Dec-2018,,1612.8
10610528,16-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3664.,20-Nov-2018,Gujarat,0,31718.4,Closed,No,31718.4,29003,Avni Shah,20-Dec-2018,,4838.4
10610527,16-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3644.,18-Nov-2018,Gujarat,0,14160,Closed,No,14160,28986,Avni Shah,18-Dec-2018,,2160
10610526,15-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3630.,03-Jan-2019,Gujarat,0,79479.04,Closed,Yes,79479.04,28957,Avni Shah,02-Feb-2019,,17386.04
10610525,15-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3602.,15-Nov-2018,Gujarat,0,104686.08,Closed,No,104686.08,28917,Yash Gajjar,15-Dec-2018,,22900.08
10610524,15-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3593.,05-Nov-2018,Gujarat,0,202166.18,Open,No,202166.18,28774,Avni Shah,05-Dec-2018,,30838.92
10610523,15-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3513.,15-Nov-2018,Gujarat,0,16841.78,Open,No,16841.78,28683,Avni Shah,15-Dec-2018,,2569.08
10610522,14-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3212.,24-Oct-2018,Gujarat,0,43696,Closed,No,43696,27858,Avni Shah,23-Nov-2018,,6665.5
10610521,14-Nov-2018,Avadh Industries,Based On Sales Quotations 3217.,15-Nov-2018,Gujarat,0,144677.44,Closed,No,144677.44,27972,Piyush Yadav,15-Dec-2018,,22069.44
10610520,14-Nov-2018,GE T and D India Ltd.,Based On Sales Quotations 2781.,30-Nov-2018,Gujarat,0,43996.3,Closed,No,43996.3,27488,Jigar Patel,30-Dec-2018,,6711.3
10610519,14-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3584.,14-Nov-2018,Gujarat,0,5264.26,Closed,No,5264.26,28372,Yash Gajjar,14-Dec-2018,,803.06
10610518,13-Nov-2018,ABB India Ltd.,Based On Sales Quotations 3572.,15-Nov-2018,Gujarat,0,13216,Closed,No,13216,28871,Mitesh Mandaliya,15-Dec-2018,,2016
10610517,13-Nov-2018,GHCL Ltd.,Based On Sales Quotations 3573.,22-Nov-2018,Gujarat,0,9239.4,Closed,No,9239.4,28799,Prit Patel,22-Dec-2018,,1409.4
10610516,13-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3561.,13-Nov-2018,Gujarat,0,414720,Closed,No,414720,28845,Piyush Yadav,13-Dec-2018,,90720
10610515,12-Nov-2018,GE T and D India Ltd.,Based On Sales Quotations 3520.,06-Nov-2018,Gujarat,0,1540.6,Closed,No,1540.6,28749,Suhas Nair,06-Dec-2018,,235
10610514,05-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3523.,08-Nov-2018,Gujarat,0,9440,Open,No,9440,28731,Avni Shah,08-Dec-2018,,1440
10610513,03-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3315.,12-Nov-2018,Gujarat,0,33117,Open,No,33117,28377,Suhas Nair,12-Dec-2018,,1577
10610512,03-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3514.,12-Nov-2018,Gujarat,0,663011.84,Closed,No,663011.84,28711,Yash Gajjar,12-Dec-2018,,145033.84
10610511,03-Nov-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 3511.,06-Nov-2018,Gujarat,0,6361.72,Closed,No,6361.72,28614,Suhas Nair,06-Dec-2018,,970.42
10610510,03-Nov-2018,GE T and D India Ltd.,Based On Sales Quotations 3505.,06-Nov-2018,Gujarat,0,24338.08,Closed,No,24338.08,28618,Suhas Nair,06-Dec-2018,,3710.16
10610509,04-Jul-2018,IEC-TSL Ingenious Energy LLP,Based On Sales Quotations 3517.,31-Oct-2018,Gujarat,0,3658568.41,Closed,No,3658568.41,25097,Rajani Kyatham (On G),30-Nov-2018,,174217.54
10610508,02-Nov-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3503.,27-Nov-2018,Gujarat,0,25365.47,Closed,No,25365.47,28713,Jigar Patel,27-Dec-2018,,3869.32
10610507,01-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3458.,22-Nov-2018,Gujarat,0,27021.04,Open,No,27021.04,28647,Avni Shah,22-Dec-2018,,3749.04
10610506,01-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3470.,02-Nov-2018,Gujarat,0,7080,Open,No,7080,28672,Avni Shah,02-Dec-2018,,1080
10610505,02-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3492.,02-Nov-2018,Gujarat,0,31122.5,Open,No,31122.5,28698,Avni Shah,02-Dec-2018,,4747.5
10610504,01-Nov-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3440.,14-Nov-2018,Gujarat,0,23184,Closed,No,23184,28626,Jigar Patel,14-Dec-2018,,1104
10610503,01-Nov-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3487.,29-Oct-2018,Gujarat,0,5463.4,Closed,No,5463.4,26447,Harsh Patel,28-Nov-2018,,833.4
10610502,01-Nov-2018,GE T and D India Ltd.,Based On Sales Quotations 3463.,11-Jan-2019,Gujarat,0,49090.84,Closed,No,49090.84,27449,Jigar Patel,10-Feb-2019,,7488.44
10610501,31-Oct-2018,GE T and D India Ltd.,Based On Sales Quotations 3438.,30-Oct-2018,Gujarat,0,644414.01,Open,No,644414.01,27779,Suhas Nair,29-Nov-2018,,98300.44
10610500,31-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3445.,02-Nov-2018,Gujarat,0,46902.19,Closed,No,46902.19,28604,Harsh Patel,02-Dec-2018,,7154.58
10610499,31-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3455.,22-Nov-2018,Gujarat,0,9651.6,Open,No,9651.6,28642,Avni Shah,22-Dec-2018,,459.6
10610498,31-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3339.,31-Oct-2018,Gujarat,0,30792.24,Open,No,30792.24,28372,Yash Gajjar,30-Nov-2018,,5464.24
10610497,31-Oct-2018,ARB Buildcon Pvt. Ltd.,Based On Sales Quotations 3311.,31-Oct-2018,Gujarat,0,1054920,Open,No,1054920,28355,Yash Gajjar,30-Nov-2018,,160920
10610496,30-Oct-2018,GE Power India Ltd.,Based On Sales Quotations 3432.,30-Oct-2018,Gujarat,0,687940,Closed,No,687940,28605,Mithun Trisule,29-Nov-2018,,104940
10610495,30-Oct-2018,GE Power India Ltd.,Based On Sales Quotations 3431.,30-Oct-2018,Gujarat,0,314464.1,Closed,No,314464.1,28603,Mithun Trisule,29-Nov-2018,,47969.1
10610494,30-Oct-2018,GE Power India Ltd.,Based On Sales Quotations 3430.,30-Oct-2018,Gujarat,0,601017.66,Closed,No,601017.66,28588,Mithun Trisule,29-Nov-2018,,91680.66
10610493,30-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3422.,20-Nov-2018,Gujarat,0,22880.2,Closed,No,22880.2,28356,Jigar Patel,20-Dec-2018,,3490.2
10610492,30-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3423.,08-Nov-2018,Gujarat,0,249422.5,Open,No,249422.5,28594,Avni Shah,08-Dec-2018,,38047.5
10610491,30-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3339.,30-Oct-2018,Gujarat,0,36424.24,Closed,No,36424.24,28372,Yash Gajjar,29-Nov-2018,,5556.24
10610490,29-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3402.,13-Nov-2018,Gujarat,0,25709.26,Closed,No,25709.26,28540,Harsh Patel,13-Dec-2018,,3921.76
10610489,29-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3393.,04-Nov-2018,Gujarat,0,17340.87,Closed,No,17340.87,27600,Harsh Patel,04-Dec-2018,,2645.22
10610488,29-Oct-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 3392.,02-Nov-2018,Gujarat,0,2354.1,Closed,No,2354.1,28522,Suhas Nair,02-Dec-2018,,359.1
10610487,29-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3391.,29-Oct-2018,Gujarat,0,27692,Open,No,27692,28517,Piyush Yadav,28-Nov-2018,,2967
10610486,29-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3390.,30-Oct-2018,Gujarat,0,21027.6,Closed,No,21027.6,28516,Piyush Yadav,29-Nov-2018,,3207.6
10610485,25-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3292.,31-Oct-2018,Gujarat,0,10080,Closed,No,10080,28302,Suhas Nair,30-Nov-2018,,1080
10610484,26-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3376.,26-Oct-2018,Gujarat,0,10859.52,Closed,No,10859.52,28477,Piyush Yadav,25-Nov-2018,,2375.52
10610483,25-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3307.,29-Oct-2018,Gujarat,0,10364.08,Open,No,10364.08,28350,Piyush Yadav,28-Nov-2018,,1580.96
10610482,26-Oct-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 3348.,01-Nov-2018,Gujarat,0,12836.04,Closed,No,12836.04,28448,Suhas Nair,01-Dec-2018,,1958.04
10610481,25-Oct-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 3331.,27-Oct-2018,Gujarat,0,14302.74,Closed,No,14302.74,28403,Suhas Nair,26-Nov-2018,,2181.78
10610480,25-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3339.,25-Oct-2018,Gujarat,0,11278.4,Closed,No,11278.4,28372,Yash Gajjar,24-Nov-2018,,1208.4
10610479,25-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3349.,30-Oct-2018,Gujarat,0,4012,Closed,No,4012,28434,Jigar Patel,29-Nov-2018,,612
10610478,25-Oct-2018,GHCL Ltd.,Based On Sales Quotations 3351.,18-Nov-2018,Gujarat,0,4974.18,Open,No,4974.18,28464,Prit Patel,18-Dec-2018,,758.78
10610477,25-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3353.,30-Oct-2018,Gujarat,0,4012,Closed,No,4012,28468,Piyush Yadav,29-Nov-2018,,612
10610476,25-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3315.,25-Oct-2018,Gujarat,0,21787.5,Closed,No,21787.5,28377,Suhas Nair,24-Nov-2018,,1037.5
10610475,23-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3317.,25-Oct-2018,Gujarat,0,22872.71,Closed,No,22872.71,28363,Jigar Patel,24-Nov-2018,,3489.06
10610474,19-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3319.,30-Oct-2018,Gujarat,0,1504.08,Closed,No,1504.08,28250,Jigar Patel,29-Nov-2018,,229.44
10610473,22-Oct-2018,GE T and D India Ltd.,Based On Sales Quotations 3105.,29-Oct-2018,Gujarat,0,13440,Open,No,13440,27938,Suhas Nair,28-Nov-2018,,1440
10610472,22-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3297.,29-Oct-2018,Gujarat,0,11606.68,Closed,No,11606.68,28309,Suhas Nair,28-Nov-2018,,1687.68
10610471,22-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3302.,23-Oct-2018,Gujarat,0,5066.92,Closed,No,5066.92,28324,Jigar Patel,22-Nov-2018,,772.92
10610470,20-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3292.,31-Oct-2018,Gujarat,0,10620,Closed,Yes,10620,28302,Suhas Nair,30-Nov-2018,,1620
10610469,20-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3293.,20-Oct-2018,Gujarat,0,2832,Closed,No,2832,28297,Avni Shah,19-Nov-2018,,432
10610468,19-Oct-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 3289.,20-Oct-2018,Gujarat,0,9459.58,Closed,No,9459.58,28208,Suhas Nair,19-Nov-2018,,1442.98
10610467,17-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3280.,31-Oct-2018,Gujarat,0,7802.76,Closed,No,7802.76,27986,Jigar Patel,30-Nov-2018,,1190.26
10610466,17-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3272.,07-Nov-2018,Gujarat,0,37113,Closed,No,37113,28229,Jigar Patel,07-Dec-2018,,5661.3
10610465,17-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3268.,23-Oct-2018,Gujarat,0,11475.6,Closed,No,11475.6,28230,Avni Shah,22-Nov-2018,,1233.6
10610464,17-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3262.,12-Nov-2018,Gujarat,0,114450,Open,No,114450,28224,Jigar Patel,12-Dec-2018,,5450
10610463,17-Oct-2018,John Energy Ltd.,Based On Sales Quotations 2765.,24-Oct-2018,Gujarat,0,191358.24,Open,No,191358.24,27547,Jigar Patel,23-Nov-2018,,29190.24
10610462,16-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3239.,30-Oct-2018,Gujarat,0,29458.68,Closed,No,29458.68,28204,Piyush Yadav,29-Nov-2018,,4493.68
10610461,16-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3251.,19-Oct-2018,Gujarat,0,5451.6,Closed,No,5451.6,28139,Yash Gajjar,18-Nov-2018,,831.6
10610460,15-Oct-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 2944.,22-Oct-2018,Gujarat,0,8132.52,Closed,No,8132.52,27834,Suhas Nair,21-Nov-2018,,1240.56
10610459,13-Oct-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 3210.,26-Oct-2018,Gujarat,0,89208,Open,No,89208,27322,Jigar Patel,25-Nov-2018,,13608
10610458,13-Oct-2018,ARB Buildcon Pvt. Ltd.,Based On Sales Quotations 3171.,12-Oct-2018,Gujarat,0,2285660,Closed,No,2285660,27907,Piyush Yadav,11-Nov-2018,,348660
10610457,13-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 2522.,20-Oct-2018,Gujarat,0,38430.24,Closed,No,38430.24,26261,Harsh Patel,19-Nov-2018,,5862.24
10610456,13-Oct-2018,GE T and D India Ltd.,Based On Sales Quotations 2897.,19-Oct-2018,Gujarat,0,40120,Closed,No,40120,27737,Suhas Nair,18-Nov-2018,,6120
10610455,12-Oct-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 3150.,15-Oct-2018,Gujarat,0,1568.22,Closed,No,1568.22,28085,Suhas Nair,14-Nov-2018,,239.22
10610454,12-Oct-2018,Troikaa Pharmaceuticals Ltd.,Based On Sales Quotations 3141.,24-Oct-2018,Gujarat,0,4484,Closed,No,4484,28096,Yash Gajjar,23-Nov-2018,,684
10610453,12-Oct-2018,Covestro India Pvt. Ltd.,Based On Sales Quotations 3134.,16-Oct-2018,Gujarat,0,8555,Closed,No,8555,27557,Sandeep Pal,15-Nov-2018,,1305
10610452,12-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3107.,18-Oct-2018,Gujarat,0,963054.64,Closed,No,963054.64,28066,Avni Shah,17-Nov-2018,,146906.64
10610451,11-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3063.,18-Oct-2018,Gujarat,0,57225,Closed,No,57225,28041,Jigar Patel,17-Nov-2018,,2725
10610450,10-Oct-2018,GHCL Ltd.,Based On Sales Quotations 3040.,14-Dec-2018,Gujarat,0,94379,Closed,No,94379,27465,Avni Shah,13-Jan-2019,,14396.8
10610449,10-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3023.,17-Oct-2018,Gujarat,0,2395.4,Closed,No,2395.4,27990,Piyush Yadav,16-Nov-2018,,365.4
10610448,10-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3035.,10-Oct-2018,Gujarat,0,3334.15,Closed,No,3334.15,28008,Piyush Yadav,09-Nov-2018,,508.6
10610447,10-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 3033.,17-Oct-2018,Gujarat,0,4248,Open,No,4248,28007,Avni Shah,16-Nov-2018,,648
10610446,10-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3028.,10-Oct-2018,Gujarat,0,2991.3,Open,No,2991.3,27997,Piyush Yadav,09-Nov-2018,,456.3
10610445,10-Oct-2018,ABB India Ltd.,Based On Sales Quotations 3024.,17-Oct-2018,Gujarat,0,3128.18,Open,No,3128.18,27996,Piyush Yadav,16-Nov-2018,,477.18
10610444,09-Oct-2018,GE T and D India Ltd.,Based On Sales Quotations 3009.,13-Nov-2018,Gujarat,0,36520.04,Closed,No,36520.04,27441,Jigar Patel,13-Dec-2018,,5570.84
10610443,09-Oct-2018,Cargill India Pvt. Ltd.,Based On Sales Quotations 3002.,11-Oct-2018,Gujarat,0,24662,Closed,No,24662,27666,Rahul Sonawane,10-Nov-2018,,3762
10610442,09-Oct-2018,Nivea India Pvt. Ltd.,Based On Sales Quotations 2999.,19-Oct-2018,Gujarat,0,29444.16,Closed,No,29444.16,27701,Jigar Patel,18-Nov-2018,,4491.48
10610441,08-Oct-2018,ABB India Ltd.,Based On Sales Quotations 2974.,19-Oct-2018,Gujarat,0,1498.6,Closed,No,1498.6,27922,Piyush Yadav,18-Nov-2018,,228.6
10610440,08-Oct-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 2971.,11-Oct-2018,Gujarat,0,5437.44,Closed,No,5437.44,27832,Suhas Nair,10-Nov-2018,,829.44
10610439,08-Oct-2018,Micron Enterprises,Based On Sales Quotations 2911.,17-Oct-2018,Gujarat,0,377.6,Open,No,377.6,27767,Piyush Yadav,16-Nov-2018,,57.6
10610438,08-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 2961.,16-Oct-2018,Gujarat,0,26411.94,Closed,No,26411.94,27896,Avni Shah,15-Nov-2018,,4028.94
10610437,08-Oct-2018,ABB India Ltd.,Based On Sales Quotations 2954.,09-Oct-2018,Gujarat,0,253.56,Closed,No,253.56,27878,Yash Gajjar,08-Nov-2018,,38.68
10610436,08-Oct-2018,Avadh Industries,Based On Sales Quotations 2962.,13-Sep-2018,Gujarat,0,106249.56,Closed,No,106249.56,25042,Prit Patel,13-Oct-2018,,16207.56
10610435,06-Oct-2018,GE T and D India Ltd.,Based On Sales Quotations 2943.,26-Oct-2018,Gujarat,0,66039.46,Open,No,66039.46,27807,Suhas Nair,25-Nov-2018,,9928.58
10610434,06-Oct-2018,Nivea India Pvt. Ltd.,Based On Sales Quotations 2952.,10-Oct-2018,Gujarat,0,28826.96,Closed,No,28826.96,27874,Avni Shah,09-Nov-2018,,4397.34
10610433,06-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 2945.,12-Oct-2018,Gujarat,0,51903,Open,No,51903,27853,Avni Shah,11-Nov-2018,,6453
10610432,05-Oct-2018,ABB India Ltd.,Based On Sales Quotations 2875.,20-Sep-2018,Gujarat,0,15717.57,Open,No,15717.57,27046,Yash Gajjar,20-Oct-2018,,2383.09
10610431,05-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 2926.,09-Oct-2018,Gujarat,0,39375,Closed,No,39375,27806,Avni Shah,08-Nov-2018,,0
10610430,05-Oct-2018,GE T and D India Ltd.,Based On Sales Quotations 2715.,07-Nov-2018,Gujarat,0,36496.02,Closed,No,36496.02,27207,Harsh Patel,07-Dec-2018,,5567.18
10610429,05-Oct-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 2930.,10-Oct-2018,Gujarat,0,22656,Open,No,22656,27837,Avni Shah,09-Nov-2018,,3456
10610428,05-Oct-2018,GE T and D India Ltd.,Based On Sales Quotations 2408.,25-Oct-2018,Gujarat,0,182462.88,Closed,No,182462.88,26662,Jigar Patel,24-Nov-2018,,28741.88
10610427,04-Oct-2018,Plasser India Pvt. Ltd.,Based On Sales Quotations 2922.,10-Sep-2018,Gujarat,0,3004.28,Closed,No,3004.28,26318,Yash Gajjar,10-Oct-2018,,458.28
10610426,04-Oct-2018,GHCL Ltd.,Based On Sales Quotations 2917.,28-Jan-2019,Gujarat,0,42509.5,Closed,No,42509.5,27783,Prit Patel,27-Feb-2019,,6484.5
10610425,03-Oct-2018,GHCL Ltd.,Based On Sales Quotations 2899.,28-Oct-2018,Gujarat,0,523.34,Open,No,523.34,27752,Prit Patel,27-Nov-2018,,79.84
10610424,03-Oct-2018,GHCL Ltd.,Based On Sales Quotations 2895.,29-Sep-2018,Gujarat,0,8175.64,Open,No,8175.64,27735,Prit Patel,29-Oct-2018,,1247.14
10610423,01-Oct-2018,ABB India Ltd.,Based On Sales Quotations 2867.,14-Sep-2018,Gujarat,0,16574.38,Open,No,16574.38,27045,Yash Gajjar,14-Oct-2018,,2513.78
10610422,01-Oct-2018,ABB India Ltd.,Based On Sales Quotations 2866.,20-Sep-2018,Gujarat,0,67931.69,Open,No,67931.69,27044,Yash Gajjar,20-Oct-2018,,10362.45
10610421,28-Sep-2018,Inarco Pvt. Ltd.,Based On Sales Quotations 2615.,12-Oct-2018,Gujarat,0,5440.98,Closed,No,5440.98,27197,Suhas Nair,11-Nov-2018,,829.98
10610420,28-Sep-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 2750.,16-Oct-2018,Gujarat,0,118289.82,Closed,No,118289.82,27216,Harsh Patel,15-Nov-2018,,18044.22
10610419,28-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2799.,25-Oct-2018,Gujarat,0,85904,Closed,No,85904,27265,Prit Patel,24-Nov-2018,,13104
10610418,27-Sep-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 2798.,05-Oct-2018,Gujarat,0,33453,Closed,No,33453,27604,Avni Shah,04-Nov-2018,,5103
10610417,27-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2787.,26-Oct-2018,Gujarat,0,6726,Closed,No,6726,27230,Prit Patel,25-Nov-2018,,1026
10610416,25-Sep-2018,Asahi India Glass Ltd.,Based On Sales Quotations 2638.,25-Sep-2018,Gujarat,0,18006.8,Closed,No,18006.8,25414,Komal Nagar,25-Oct-2018,,2746.8
10610415,26-Sep-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 2776.,27-Sep-2018,Gujarat,0,173589.8,Open,No,173589.8,27568,Prit Patel,27-Oct-2018,,26479.8
10610414,25-Sep-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 2762.,28-Sep-2018,Gujarat,0,14750,Closed,No,14750,25653,Jigar Patel,28-Oct-2018,,2250
10610413,25-Sep-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 2767.,28-Sep-2018,Gujarat,0,1475,Closed,No,1475,27544,Jigar Patel,28-Oct-2018,,225
10610412,25-Sep-2018,GE T and D India Ltd.,Based On Sales Quotations 2766.,28-Sep-2018,Gujarat,0,15576,Closed,No,15576,27443,Ranjit Kumar,28-Oct-2018,,2376
10610411,25-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2645.,24-Sep-2018,Gujarat,0,4138.26,Open,No,4138.26,27373,Prit Patel,24-Oct-2018,,631.26
10610410,25-Sep-2018,ABB India Ltd.,Based On Sales Quotations 2657.,21-Sep-2018,Gujarat,0,21053.74,Open,No,21053.74,27229,Ranjit Kumar,21-Oct-2018,,3197.06
10610409,24-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2737.,28-Oct-2018,Gujarat,0,5778.46,Closed,No,5778.46,27234,Prit Patel,27-Nov-2018,,881.46
10610408,24-Sep-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 2669.,04-Oct-2018,Gujarat,0,2104.78,Closed,No,2104.78,26938,Suhas Nair,03-Nov-2018,,321.06
10610407,24-Sep-2018,Nivea India Pvt. Ltd.,Based On Sales Quotations 2500.,30-Sep-2018,Gujarat,0,59000,Closed,No,59000,26984,Harsh Patel,30-Oct-2018,,9000
10610406,24-Sep-2018,GE T and D India Ltd.,Based On Sales Quotations 2193.,05-Oct-2018,Gujarat,0,63978.42,Closed,No,63978.42,25994,Ranjit Kumar,04-Nov-2018,,9759.42
10610405,24-Sep-2018,Nivea India Pvt. Ltd.,Based On Sales Quotations 2703.,12-Oct-2018,Gujarat,0,1673.81,Closed,No,1673.81,27208,Jigar Patel,11-Nov-2018,,255.32
10610404,24-Sep-2018,GE T and D India Ltd.,Based On Sales Quotations 2641.,26-Nov-2018,Gujarat,0,444086.03,Closed,No,444086.03,27368,Prit Patel,26-Dec-2018,,67741.94
10610403,22-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2692.,23-Oct-2018,Gujarat,0,14632.6,Closed,No,14632.6,27107,Prit Patel,22-Nov-2018,,2232.1
10610402,23-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2709.,22-Oct-2018,Gujarat,0,1133.98,Open,No,1133.98,27487,Prit Patel,21-Nov-2018,,172.98
10610401,23-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2708.,17-Oct-2018,Gujarat,0,6178.26,Closed,No,6178.26,27484,Prit Patel,16-Nov-2018,,942.46
10610400,22-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2706.,07-Oct-2018,Gujarat,0,16013.78,Open,No,16013.78,27144,Prit Patel,06-Nov-2018,,2442.8
10610399,20-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2677.,20-Sep-2018,Gujarat,0,23205.88,Closed,No,23205.88,27110,Prit Patel,20-Oct-2018,,3539.88
10610398,21-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2666.,12-Sep-2018,Gujarat,0,3370.44,Closed,No,3370.44,27111,Prit Patel,12-Oct-2018,,514.14
10610397,21-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2088.,17-Sep-2018,Gujarat,0,3993.12,Open,No,3993.12,26333,Prit Patel,17-Oct-2018,,609.12
10610396,21-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2647.,23-Aug-2018,Gujarat,0,8944.4,Closed,No,8944.4,27379,Prit Patel,22-Sep-2018,,1364.4
10610395,21-Sep-2018,GHCL Ltd.,Based On Sales Quotations 2681.,01-Oct-2018,Gujarat,0,1249.62,Closed,No,1249.62,27106,Prit Patel,31-Oct-2018,,190.62
10610394,21-Sep-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 2410.,21-Sep-2018,Gujarat,0,3825.56,Closed,No,3825.56,26635,Jigar Patel,21-Oct-2018,,583.56
10610393,20-Sep-2018,GE T and D India Ltd.,Based On Sales Quotations 2195.,28-Sep-2018,Gujarat,0,49144.66,Closed,No,49144.66,26409,Ranjit Kumar,28-Oct-2018,,7496.66
